[1],"(ROOT (SINV (VP (VBP Are)) (NP (NP (PRP you)) (NP (DT a) (NNP T) (NNP I) (NNP -er) (, ,)))))"
[0],(ROOT (INTJ (UH Okay) (. .)))
[3],"(ROOT (INTJ (UH No) (, ,)))"
[2],"(ROOT (FRAG (CC or) (ADVP (, ,))))"
[5],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH really) (, ,))))"
[6],(ROOT (S (NP (DT that)) (VP (BES 's) (ADJP (JJ great))) (. .)))
[7],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP$ my) (NN daughter)) (VP (VBD talked) (PP (IN to) (NP (DT a) (NN student)))) (. .)))"
[8],"(ROOT (PRN (S (NP (NP (FRAG (INTJ (UH Uh)) (, ,) (PP (IN in) (NP (NP (JJ general)) (NP (RBS most)))))) (PP (IN of) (S (NP (NP (PRP them)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (NNS people)))) (VP (VBG doing) (NP (DT this)))))) (VP (VBP are) (NP (NNP T) (NNP I) (NNPS -ers)))) (, ,)))"
[4],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (RB not)) (. .)))
[9],"(ROOT (S (S (CC but) (NP (PRP I)) (VP (VBP guess) (NP (NNS customers)) (ADVP (RB too)))) (, ,) (FRAG (INTJ (UH huh))) (. ?)))"
[11],(ROOT (INTJ (UH Yeah) (. .)))
[12],"(ROOT (S (NP (NNP T) (NNP I)) (VP (HVS -s) (VP (VBN got)) (, ,) (INTJ (UH uh)) (, ,) (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS advances)) (PP (IN in) (NP (PRP it))) (ADVP (RB really))))))) (. .)))"
[13],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (RB hopefully)) (NP (DT this)) (VP (MD will) (VP (VB turn) (PRT (RP out)) (S (VP (TO to) (VP (VB be) (NP (NP (DT a) (JJ good) (NN program)) (PP (IN for) (NP (PRP us))))))))) (. .)))"
[14],"(ROOT (S (S (NP (PRP We)) (ADVP (RB sure)) (VP (VBP need))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (DT the) (NN business))) (. .)))"
[15],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[16],(ROOT (FRAG (NP (JJ Current) (NNS Events)) (. .)))
[10],"(ROOT (S (CC And) (, ,) (NP (PRP I)) (VP (VP (VBP think) (NP (NP (DT a) (JJ great) (NN number)) (PP (IN of) (NP (NP (NNS students)) (SBAR (WHNP (WP who)) (S (VP (VP (VBD got) (NP (NP (NN word)) (PP (IN of) (NP (PRP it))))) (CC and) (VP (VBD participated) (PP (IN in) (ADJP (JJ general))))))))))) (CC and) (VP (VBD voiced) (SBAR (WHNP (WP who)) (S (VP (VBD heard) (PP (IN about) (NP (DT the) (NN program)))))))) (. .)))"
