[0],(ROOT (INTJ (UH Okay) (. .)))
[2],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[3],"(ROOT (S (INTJ (UH well)) (, ,) (ADVP (PRP we)) (VP (VBP subscribe) (PP (PP (IN to) (NP (NNPS PEOPLE) (NN magazine))) (CC and) (PP (IN to) (NP (NNP TIME))))) (, ,)))"
[1],(ROOT (SBARQ (WHADVP (WRB Why)) (SQ (VBP do) (RB n't) (NP (PRP you)) (VP (VP (VB go) (ADVP (RB ahead))) (CC and) (VP (VB start)))) (. .)))
"[4, 6]","(ROOT (FRAG (S (ADVP (CC and)) (, ,) (S (PP (IN of) (NP (NN course))) (NP (PRP I)) (VP (VBP like) (NP (DT the) (NNPS PEOPLE) (NN magazine)) (SBAR (IN because) (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ gossipy))))))) (CC and) (S (NP (PRP it)) (VP (BES 's) (NP (JJ fast) (NN reading))) (, ,)))))"
[7],"(ROOT (S (CC and) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (NP (DT the) (NNP TIME)) (PP (IN of) (NP (NN course)))) (, ,) (VP (VBZ is) (, ,) (NP (UH uh))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (S (NP (RBR more)) (ADJP (JJ newsworthy))))))"
[8],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP it)) (VP (VBZ has) (NP (NP (NP (JJR more) (NN world) (NN affair)) (NP (NN type) (NNS things))) (, ,) (PP (IN of) (NP (NN course))))) (. .)))"
[5],(ROOT (INTJ (UH Uh-huh) (. .)))
[10],(ROOT (INTJ (UH Uh-huh) (. .)))
"[9, 11]","(ROOT (FRAG (S (CC And) (ADVP (RB then)) (NP (PRP I)) (VP (MD will) (VP (VB purchase) (NP (NP (DT a) (NX (NX (NX (NP (NNP GOOD) (NNP HOUSEKEEPING)) (PP (ADVP (RB occasionally)) (, ,) (ADVP (RB especially)) (IN around) (NP (DT the) (NN holiday) (NN time)))) (PP (IN because) (PP (IN of) (NP (NNS recipes) (CC and) (NNS ideas))))) (CC and))) (CC and) (NP (NP (NNS things)) (PP (IN like) (NP (DT that))))))))))"
[12],(ROOT (INTJ (UH Uh-huh) (. .)))
[14],"(ROOT (INTJ (UH Yeah) (, ,)))"
[15],"(ROOT (SBAR (WHNP (NP (PRP I)) (PRN (, ,) (INTJ (UH well)) (, ,))) (S (NP (PRP I)) (VP (VBP have) (, ,) (PP (IN in) (NP (DT a) (XX whi-))) (, ,) (PP (IN for) (NP (NP (DT a) (NN while)) (SBAR (S (NP (PRP I)) (VP (VBP have) (RB n't) (VP (VBN gotten) (NP (DT any)) (SBAR (IN because) (S (NP (PRP I)) (ADVP (RB just)) (VP (VBP find) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP 'm) (RB not) (VP (VBG reading) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG getting) (SBAR (IN because) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP have) (ADVP (RB so) (JJ much)) (S (VP (VBG going) (PRT (RP on)) (PP (IN in) (NP (PRP$ my) (NN life)))))))))))))))))))))))))))))"
[16],"(ROOT (S (NP (WDT that)) (VP (VBZ seems) (S (VP (TO to) (VP (VB be) (NP (NP (DT the) (JJ last) (NN thing)) (SBAR (S (NP (PRP I)) (VP (VBP pick) (ADVP (RB up)))))))))) (, ,)))"
[17],"(ROOT (ADJP (RB so) (SBAR (S (NP (PRP I)) (VP (VBD found) (SBAR (IN that) (S (NP (PRP I)) (VP (VBD was) (VP (VBG wasting) (NP (PRP$ my) (NN money))))) (. .)) (SBAR (ADVP (RB As) (JJ much)) (IN as) (S (NP (PRP I)) (VP (VBP enjoy) (NP (PRP them)) (, ,) (INTJ (UH uh)) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBP do) (VP (VB subscribe)))))))))))))"
[13],"(ROOT (S (CC and) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (VP (VBP do)) (NP (PRP you)))) (VP (VB subscribe) (PP (IN to) (NP (DT any) (NNS magazines)))) (. ?)))"
[18],"(ROOT (NP (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP 've) (VP (VBN gotten) (PP (IN in) (NP (DT the) (JJ past))) (NP (NP (DT the) (NNPS PARENTS) (NN magazine)) (ADVP (CC and)))) (, ,) (INTJ (UH uh)) (, ,) (NP (DT the) (NNP HOUSEKEEPING) (NN magazine))))))"
[19],(ROOT (INTJ (UH Uh-huh)))
[20],(ROOT (INTJ (UH uh) (. .)))
[22],"(ROOT (INTJ (UH Yes) (, ,)))"
"[21, 24]",(ROOT (S (NP (PRP you)) (ADVP (RB probably)) (VP (VBP have) (NP (NP (JJR smaller) (NNS children)) (NP (JJR younger) (NNS children)))) (. .)))
[23],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[26],"(ROOT (INTJ (UH Yeah) (, ,)))"
[25],"(ROOT (S (NP (NP (PRP$ My) (NNS children)) (, ,) (NP (PRP$ our) (NNS children))) (VP (VBP are) (ADJP (JJ grown)))))"
[27],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[29],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[30],"(ROOT (S (INTJ (UH well)) (, ,) (ADVP (PRP I)) (VP (VBD found) (SBAR (IN that) (S (PP (IN after) (NP (NP (DT a) (NN couple)) (PP (IN of) (NP (NP (NNS years)) (PP (IN of) (S (VP (VBG having) (NP (DT a) (NNPS PARENTS) (NN magazine))))))))) (NP (PRP it)) (VP (VBD was) (VP (VBG getting) (ADJP (JJ repetitious))))))) (, ,)))"
[31],(ROOT (S (RB so) (NP (PRP I)) (VP (ADVP (RB kind) (RB of)) (VBD canceled) (NP (PRP it)) (PP (ADVP (RB anyway)) (IN for) (NP (DT that) (NN reason)))) (. .)))
[32],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (DT the) (NNP HOUSEKEEPING) (NNS magazines)) (ADVP (PRP I)) (VP (VBP do) (VP (VB like) (SBAR (IN because) (S (S (NP (PRP they)) (, ,) (PP (IN like) (S (NP (PRP you)) (VP (VBP say)))) (, ,) (NP (PRP they)) (VP (VBP have) (NP (NP (ADJP (ADJP (JJ nice)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NNS recipes)) (PP (IN in) (NP (PRP them) (CC and) (NNS ideas)))))) (, ,) (CC but) (, ,) (S (FRAG (INTJ (UH uh)) (, ,) (ADVP (RB lately))) (NP (PRP they)) (VP (VBP 've) (ADVP (RB just)) (VP (VBN been) (VP (VBG piling) (ADVP (IN up)) (PP (IN on) (NP (PRP me))))))))))) (, ,)))"
[28],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP 'm) (VP (VBG letting) (S (NP (PRP$ their) (NN mother)) (VP (VB read) (PP (IN on) (NP (DT the) (NNS grandchildren))))))) (. .)))"
[33],"(ROOT (S (S (ADVP (RB so)) (NP (PRP I)) (VP (VBD figured) (SBAR (S (NP (PRP it)) (VP (VBD was) (RB n't)))))) (, ,) (S (FRAG (INTJ (UH uh)) (, ,) (NP (NN something))) (NP (PRP I)) (VP (VBD needed) (PP (IN at) (NP (DT this) (NN point))) (PP (IN in) (NP (NN time))))) (. .)))"
[35],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (, ,)))"
[36],"(ROOT (S (NP (NP (PRP I)) (, ,) (NP (PRP I)) (, ,)) (VP (UH well)) (, ,)))"
[37],(ROOT (S (NP (PRP$ my) (NN husband)) (VP (MD would) (VP (VB love) (S (VP (TO to) (VP (VB have) (NP (JJR more))))))) (. .)))
[34],"(ROOT (SINV (FRAG (INTJ (UH Well))) (, ,) (VP (VBP do) (NP (PRP you))) (S (VP (VB think) (SBAR (IN that) (S (NP (NNS people)) (VP (VBP subscribe) (PP (IN to) (NP (NNS magazines))) (ADVP (ADVP (RB as) (JJ much)) (SBAR (IN as) (S (NP (PRP they)) (VP (VBD used) (PP (TO to))))))))))) (. ?)))"
[39],"(ROOT (INTJ (UH Yes) (, ,)))"
[40],"(ROOT (PRN (UH now) (S (NP (PRP$ my) (NN husband)) (VP (VBZ does) (NP (DT that)))) (, ,)))"
[38],"(ROOT (SINV (VP (PP (NP (UH Now)) (NP (NP (PRP he)) (PP (BES 's) (NP (NP (DT the) (NN type)) (SBAR (WHNP (WP who))))))) (MD will) (VP (VB get) (NP (DT the)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (NNP INC)) (. .)))) (NP (NP (NN magazine)) (CC and) (NP (NP (NNP MONEY)) (NP (NP (NN magazine)) (CC and) (NP (PDT all) (DT the) (JJ financial) (NN type) (NNS magazines)) (, ,))))))"
[41],(ROOT (NP (CC and)))
[42],"(ROOT (INTJ (UH Yeah) (, ,)))"
"[43, 46]","(ROOT (S (NP (PRP you)) (VP (VP (VBP know)) (, ,) (CC and) (VP (PP (IN of)) (NP (NP (NP (NN course)) (PRN (, ,) (FRAG (INTJ (UH uh)) (, ,) (ADVP (RB naturally)) (NP (NNP WALL) (NNP STREET) (NNP JOURNAL))) (, ,)) (SBAR (S (NP (PRP you)) (VP (VBP know) (ADVP (CC and)))))) (, ,) (CC or) (NP (NNPS SPORTS) (NNP ILLUSTRATED))))) (, ,)))"
[47],"(ROOT (S (CC but) (ADVP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (, ,)))"
[48],(ROOT (S (NP (PRP I)) (VP (VBP know) (NP (NP (DT a) (JJ few) (NNS people)) (VP (VBG leafing) (PP (IN through) (NP (PRP them))) (PP (IN at) (NP (DT the) (NN store))))))))
