[0],(ROOT (INTJ (UH Okay) (. .)))
[2],"(ROOT (INTJ (UH Yes) (, ,)))"
[1],"(ROOT (SINV (FRAG (INTJ (UH Well))) (, ,) (VP (VBP are) (NP (PRP you))) (NP (DT a) (NN fisher) (NN person)) (, ,) (S (VP (VBP are) (NP (PRP you)))) (. ?)))"
[4],(ROOT (INTJ (UH Great) (. .)))
[3],(ROOT (S (NP (PRP I)) (VP (VBP love) (S (VP (TO to) (VP (VB fish))))) (. .)))
[5],(ROOT (SBARQ (WHNP (WHNP (WDT What) (NN kind)) (PP (IN of) (NN fishing))) (SQ (VBP do) (NP (PRP you)) (VP (VB do))) (. ?)))
[6],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP it)) (VP (BES 's) (ADVP (RB mostly)) (PP (IN from) (NP (DT the) (NNS rivers) (CC and) (NNS lakes)))) (. .)))"
[8],"(ROOT (S (VP (CC And) (PRN (, ,) (INTJ (UH yes)) (, ,)))))"
[9],(ROOT (FRAG (CC and) (PP (IN from) (NP (DT the) (NNS banks)) (. .))))
[7],(ROOT (FRAG (PP (IN In) (NP (NNP California))) (. ?)))
[10],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB like) (S (VP (TO to) (VP (VB go) (PRT (IN out)) (PP (IN on) (NP (NNS boats)))))))) (. .)))
[11],(ROOT (INTJ (UH Oh) (. .)))
[12],X
[13],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (WDT what)) (VP (ADVP (NN kind) (PP (IN of) (NP (NN fish)))) (VBP do) (SBAR (S (NP (PRP they)) (VP (VB have) (PP (IN in) (NP (NP (PRP$ your) (NN neck)) (PP (IN of) (NP (DT the) (NNS woods))))))))) (. ?)))"
[16],(ROOT (INTJ (UH Uh-huh) (. .)))
[14],"(ROOT (S (VP (VP (UH Well) (, ,) (ADVP (PRP it))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[19],"(ROOT (S (CC But) (, ,) (NP (PRP I)) (VP (VBP like) (S (NP (PRP it)) (NP (DT all))) (SBAR (IN except) (S (, ,) (S (FRAG (INTJ (UH uh)) (, ,) (ADVP (RB really))) (NP (PRP I)) (VP (VBP do) (RB n't))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (ADVP (RB really)) (VP (VB care) (ADJP (RB that) (JJ much)) (PP (IN for) (NP (DT the) (NN trout)))))))) (. .)))"
[18],(ROOT (INTJ (UH Oh) (. .)))
[21],"(ROOT (S (FRAG (INTJ (UH Well)) (, ,) (NP (PRP I))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB blame) (NP (PRP you)))) (. .)))"
[22],"(ROOT (S (NP (PRP I)) (VP (VP (VBD grew) (PRT (RP up)) (PP (IN in) (NP (NNP Nebraska)))) (CC and) (PRN (, ,) (INTJ (UH uh)) (, ,)) (VP (VBD grew) (PRT (RP up)) (NP (NP (NN fish)) (, ,) (NP (NP (GW cat) (^VBG fishing)) (PP (IN in) (NP (DT the) (NNP Little) (NNP Blue) (NNP River)))))))))"
[20],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (VBD had) (ADVP (RB rather)) (VP (VB have) (NP (DT a) (NN catfish)) (SBAR (IN than) (S (NP (PRP I)) (VP (MD would) (VP (NP (DT a) (NN trout))))))))))) (. .)))
"[23, 25]","(ROOT (PRN (CC and) (S (NP (NP (RB then)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (PRP we)))) (VP (VP (VBD moved) (PP (IN to) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (NNP South)) (NP (NNP Dakota))))) (CC and) (PRN (, ,) (INTJ (UH uh)) (, ,)) (VP (VBD did) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNP Walleye) (NN fishing)))) (PP (IN on) (NP (DT the) (NNP Missouri) (NNP River))))))))"
[26],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (RB now)) (SBAR (IN that) (S (NP (PRP we)) (VP (VBP are) (ADVP (IN down)) (ADVP (RB here))))) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS people)))) (VP (VBP do) (NP (NP (ADJP (DT some) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN bass) (NN fishing)) (CC and) (NP (NN strip) (NN bass) (NN fishing)))))))))"
[24],(ROOT (INTJ (UH Uh-huh) (. .)))
