[0],(ROOT (INTJ (UH Okay)))
[1],"(ROOT (S (INTJ (UH wow)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHNP (WP what)) (S (NP (DT that)) (VP (VBD was)))))) (. .)))"
[2],(ROOT (SBARQ (WHNP (WP What)) (SQ (VBD was) (NP (DT that))) (. ?)))
[3],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (. .)))
[5],(ROOT (INTJ (UH Uh-huh) (. .)))
"[4, 6]","(ROOT (S (NP (CC And)) (VP (PRN (, ,) (INTJ (UH uh)) (, ,)) (PP (IN to) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (DT the) (NNP Brazos) (NNP River)) (PP (RB near) (NP (NNP Dinosaur) (NNP Valley) (NNP State) (NNP Park)))))) (. .)))"
[7],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yes) (. .))))"
[9],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[10],"(ROOT (S (INTJ (UH uh)) (, ,) (ADVP (PRP we)) (VP (VBP have) (RB not) (VP (VBN camped) (PP (IN in) (NP (NP (DT any)) (PP (IN of) (NP (DT those) (NNS places))))))) (, ,)))"
[11],"(ROOT (S (PP (IN in) (NP (NN fact))) (NP (PRP it)) (VP (VBZ has) (VP (VBN been) (NP (NP (DT a) (NN number)) (PP (IN of) (NP (NNS years)))) (SBAR (IN since) (S (NP (PRP we)) (VP (VBP have) (VP (VBN camped))) (, ,)))))))"
[12],"(ROOT (S (CC but) (NP (PRP we)) (VP (VBD used) (S (VP (TO to) (VP (VP (VB go) (PP (IN to) (NP (NNP Tyler) (NNP State) (NNP Park))) (ADVP (CC and))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (NNP Daingerfield)))))))))"
[8],(ROOT (INTJ (UH Uh-huh) (. .)))
[13],"(ROOT (FRAG (CC and) (PP (IN in) (NP (NP (NNP Texas)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (SBAR (WHADVP (WRB where)) (S (NP (PRP we)) (VP (VBP camp) (ADVP (RB basically))) (. .) (UH Uh)))) (, ,)))))))"
[15],(ROOT (S (NP (PRP They)) (VP (VBP are) (ADJP (RB very) (JJ nice))) (. .)))
[16],"(ROOT (S (NP (NNP Tyler)) (VP (VBZ is) (ADVP (RB really)) (, ,) (ADVP (RB really)) (NP (DT a) (JJ neat) (NN place) (S (VP (TO to) (VP (VB camp)))))) (. .)))"
[17],(ROOT (S (NP (PRP It)) (VP (VBZ has) (NP (DT a) (JJ nice) (JJ little) (NN lake)))))
