[0],(ROOT (INTJ (UH Okay) (. .)))
[2],(ROOT (INTJ (UH No) (. .)))
[1],(ROOT (SQ (VBD Was) (NP (PRP I)) (VP (VBN supposed) (S (VP (TO to) (VP (VB do) (NP (NN something)))))) (. ?)))
[3],(ROOT (S (NP (PRP I)) (VP (VBD had) (S (VP (TO to) (VP (VB press) (NP (CD one)))))) (. .)))
[4],(ROOT (INTJ (JJ Good) (. .)))
[6],"(ROOT (S (INTJ (UH Uh)) (, ,) (VP (VB let) (S (NP (PRP 's)) (VP (VB see)))) (, ,)))"
[5],X
[7],"(ROOT (S (VP (ADVP (ADVP (RB so)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (VBD were) (NP (PRP we)) (ADVP (JJ right)) (PP (IN in) (NP (DT the) (NNP Middle) (NNP East)))) (. ?)))"
[8],(ROOT (INTJ (UH Sure) (. .)))
[9],(ROOT (SQ (MD Should) (NP (PRP we)) (VP (VB have) (VP (VBN been) (ADVP (RB there)))) (. ?)))
[10],(ROOT (INTJ (UH Uh-huh) (. .)))
[11],(ROOT (SQ (VBD Did) (NP (PRP we)) (VP (VB do) (SBAR (WHNP (WP what)) (S (VP (VBD was) (ADJP (JJ correct)) (ADVP (RB there)))))) (. ?)))
[13],(ROOT (SQ (MD Should) (NP (PRP we)) (VP (VB have) (VP (VBN fought) (S (NP (PRP them)) (ADJP (RBR harder))))) (. ?)))
[12],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP we)) (VP (MD should) (VP (VB have) (VP (VBN stayed) (ADVP (RBR longer)))))))) (. .)))
[15],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (PRP I)) (VP (VBP think) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (VBD did) (SBAR (S (VP (VBD was) (ADJP (JJ good))))))))) (, ,)))"
