[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[2],"(ROOT (INTJ (UH Yeah) (, ,)))"
[3],"(ROOT (FRAG (PP (IN to) (NP (DT a) (NN point))) (, ,)))"
[1],"(ROOT (S (NP (NNP Dee) (, ,)) (VP (VBP are) (ADJP (NP (PRP you)) (JJ familiar)) (PP (IN with) (NP (DT the) (JJ Latin) (JJ American) (NNS policies)))) (. ?)))"
[5],"(ROOT (FRAG (PP (UH Really)) (, ,)))"
[6],(ROOT (INTJ (UH yeah)))
[7],"(ROOT (S (NP (PRP it)) (VP (BES 's) (RB not) (NP (PRP mine)) (ADVP (RB either))) (, ,)))"
[8],"(ROOT (S (CC but) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP I)) (VP (VBP know)))) (, ,) (ADVP (PRP I)) (VP (VBP know) (NP (PRP$ our) (NN policy))) (, ,)))"
[9],"(ROOT (S (PP (IN like) (PP (IN in) (NP (NNP Nicaragua)))) (, ,) (NP (PRP I)) (VP (VBP am) (ADJP (JJ familiar) (PP (IN with) (NP (NP (DT that)) (SBAR (IN because) (S (NP (PRP we)) (VP (VBP have))))))) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (DT some) (NNS friends)) (SBAR (WHNP (WDT that)) (S (VP (VBP live) (PP (IN on) (NP (DT the) (JJ Nicaraguan) (NN border))))))))))"
[10],(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (VBP are) (NP (NNS missionaries)) (ADVP (RB there))))))
[11],"(ROOT (PRN (CC and) (S (NP (PRP they)) (, ,) (NP (PRP they)) (VP (VBP live) (ADVP (RB there))))))"
[12],"(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (VBP have) (S (VP (TO to) (VP (VB travel) (PP (IN by) (NP (NN boat))) (NP (CD forty-five) (NNS minutes)) (S (VP (TO to) (VP (VB get) (PP (IN to) (NP (PRP$ their) (NN car) (CC and) (NN stuff)))))))))) (, ,))))"
[13],"(ROOT (FRAG (PP (CC and) (NP (UH uh))) (, ,) (NP (NP (PRP I)) (SBAR (S (VP (VBP know) (SBAR (IN that) (S (NP (PRP they)) (VP (VBD helped) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (DT those) (NNP Sandanistas) (NNS refugees))) (VP (VBG coming) (PP (IN across) (NP (DT the) (NN border))))))))))))))"
[14],(ROOT (S (CC and) (NP (PRP they)) (VP (VBD housed) (NP (NP (PRP them)) (CC and) (NP (NN stuff)))) (. .)))
[15],"(ROOT (S (NP (PRP They)) (VP (VBP have) (VP (VBN been) (ADVP (IN down) (NP (RB there) (QP (RB about) (CD three)) (NNS years))) (ADVP (RB now)))) (, ,)))"
[16],"(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (VBD wrote) (SBAR (IN that) (S (NP (PRP it)) (VP (BES 's) (ADVP (RB kind) (RB of)) (ADJP (JJ weird)))))) (, ,))))"
[17],"(ROOT (S (NP (PRP they)) (VP (VBP have) (NP (NP (NNS bats)) (PP (IN in) (NP (PRP$ their) (NN roof))))) (, ,)))"
[18],(ROOT (S (CC but) (NP (DT the) (NNS bats)) (VP (VBP eat) (NP (DT the) (JJ bad) (NNS spiders)))))
[19],"(ROOT (S (SBAR (RB so) (S (NP (PRP they)) (VP (VBP leave) (NP (DT the) (NNS bats))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[4],(ROOT (S (NP (PRP it)) (VP (BES 's) (RB not) (NP (PRP$ my) (JJS best) (NN subject))) (. .)))
[21],(ROOT (INTJ (UH Yeah) (. .)))
[22],"(ROOT (S (NP (PRP It)) (VP (BES 's) (NP (DT a) (ADJP (RB whole) (, ,) (RB whole) (JJ different)) (NN culture)))))"
[20],(ROOT (FRAG (ADVP (RB So)) (. .)))
"[23, 25]","(ROOT (S (CC or) (, ,) (ADVP (PRP It)) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (ADJP (JJ weird)) (ADVP (IN down) (RB there)) (SBAR (IN because) (S (NP (EX there)) (VP (BES 's) (SBAR (S (NP (NP (RB always) (NNS lizards) (CC and) (NNS things)) (VP (VBG running) (PP (IN around) (NP (DT that) (NNS people))))) (VP (VBP live) (ADVP (RB there))))))))) (, ,))))"
[26],"(ROOT (FRAG (NP (NP (PRP they)) (SBAR (S (ADVP (RB just)) (, ,) (NP (PRP they)) (VP (VBP take) (NP (PRP it)))))) (X (X (IN for)) (ADJP (VBN granted)))))"
[27],"(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (BES 's) (SBAR (IN like) (S (NP (PRP we)) (VP (VBP go) (ADVP (IN down) (RB there)) (PP (IN on) (NP (NN vacation))))))) (, ,))))"
[24],(ROOT (INTJ (UH Uh-huh) (. .)))
[29],(ROOT (INTJ (UH Yeah) (. .)))
[30],"(ROOT (S (NP (PRP I)) (VP (VBP think) (NP (PRP$ their) (NN policy)) (PP (IN with) (NP (NP (PRP them)) (SBAR (WHNP (WDT that)) (S (ADVP (RB though)) (, ,) (VP (VBZ is) (PRN (, ,) (INTJ (UH uh)) (, ,))))))))))"
[31],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (, ,)))"
[32],"(ROOT (S (NP (PRP I)) (VP (VBP think)) (, ,)))"
[33],"(ROOT (S (NP (PRP I)) (VP (VBP wish) (SBAR (S (NP (PRP we)) (VP (MD would) (VP (VB have) (S (ADVP (RB just)))))))) (, ,)))"
[34],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (RB that) (IN up)) (PP (IN on) (NP (NP (DT the) (NN policy)) (PP (IN of) (NP (NNS ways)))))) (. .)))
[35],"(ROOT (S (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (DT that)) (VP (BES 's) (ADVP (RB kind) (RB of)) (ADJP (JJ old)))))) (, ,)))"
[36],"(ROOT (S (CC but) (ADVP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (, ,)))"
[37],"(ROOT (NP (NP (NP (PRP I)) (SBAR (S (ADVP (RB just)) (, ,) (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ glad) (SBAR (IN that) (S (NP (DT the) (NNP Sandanistas)) (VP (VBP are) (RB n't) (PP (IN in) (NP (NN power))) (ADVP (RB anymore)) (PP (IN because) (NP (NP (PRP I)) (SBAR (S (VP (VBP think) (SBAR (IN that) (S (NP (PRP they)) (VP (VBD were) (ADJP (RB very) (JJ wicked)))) (. .))) (NP (CC And)))))))))) (, ,) (INTJ (UH uh)) (, ,) (NP (RB probably) (DT some)))))) (PP (IN of) (NP (NP (DT the) (JJS biggest) (NN drug) (NNS dealers)) (SBAR (WHNP (WDT that)) (S (NP (DT the) (NN world)) (VP (VBZ has) (ADVP (RB probably)) (VP (ADVP (RB ever)) (VBN seen))) (, ,)))))))"
[38],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP feel) (SBAR (IN like) (S (NP (NP (JJS most)) (PP (IN of) (NP (NP (DT the) (NNS leaders)) (PP (IN in) (NP (JJ Latin) (NNP America)))))) (VP (VBP are) (ADVP (RB probably)))))) (, ,))))"
[28],"(ROOT (S (NP (PRP it)) (VP (BES 's) (SBARQ (SBAR (IN like) (FRAG (INTJ (UH oh)))) (, ,) (WHADVP (WRB how)) (SQ (MD can) (NP (DT these) (NNS people)) (VP (VB live) (PP (PP (IN with) (NP (DT these) (NNS lizards))) (CC and) (PP (IN like) (NP (NP (NNS bats)) (PP (IN in) (NP (PRP$ their) (NN house)))))))) (. ?)))))"
[39],"(ROOT (S (S (NP (PRP you)) (VP (MD would) (VP (VB be) (ADJP (JJ safe) (S (VP (TO to) (VP (VB say) (SBAR (IN that) (S (NP (PRP they)) (VP (VBD were) (ADVP (RB just)) (ADJP (RB very) (RB very)))))))))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (ADVP (JJ big)) (PP (IN into) (NP (NNS drugs)))) (. .)))"
[40],"(ROOT (FRAG (ADJP (RB Very) (RB very) (JJ corrupt)) (, ,) (SBAR (IN like) (S (NP (DT the) (NNPS Panamanians)) (VP (VP (VBP are)) (, ,) (VP (VBD were) (ADJP (RB very) (JJ corrupt)))))) (. .)))"
[42],"(ROOT (S (NP (NP (DT The) (NN thing)) (PP (IN about) (NP (PRP it)))) (ADVP (RB though)) (VP (VBZ is) (SBAR (S (NP (DT the) (NNPS Panamanians)) (VP (VBZ is) (, ,) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS servicemen)) (ADVP (IN down) (RB there))))))))) (. .)))"
[41],(ROOT (INTJ (UH Right) (. .)))
[43],"(ROOT (NP (NP (DT A) (NN lot)) (PP (PP (IN of)) (PRN (, ,) (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (JJ American) (NNS servicemen)))) (VP (VBP are) (ADJP (VBN involved)))) (, ,)))))"
[45],"(ROOT (S (SBAR (IN because) (S (NP (PRP I)) (VP (VBP guess)))) (NP (EX there)) (VP (VBD was) (S (S (NP (DT a) (JJ big) (, ,) (ADJP (ADJP (JJ big)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN scam)) (NP (WDT that))) (, ,) (S (NP (WDT that)) (NP (NP (PDT all) (DT these) (NNS guys)) (ADVP (RP up)))))) (. .)))"
[44],(ROOT (INTJ (UH Uh-huh) (. .)))
[47],(ROOT (INTJ (UH Uh-huh) (. .)))
"[46, 48]","(ROOT (S (NP (NP (NNS Thousands)) (PP (IN of) (NP (NNS servicemen)))) (, ,) (VP (VBD got) (VP (VBN caught) (PP (IN for) (S (VP (VBG running) (NP (DT a) (NN drug) (NN ring))))))) (. .)))"
