[1],(ROOT (INTJ (UH Great) (. .)))
[0],(ROOT (INTJ (UH Okay) (. .)))
[2],"(ROOT (S (INTJ (UH Um)) (, ,) (ADVP (RB currently)) (, ,) (NP (PRP I)) (VP (VBP 'm) (RB not) (VP (VBG doing) (NP (NP (DT a) (JJ whole) (NN lot)) (PP (IN of) (NP (NN exercise)))) (PP (IN in) (NP (NP (DT any) (NN type)) (PP (IN of) (NP (NN program))))))) (. .)))"
[4],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (VP (ADVP (RB mainly)) (VBP do) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN walking)))))) (. .)))
[5],(ROOT (S (NP (PRP I)) (VP (VBP have) (NP (NP (DT a) (NN son)) (SBAR (WHNP (WDT that)) (S (VP (BES 's) (NP (DT a) (JJ little) (NN bit)) (ADJP (JJ overweight)))))))))
[6],"(ROOT (S (CC and) (, ,) (S (FRAG (INTJ (UH um)) (, ,) (NP (DT the) (JJS best) (NN thing))) (NP (PRP we)) (VP (VBD found) (S (VP (TO to) (VP (VB do) (SBAR (IN with) (S (NP (PRP him)) (VP (VBZ is) (S (VP (TO to) (VP (VB walk) (ADVP (RB around))))))))))))) (. .)))"
[7],(ROOT (S (ADVP (RB So)) (NP (NP (PRP$ my) (NN wife)) (CC and) (NP (PRP I))) (VP (ADVP (RB kind) (RB of)) (VBP take) (NP (NNS turns))) (. .)))
[8],(ROOT (S (PP (IN At) (NP (CD one) (NN time))) (NP (PRP I)) (VP (VBD had) (NP (DT a) (ADJP (RB fairly) (JJ regular)) (NN exercise) (NN program))) (. .)))
[9],"(ROOT (S (CC But) (, ,) (PP (IN in) (NP (NP (DT the) (JJ last) (NN couple)) (PP (IN of) (NP (NNS months))))) (S (NP (PRP I)) (VP (VBP 've) (VP (VBN changed) (PP (IN to) (NP (DT a) (JJ new) (NN residence)))))) (CC and) (S (NP (NN everything)) (VP (VBZ has) (VP (VBN gotten) (S (VP (ADVP (RB kind) (RB of)) (VBN turned) (NP (DT a) (JJ little) (GW upside) (^JJ down))))))) (. .)))"
[3],(ROOT (INTJ (UH Huh-uh) (. .)))
[11],(ROOT (INTJ (UH Yeah) (. .)))
"[10, 12]","(ROOT (S (NP (NP (PDT All) (DT this) (NN space)) (SBAR (WHNP (WDT that)) (S (ADVP (RB normally)) (VP (MD would) (VP (VB be) (VP (VBN dedicated) (PP (IN towards) (NP (NP (DT the)) (, ,) (NP (NN exercise) (NN area)) (, ,))))))))) (VP (VBZ is) (VP (VBN covered) (PP (IN in) (NP (NNS boxes))))) (. .)))"
[13],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (WP what)) (VP (VBD did) (SBAR (S (NP (PRP you)) (VP (VBP do) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBD did) (NP (NN exercise)) (ADVP (RB regularly))))))))) (. ?)))"
[14],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBD had) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (DT a) (JJ little) (NN routine)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBD did) (PP (IN for) (NP (GW warm) (^NNS ups)))))))) (. .)))"
[16],"(ROOT (S (CC And) (ADVP (RB then)) (NP (PRP I)) (VP (VBD did) (NP (DT some) (ADJP (ADJP (RB very) (JJ mild)) (PRN (, ,) (INTJ (UH say)) (, ,))) (JJ light) (NN weight) (NN lifting))) (. .)))"
[17],"(ROOT (FRAG (PP (NN Nothing)) (, ,)))"
[15],(ROOT (INTJ (UH Huh-uh) (. .)))
[19],(ROOT (INTJ (UH Huh-uh) (. .)))
[21],(ROOT (INTJ (UH Yeah)))
[22],"(ROOT (S (VP (. .) (S (INTJ (UH Um)) (, ,) (ADVP (RB right)) (NP (RB now)) (, ,) (INTJ (UH um)) (, ,) (NP (PRP I)) (VP (VBP try) (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ nice)) (ADVP (IN out)) (, ,)))))))))"
[23],"(ROOT (S (NP (PRP it)) (VP (HVS 's) (VP (VBN been) (VP (VBG raining) (NP (DT a) (NN lot)) (NP (DT this) (NN spring))))) (, ,)))"
[24],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBP try) (PP (PP (TO to)) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[25],(ROOT (S (NP (PRP I)) (VP (VBP have) (NP (DT a) (NN bicycle)))))
[26],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP like) (S (VP (TO to) (VP (VB cycle) (NP (DT a) (NN lot)))))) (. .)))
[27],"(ROOT (S (CC And) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (S (NP (NP (PRP$ my) (NN husband)) (CC and) (NP (PRP I)))) (, ,) (NP (PRP we)) (VP (VBP have) (VP (VBN entered) (NP (DT a) (JJ few) (NNS rallies)))))) (, ,) (NP (DT that)) (VP (BES 's) (ADJP (RB pretty) (JJ popular)) (PP (IN in) (NP (NNP Texas)) (, ,)))))"
"[18, 20]","(ROOT (S (NP (PRP I)) (VP (VBP 'm) (RB not) (VP (VP (VBG trying) (S (VP (TO to) (VP (VB make) (NP (JJ big) (JJ bulging) (NNS muscles)))))) (, ,) (ADVP (RB just)) (VP (VBG trying) (S (VP (TO to) (VP (VB try) (CC and) (VB stay) (NP (RB as) (NN firm)) (SBAR (IN as) (S (NP (PRP I)) (VP (MD can) (VP (VB stay) (PP (IN in) (NP (PRP$ my) (JJ old) (NN age))))))))))))) (. .)))"
"[28, 30]","(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (, ,) (SBAR (IN if) (S (NP (PRP it)) (VP (BES 's) (ADVP (IN up) (RB north))))))) (, ,)))"
[31],(ROOT (PRN (CC but) (NP (NP (DT every) (NN weekend)) (SBAR (S (NP (DT a) (JJ small) (NN town)) (VP (MD will) (VP (VB sponsor) (NP (DT a) (NN rally)))))))))
[29],(ROOT (INTJ (UH Huh-uh) (. .)))
[32],"(ROOT (S (CC and) (NP (NP (NNS thousands)) (PP (IN of) (NP (NNS people)))) (VP (VP (VBP come) (PP (IN with) (NP (PRP$ their) (NNS bikes)))) (CC and) (VP (VBP ride) (NP (RB over) (JJ hilly) (NN terrain)) (PP (IN for) (NP (NP (CD thirty) (CC or) (CD forty) (NNS miles)) (, ,) (SBAR (WHNP (WDT which)) (S (NP (DT that)) (VP (BES 's) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN fun))))))))))) (. .)))"
[34],"(ROOT (S (INTJ (UH Um)) (, ,) (ADVP (RB so)) (NP (PRP we)) (VP (VBP try) (S (VP (TO to) (VP (VB ride) (PP (IN during) (NP (DT the) (NN week) (S (VP (TO to) (VP (VB try) (CC and) (VB stay) (PP (IN in) (NP (NP (NN shape)) (PP (IN for) (NP (DT that)))))))))))))) (. .)))"
[35],"(ROOT (S (CC And) (, ,) (ADVP (UH um)) (, ,) (NP (NP (NNP T) (NNP I)) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (PRP I)) (VP (VBP work))))) (VP (VBZ has) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (DT a) (NN fitness) (NN center)))))"
[36],"(ROOT (FRAG (ADVP (RB so)) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NN time)) (PP (PP (IN after) (NP (NN work))) (CC or) (PP (RB maybe) (IN on) (NP (NP (DT the) (NNS weekends)) (PRN (, ,) (S (NP (PRP we)) (VP (VP (MD 'd) (VP (VP (VB go) (PP (IN over) (NP (RB there)))) (CC and) (VP (VB lift) (NP (NNS weights))))) (CC and) (VP (VBP do) (NP (DT the) (NN tread) (NN mill))))) (, ,))))))))))"
[37],"(ROOT (S (CC and) (, ,) (INTJ (UH um)) (, ,) (NP (PRP they)) (VP (VBP have) (NP (NP (NNP stair) (NNPS masters)) (CC and) (NP (NP (DT all) (NNS kinds)) (PP (IN of) (NP (NP (JJ new) (NN machine)) (, ,) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (ADJP (JJ fun) (S (VP (TO to) (VP (VB ride) (CC and) (VB workout) (ADVP (RB on)))))))))))))) (. .)))"
[38],"(ROOT (S (NP (RB So) (PRP I)) (VP (VBP try) (PP (TO to))) (, ,)))"
[39],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG trying) (S (VP (TO to) (VP (VB stay) (PP (IN in) (NP (NN shape))) (PP (IN on) (NP (DT a) (JJ regular) (NN basis)))))))) (. .)))
[40],"(ROOT (S (NP (PRP I)) (VP (VBD used) (S (VP (TO to))) (, ,) (S (INTJ (UH uh)) (, ,) (VP (VP (VB get) (PP (IN into) (NP (PRP it)))) (CC and) (VP (VB get) (PRT (RP out)) (SBAR (IN of) (S (NP (PRP it)) (VP (VBD based) (PP (IN on) (NP (PRP$ my) (NN schedule)))))))))) (, ,)))"
[41],"(ROOT (S (NP (RB so) (PRP I)) (VP (VBP 'm) (VP (VBG trying) (S (VP (TO to) (VP (VB stay) (PP (IN in) (NP (NP (NN shape)) (PP (IN on) (NP (DT a) (JJ regular) (NN basis))))) (ADVP (RB now))))))) (, ,)))"
[42],(ROOT (S (CC but) (NP (PRP it)) (VP (BES 's) (NP (DT a) (JJ big) (NN commitment))) (. .)))
[43],(ROOT (S (NP (PRP We)) (VP (VBP do) (RB n't) (VP (VB have) (NP (DT any) (NNS kids)) (ADVP (RB yet))))))
[33],(ROOT (INTJ (UH Huh-uh) (. .)))
[45],(ROOT (INTJ (UH Yeah) (. .)))
[46],(ROOT (S (NP (DT That)) (VP (BES 's) (ADVP (DT a) (CC plus))) (. .)))
[47],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP I)) (VP (VBP have) (NP (NP (DT a) (NN total)) (PP (IN of) (NP (CD five) (NNS children))))) (. .)))"
[44],"(ROOT (S (ADVP (RB so)) (, ,) (NP (DT that)) (VP (BES 's) (NP (DT a) (NN lot)) (PP (IN of)) (, ,) (NP (NP (NN part)) (PP (IN of) (NP (PRP it))))) (. .)))"
[48],(ROOT (S (NP (PRP I)) (VP (VBP have) (NP (NP (CD three)) (VP (VBN left) (S (VP (VBG living) (PP (IN at) (NP (NN home)))))))) (. .)))
[49],(ROOT (INTJ (UH Huh-uh) (. .)))
[50],"(ROOT (S (CC And) (NP (PRP they)) (VP (VBP do) (VP (VB take) (PRT (RP up)) (NP (DT a) (NP (NP (NP (JJ big) (NN part)) (PP (IN of) (NP (PRP$ my)))) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP$ my) (NN evening)) (CC and) (NP (NN weekend)))))) (. .)))"
[51],(ROOT (INTJ (UH Yeah) (. .)))
