[0],"(ROOT (FRAG (INTJ (UH Hi)) (, ,) (NP (NNP Maureen)) (. .)))"
[1],(ROOT (SBARQ (WHADVP (WRB How)) (SQ (VBP are) (NP (PRP you))) (. ?)))
[2],(ROOT (FRAG (ADVP (RB All) (JJ right)) (. .)))
[4],"(ROOT (INTJ (UH No) (, ,)))"
[5],"(ROOT (S (NP (PRP we)) (ADVP (RB probably)) (VP (MD should)) (, ,)))"
[6],(ROOT (S (CC but) (NP (PRP we)) (VP (VBP have) (RB n't)) (. .)))
[3],(ROOT (SBARQ (WHNP (UH Well)) (SQ (VBP do) (NP (PRP you)) (VP (VB have) (NP (DT a) (NN family) (NN budget)))) (. ?)))
[8],(ROOT (INTJ (UH Okay) (. .)))
[9],"(ROOT (S (NP (PRP We)) (VP (VBP do) (NP (DT a) (JJ few) (NNS things))) (, ,)))"
[10],"(ROOT (S (S (CC and) (NP (PRP I)) (VP (VBP have) (S (VP (TO to) (VP (VB say) (SBAR (S (NP (PRP we)) (VP (VBP 're))))))))) (, ,) (NP (NP (PRP$ my) (NN husband)) (CC and) (NP (PRP I))) (VP (VBP are) (DT both) (PP (IN from) (NP (JJ financial) (NNS backgrounds)))) (. .)))"
[7],"(ROOT (SBARQ (RB So) (WHADVP (WRB why)) (SQ (VBP do) (RB n't) (NP (PRP you)) (VP (VB explain) (PP (IN to) (NP (PRP me))) (NP (NP (DT some) (JJ good) (NNS tips)) (PP (IN about) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP 've) (VP (VBN done) (, ,) (SBAR (WHNP (WDT which)) (S (NP (PRP you)) (VP (VBP 've) (VP (VBN found) (S (ADJP (JJ useful) (CC and) (JJ workable))))))))))))))) (. .)))"
[11],"(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP 'm) (NP (DT an) (NN accountant))) (. .)))"
[13],"(ROOT (PRN (S (NP (CC And)) (VP (VP (, ,) (S (NP (NP (FRAG (INTJ (UH uh)) (, ,) (NP (PRP he)))) (PP (VBZ has) (NP (DT an) (NNP M)))))) (PRN (ADVP (NNP B)) (ADVP (NNP A))))) (, ,)))"
[14],"(ROOT (S (ADVP (RB so)) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP we)) (VP (VBD were) (ADVP (RB sort) (RB of)))) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,) (S (VP (VBN keyed) (PP (IN in) (IN on) (NP (NP (NNS expenses) (CC and) (NNS things)) (PP (IN like) (NP (DT that))))))) (. .)))"
[12],(ROOT (INTJ (UH Uh-huh) (. .)))
[15],(ROOT (FRAG (ADVP (RB So)) (. .)))
