[0],(ROOT (INTJ (UH Okay) (. .)))
[1],"(ROOT (SINV (FRAG (INTJ (UH Um))) (, ,) (VP (VP (VBZ does)) (, ,) (VP (VBZ is)) (NP (NP (DT this) (NN something)) (SBAR (WHNP (WDT that)) (S (VP (VBZ concerns)))))) (NP (PRP you)) (. ?)))"
[2],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP think) (S (S (NP (PRP it)) (VP (VBZ does) (PRN (, ,) (INTJ (UH um)) (, ,)) (S (ADJP (RB especially) (SBAR (IN because) (S (NP (PRP I)) (ADVP (RB just)) (VP (VBD moved) (PP (IN to) (NP (NNP Massachusetts)))))))))) (CC and) (, ,) (INTJ (UH uh)) (, ,) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG having) (NP (JJ real) (NNS problems)) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP have) (NP (ADJP (ADJP (RB so) (JJ many)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN police) (NNS layoffs)))))))))) (. .)))"
[4],"(ROOT (S (CC And) (, ,) (INTJ (UH uh)) (, ,) (NP (RB personally)) (ADVP (PRP I)) (VP (VBP do) (RB n't) (VP (VB live) (PP (IN in) (NP (NP (DT a) (ADJP (RB real) (JJ bad)) (NN section)) (PP (IN of) (NP (NN town)))))))))"
[5],"(ROOT (S (CC but) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (PP (RB just) (PP (IN because) (PP (IN of) (NP (DT the) (JJ general) (NN area))))) (NP (PRP I)) (VP (VBP live) (PP (IN in))))) (, ,) (NP (DT the) (NN insurance) (NNS rates)) (VP (VBP are) (ADJP (RB real) (JJ high) (PP (IN on) (NP (PRP$ your) (NN car)))))))"
[3],(ROOT (INTJ (UH Uh-huh) (. .)))
[6],"(ROOT (S (CC and) (, ,) (NP (EX there)) (VP (BES 's) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN crime)))) (PP (IN within) (NP (NP (DT a) (JJ few) (NNS miles)) (PP (IN of) (NP (PRP me)))))) (. .)))"
[7],(ROOT (INTJ (UH Right) (. .)))
[9],"(ROOT (INTJ (UH Yeah) (, ,)))"
[10],"(ROOT (S (INTJ (UH well)) (, ,) (NP (PRP I)) (VP (VBP live) (ADVP (IN outside)) (PP (IN of))) (NNP Dallas)))"
[11],(ROOT (S (CC and) (NP (PRP it)) (VP (BES 's) (ADVP (RB kind) (RB of)) (PP (IN in) (NP (DT a) (JJ little) (NN suburb)))) (. .)))
[12],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP I)) (VP (VBP feel) (ADJP (RB pretty) (JJ safe)) (PP (IN out) (NP (RB here))))))"
[8],(ROOT (FRAG (WHADVP (WRB How)) (PP (IN about) (NP (PRP you)) (. ?))))
[14],"(ROOT (INTJ (UH Yeah) (, ,)))"
"[13, 16]",(ROOT (S (CC but) (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (DT the) (NN murder) (NN rate)) (VP (VBZ is) (VP (VBG going) (PRT (RP up)) (NP (NP (DT every) (NN year)) (PP (IN in) (NP (NNP Dallas)))))))))))
[15],"(ROOT (S (NP (PRP I)) (, ,) (VP (UH uh)) (. .)))"
[18],"(ROOT (INTJ (UH Yeah) (, ,)))"
[19],(ROOT (FRAG (S (NP (PRP I)) (ADVP (RB recently)) (VP (VBD moved) (ADVP (RB here))))))
[20],"(ROOT (PRN (CC and) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBD was) (VP (VBG looking) (PP (IN for) (NP (NP (DT a) (NN job)) (SBAR (S (NP (EX there)) (VP (VBD was) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NP (NNS openings)) (ADVP (RB right) (PP (IN in)))) (, ,) (X (DT the)) (, ,)))) (PP (IN in) (NP (NP (DT the) (JJS worst) (NNS areas)) (PP (IN of) (NP (NN town))))))))))))))))"
