[0],"(ROOT (INTJ (UH Yes) (, ,)))"
[2],"(ROOT (S (NP (PRP I)) (VP (VBD was) (NP (DT a) (NN resident)) (, ,) (PP (IN although) (NP (NP (JJ very) (NN young)) (PP (IN of) (NP (DT the) (NN sta-))) (, ,) (PP (IN of) (SBAR (WHNP (WP what)) (S (VP (VBZ is) (ADVP (RB now)) (NP (NP (DT the) (NN state)) (PP (IN of) (NP (NP (NNP Alaska)) (PP (IN in) (NP (CD nineteen) (CD fifty-nine)))))) (SBAR (WHADVP (WRB when)) (S (NP (NNP Alaska)) (VP (VP (VBD stopped) (S (VP (VBG being) (NP (DT a) (NN territory))))) (CC and) (VP (VBD became) (NP (DT a) (NN state))))))))))))) (. .)))"
[3],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (RB so)) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBP have) (S (NP (DT a)) (VP (VB left) (PP (IN over) (NP (NP (JJ positive) (NN feeling)) (PP (IN about) (NP (DT the) (NN question))))) (SBAR (RB even) (IN though) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (ADVP (RB very) (RB much)) (PP (IN about) (NP (NNP Puerto) (NNP Rico))))))))))))) (. .)))"
[4],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (NP (PRP I)) (SBAR (S (VP (VBP know) (SBAR (IN that) (FRAG (NP (NP (PDT all) (DT the) (NNS things)) (SBAR (WHNP (WDT that)) (S (VP (VBD happened))))))))))) (, ,) (NP (NP (JJ relative)) (PP (IN to) (NP (NP (DT that) (NN territory)) (PP (IN in) (NP (NNP Alaska)))))) (VP (VBP have) (VP (VBN been) (ADJP (ADJP (RB very) (JJ positive)) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))"
[5],"(ROOT (S (CC and) (NP (PRP I)) (VP (VBP have) (NP (DT a) (NN suspicion)) (SBAR (IN that) (PRN (, ,) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP believe) (ADVP (IN that) (DT a))))) (, ,)) (S (NP (DT the) (NN statehood)) (VP (VBZ is) (NP (NP (DT a) (JJ good) (NN idea)) (SBAR (WHADVP (WRB whenever)) (S (NP (PRP you)) (VP (VBP have) (S (NP (DT a) (NN territory)) (NP (NP (DT the) (NN size)) (PP (IN of) (NP (NP (NNP Puerto) (NNP Rico)) (SBAR (S (NP (PRP one)) (VP (MD ought) (S (VP (DT either) (TO to) (VP (VP (VB make) (S (NP (PRP it)) (NP (DT a) (JJ full-fledged) (NN state)))) (CC or) (, ,) (CC or) (VP (VB let) (S (NP (PRP it)) (VP (VB go)))))))))) (, ,) (NP (CD one)) (CC or) (NP (DT the) (NN other)))))))))))))) (. .)))"
[1],"(ROOT (S (INTJ (UH um)) (, ,) (NP (PRP I)) (VP (VBD was) (VP (VBG wondering) (SBAR (IN whether) (S (NP (PRP you)) (VP (VBD were) (PP (IN in) (NP (NP (NN favor)) (PP (IN of) (NP (NP (NN statehood)) (, ,) (NP (NN independence)) (, ,) (CC or) (NP (DT the) (NN status)))))) (NP (NP (FW quo)) (PP (IN for) (NP (NNP Puerto) (NNP Rico))))))))) (. .)))"
[7],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP 'm) (PRN (, ,) (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP (XX su-) (, ,) (JJ such) (JJ close) (NN experience)) (PP (IN with)))))))) (, ,)) (PP (IN with) (PRN (, ,) (INTJ (UH um)) (, ,))) (NP (NP (DT an) (NN area)) (VP (VBG becoming) (NP (DT a) (NN state)) (SBAR (IN as) (S (NP (PRP you)) (VP (VBP do))))))) (. .)))"
[8],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (PRP$ my) (NN concern)) (VP (VBZ is) (NP (DT the) (NN economy)) (SBAR (IN because) (S (SBAR (IN as) (S (NP (PRP I)) (VP (VBP understand) (NP (PRP it))))) (NP (NNP Puerto) (NNP Rico)) (VP (VBZ has) (NP (NP (NP (DT a) (ADJP (ADJP (RB very) (JJ low) (XX sta-)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN standard)) (PP (IN of) (NP (VBG living)))) (CC or) (ADVP (IN at) (JJS least)))))) (, ,) (FRAG (INTJ (UH um)) (, ,) (NP (JJ annual) (JJ average) (NN income)))) (. .)))"
[9],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (NP (NN part)) (PP (IN of) (NP (DT this))) (SBAR (S (NP (PRP I)) (VP (VBP suppose))))) (VP (VBZ is) (ADJP (JJ justified) (PP (IN in))) (, ,) (PP (IN in) (NP (DT that))) (NP (NP (DT the) (NN climate)) (SBAR (S (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB need) (, ,) (ADVP (RB perhaps)) (, ,) (NP (NP (DT the) (NN heating)) (CC and) (NP (DT the) (NN housing))) (SBAR (IN that) (S (NP (NP (DT some)) (PP (IN of) (NP (DT the) (ADJP (RBR more) (JJ northern)) (NNS territories)))) (VP (VBP need)))))))))) (. .)))"
[10],"(ROOT (S (ADVP (RB However)) (, ,) (PP (IN in) (NP (DT that) (NN case))) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (MD would) (VP (VB favor) (S (NP (NN status)) (NP (FW quo)))))))) (. .)))"
[11],"(ROOT (S (NP (PRP I)) (VP (VP (VBP have) (VP (VBN been) (PP (IN to) (NP (NNP Puerto) (NNP Rico))))) (CC and) (, ,) (CC and) (VP (VBD found) (NP (PRP it)) (ADJP (RB very) (, ,) (RB very) (JJ interesting)))) (. .)))"
