[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[1],"(ROOT (S (NP (PRP we)) (VP (VBP 're) (PP (IN on)) (, ,) (INTJ (UH uh)) (, ,) (NP (NN recycling)))))"
[3],X
[2],(ROOT (INTJ (UH Yes) (. .)))
[4],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP am) (RB not) (ADJP (ADVP (RB real) (RB well)) (JJ informed) (PP (IN on) (SBAR (WHADJP (RB exactly) (WP what)) (S (NP (NNP Richardson)) (VP (VBZ does))))))) (. .)))"
[6],"(ROOT (S (NP (PRP I)) (VP (VBP know) (SBAR (IN that) (S (NP (NP (PRP we)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (PRP they)))) (VP (VBP ask) (S (NP (PRP us)) (VP (TO to) (VP (VB bundle) (NP (PRP$ our) (NNS newspapers))))))))) (, ,)))"
[7],"(ROOT (PRN (CC and) (S (NP (PRP we)) (VP (VBP do) (NP (DT that))) (, ,))))"
[5],(ROOT (INTJ (UH Uh-huh) (. .)))
[8],(ROOT (S (CC and) (NP (PRP we)) (VP (VBP recycle) (NP (PRP$ our) (NN aluminum) (NN pop) (NNS cans) (CC and) (NN stuff))) (. .)))
[9],(ROOT (S (NP (PRP I)) (VP (VBP see)) (. .)))
[11],"(ROOT (INTJ (UH Yeah) (, ,)))"
[12],(ROOT (S (NP (PRP they)) (VP (VBP do)) (. .)))
[10],"(ROOT (S (CC But) (S (INTJ (UH now)) (NP (NNP Plano)) (VP (VBZ has) (NP (PDT quite) (DT an) (JJ elaborate) (NN system)))) (, ,) (VP (VBP do) (RB n't)) (NP (PRP they)) (. ?)))"
"[13, 15]","(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (PRP it)) (VP (VBD started) (PRT (RP out)) (ADVP (NP (JJ several) (NNS years)) (RB ago)) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VP (VBD put) (NP (ADJP (DT these) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN collection) (NNS sites)) (NP (PRP they)) (, ,) (INTJ (UH uh)) (, ,) (PP (RB near) (NP (DT a) (NNP WalMart))) (, ,) (PP (RB near) (NP (DT a) (NN football) (NN stadium)))) (CC and) (VP (NP (DT the) (JJ like))))))) (, ,)))"
[16],(ROOT (S (CC and) (NP (PRP they)) (ADVP (RB just)) (VP (MD could) (RB n't) (VP (VB believe) (SBAR (WHNP (WHADJP (WRB how) (JJ many)) (NNS people)) (S (VP (VBD were) (VP (VBG going) (PRT (IN out)) (PP (IN of) (NP (PRP$ their) (NN way))) (S (VP (TO to) (VP (VB fill) (NP (DT these) (NNS things)) (PRT (RP up))))))))))) (. .)))
[17],"(ROOT (S (NP (DT These) (JJ huge) (NNS dumpsters)) (VP (VBD were) (VP (VBG being) (VP (VBN filled) (PRT (RP up)) (ADVP (IN in) (DT a)) (, ,) (PP (IN in) (NP (NP (DT a) (NN matter)) (PP (IN of) (NP (DT a) (NN week)))))))) (. .)))"
[18],(ROOT (S (RB So) (NP (PRP they)) (VP (VBD knew) (SBAR (IN that) (S (NP (EX there)) (VP (VBD was) (NP (NP (NN something)) (VP (VBG going) (PRT (RP on)) (ADVP (RB here)))))))) (. .)))
[19],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP they)) (VP (VBD started) (S (VP (VBG looking) (PP (IN into) (NP (NNS programs)) (, ,)))))))"
[20],"(ROOT (FRAG (CC and) (NP (NP (WP what)) (SBAR (S (NP (PRP we)) (VP (VBP have) (ADVP (RB now))) (, ,))))))"
[14],(ROOT (INTJ (UH Uh-huh) (. .)))
[21],"(ROOT (S (NP (PRP it)) (, ,) (NP (PRP they)) (VP (VBD changed) (NP (NP (DT the) (JJ whole) (NN way)) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBP do) (NP (NP (NN garbage)) (PP (IN in) (NP (NNP Plano))))))))) (. .)))"
[23],"(ROOT (S (PP (IN Instead) (PP (IN of) (S (VP (VBG collecting) (NP (NP (NN plastic) (NNS bags)) (PP (IN of) (NP (NP (NN garbage)) (NP (CD two) (NNS days))))) (NP (DT a) (NN week)))))) (, ,) (NP (PRP they)) (VP (VBP make) (NP (DT a) (NN collection)) (PP (IN on) (NP (NP (NNP Monday)) (PP (IN for) (NP (NN yard) (NN waste)))) (, ,)))))"
[22],(ROOT (INTJ (UH Uh-huh) (. .)))
[24],(ROOT (FRAG (CC and) (NP (NP (DT the) (NN yard) (NN waste)) (SBAR (S (VP (VBZ has) (S (VP (TO to) (VP (VB be) (VP (VBN put) (PP (IN in) (NP (NP (DT a) (JJ special) (NN bag)) (SBAR (WHNP (WDT that)) (S (VP (BES 's) (NP (DT a) (JJ decomposable) (NN paper) (NN sack)))))))))))))))))
[26],(ROOT (S (NP (PRP it)) (VP (BES 's) (NP (DT a) (ADJP (RB pretty) (JJ good)) (NN size))) (. .)))
[25],(ROOT (INTJ (UH Uh-huh) (. .)))
[27],"(ROOT (S (NP (PRP It)) (VP (BES 's) (ADVP (RB maybe)) (NP (NP (DT the) (NN size)) (PP (IN of) (NP (CD two) (CC or) (CD three)))) (, ,) (INTJ (UH um)) (, ,) (NP (NN grocery) (NNS bags))) (. .)))"
[29],"(ROOT (S (CC And) (NP (PRP we)) (VP (VBP put) (ADVP (DT that) (IN out)) (PP (IN by) (NP (DT the) (NN street)) (, ,)))))"
[30],(ROOT (S (CC and) (NP (PRP they)) (VP (VBP collect) (NP (NP (DT those)) (PP (IN on) (NP (NNP Monday))))) (. .)))
[31],"(ROOT (S (CC And) (PP (ADVP (RB then)) (IN on) (NP (NNP Wednesday))) (, ,) (NP (PRP we)) (VP (VBP put) (ADVP (RB out) (NP (CD two) (NNS containers))) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBD gave) (NP (PRP us)))))) (. .)))"
[32],"(ROOT (S (NP (CD One) (NN container)) (VP (VP (BES 's) (NP (NP (DT a) (JJ huge) (, ,) (JJ green) (, ,) (JJ monstrous) (NN thing)) (SBAR (WHNP (WDT that)) (S (NP (ADJP (DT a) (PRN (, ,) (INTJ (UH uh) (, ,) (UH uh)) (, ,))) (NP (DT a) (JJ special) (NN truck))) (VP (VP (VBZ comes) (ADVP (RB by))) (CC and) (VP (VBZ hooks) (PP (IN onto) (NP (NP (DT the) (NN side)) (PP (IN of) (NP (PRP it))))))))))) (CC and) (VP (VBZ flips) (NP (DT the) (NN container)) (PP (IN into) (NP (NP (DT the) (NN back)) (PP (IN of) (NP (DT the) (NN garbage) (NN truck))))))) (. .)))"
[28],(ROOT (INTJ (UH Oh) (. .)))
[33],"(ROOT (S (NP (NP (RB So)) (CC and) (NP (DT that))) (VP (BES 's) (SBAR (WHADVP (WRB where)) (S (NP (PRP you)) (VP (VBP put) (NP (NP (PRP$ your) (ADJP (ADJP (JJ regular)) (PRN (, ,) (INTJ (UH um)) (, ,))) (NN garbage)) (CC and) (NP (NN trash))))))) (. .)))"
[35],"(ROOT (S (CC And) (NP (NP (RB then) (RB also)) (, ,) (NP (DT that) (JJ same) (NN day)) (, ,)) (ADVP (PRP you)) (VP (VBP put) (PRT (RB out)) (NP (DT a) (JJ small) (NN tub))) (, ,)))"
[36],"(ROOT (S (NP (PRP it)) (VP (VP (BES 's) (ADVP (RB maybe)) (ADJP (NP (CD two) (NNS feet)) (JJ high))) (CC and) (VP (NP (CD three) (NNS feet)) (PP (IN by) (ADJP (NP (CD two) (NNS feet)) (JJ wide))))) (, ,)))"
