[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[1],(ROOT (S (S (INTJ (UH so)) (NP (PRP you)) (VP (VBP watch) (NP (NNP DAVID) (NNP LETTERMAN)))) (. ?)))
[3],"(ROOT (FRAG (INTJ (UH Well)) (, ,) (PP (UH see) (NP (NP (PRP$ our) (JJ favorite) (NN T) (NN V) (NN show)) (, ,)))))"
[2],(ROOT (INTJ (UH Yeah) (. .)))
[4],"(ROOT (S (NP (PRP I)) (, ,) (ADVP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP live) (PP (IN in) (NP (DT a) (NN dorm))))))"
[5],(ROOT (INTJ (UH Uh-huh) (. .)))
[7],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH really) (, ,))))"
[8],(ROOT (INTJ (UH yeah)))
[9],"(ROOT (S (NP (DT that)) (VP (BES 's) (ADJP (RB pretty) (JJ awesome)) (, ,) (ADVP (RB too))) (. .)))"
[6],(ROOT (FRAG (CC and) (NP (NP (PRP$ our) (JJ favorite) (NN T) (NN V) (NN show)) (SBAR (S (VP (VBZ is) (NP (NNP CHEERS))))) (. .))))
[10],(ROOT (S (NP (PRP I)) (VP (VBP watch) (NP (PRP it)) (ADVP (DT every) (RB now) (CC and) (RB then))) (. .)))
[11],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[13],"(ROOT (S (INTJ (UH well)) (, ,) (ADVP (PRP we)) (VP (VBP try)) (, ,)))"
[12],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ hilarious))) (. .)))
[14],"(ROOT (S (S (INTJ (UH like)) (NP (RB here) (PRP they)) (VP (VBP show) (NP (PRP it)))) (, ,) (FRAG (INTJ (UH like)) (, ,) (NP (DT every) (NN day))) (. .)))"
[15],"(ROOT (FRAG (INTJ (UH Oh)) (, ,) (ADVP (JJ serious)) (. .)))"
[16],"(ROOT (S (CC And) (ADVP (RB then)) (, ,) (INTJ (UH like)) (, ,) (PP (IN on) (NP (NNPS Thursdays))) (VP (VBZ is) (NP (NP (DT the) (NN night)) (SBAR (WHADVP (WRB where)) (S (NP (DT the) (JJ new) (NNS ones)) (VP (VBP come) (ADVP (RB on))))))) (. .)))"
[18],(ROOT (S (CC But) (NP (PRP we)) (VP (VBP watch) (NP (PRP it)) (PP (IN like) (NP (INTJ (UH every))) (NP (NN day)))) (. .)))
[19],"(ROOT (S (NP (NP (ADVP (CC But)) (NP (NP (PRP I)) (PRN (, ,) (FRAG (INTJ (UH like)) (, ,) (NP (NNP late) (NNP night))) (, ,)))) (NP (PRP we))) (VP (VBP do) (RB n't) (VP (VB watch) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[17],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (DT that)) (VP (BES 's) (ADJP (JJ cool))) (. .)))"
[20],"(ROOT (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (VBP do) (SBAR (S (VP (VBZ is) (PRN (, ,) (S (NP (PRP we)) (VP (VBP stay) (PRT (RP up)) (PP (IN till) (NP (RB around) (CD one) (CD thirty))))) (, ,)))))))))"
[21],(ROOT (INTJ (UH Uh-huh) (. .)))
[22],"(ROOT (FRAG (CC and) (NP (NP (RB then)) (SBAR (S (NP (PRP they)) (VP (VBP show) (NP (DT the) (NN TWILIGHT) (NN ZONE)) (PP (IN at) (NP (CD one) (CD thirty)))) (, ,))))))"
[23],X
[24],(ROOT (S (CC and) (RB so) (NP (PRP we)) (ADVP (RB just)) (VP (VBP stay) (CC and) (VBP watch) (NP (DT that))) (. .)))
[25],"(ROOT (S (S (NP (NN TWILIGHT) (NN ZONE)) (VP (VBZ rules))) (, ,) (FRAG (INTJ (UH man))) (. .)))"
[26],(ROOT (X (ADVP (DT The)) (NP (WP what)) (. ?)))
[27],(ROOT (S (NP (NN TWILIGHT) (NN ZONE)) (VP (VBZ rules)) (. .)))
[28],"(ROOT (INTJ (UH Yeah) (, ,)))"
[29],(ROOT (S (NP (DT That)) (VP (BES 's) (NP (DT all))) (. .)))
[30],"(ROOT (S (S (NP (PRP I)) (VP (VBD used))) (, ,) (NP (PRP I)) (VP (VBD used) (S (VP (TO to) (VP (VB live) (PP (IN in) (NP (NP (DT the) (NN house)) (SBAR (WHNP (WDT that)) (S (NP (DT the) (NN guy)) (VP (VBD owned)))))))))) (. .)))"
[32],"(ROOT (INTJ (UH Yeah) (, ,)))"
[33],"(ROOT (S (NP (PRP it)) (VP (VBD was) (S (S (ADVP (RB really)) (, ,) (NP (PRP it)) (VP (VBD was) (ADVP (RB really)))) (, ,) (S (INTJ (UH oh) (, ,) (UH well)) (, ,) (NP (PRP it)) (VP (VBD was) (NP (DT all) (ADJP (ADJP (JJ full) (PP (IN with))) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NNS shelves)) (ADVP (RB everywhere))))))))"
[34],(ROOT (PRN (CC and) (S (NP (PRP we)) (VP (VBD did) (RB n't) (VP (VB have) (S (NP (JJ enough) (NNS books)) (VP (TO to) (VP (VB fill) (NP (PRP it)) (PRT (RP up))))))))))
[31],(ROOT (SQ (VBP Are) (NP (PRP you)) (PP (JJ serious)) (. ?)))
[36],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ psychedelic))) (. .)))
[38],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP he)) (ADVP (RB just)) (VP (, ,) (NP (UH like)) (, ,) (S (ADJP (RB totally) (JJ sarcastic) (CC and) (JJ hilarious))))))"
[39],"(ROOT (PRN (CC and) (S (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (, ,))))"
[40],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (NP (NP (DT a) (NN lot)) (PP (IN like) (NP (PRP him))) (PP (IN in) (NP (DT a) (NN way))))) (, ,)))"
"[35, 37]","(ROOT (S (CC but) (, ,) (ADVP (CC But)) (, ,) (INTJ (UH uh)) (, ,) (PP (RB so) (NP (WP what))) (, ,) (NP (WP what)) (VP (VBP do) (S (NP (PRP you)) (VP (VB like))) (, ,) (SBAR (WHADVP (WRB why)) (S (VP (VBP do) (S (NP (PRP you)) (VP (VB like) (NP (NNP DAVID) (NNP LETTERMAN)))))))) (. ?)))"
"[41, 43]",(ROOT (UCP (ADJP (RB so)) (CC and) (NP (NP (PRP he)) (VP (HVS 's) (VP (VBN got) (NP (JJ curly) (NN hair)))))))
[44],(ROOT (FRAG (CC and) (ADVP (RB so) (S (VP (VBP do) (NP (PRP I)))))))
[42],"(ROOT (FRAG (RB So) (NP (DT the) (, ,))))"
[46],"(ROOT (SINV (FRAG (INTJ (UH Oh))) (, ,) (VP (VBP do) (S (NP (PRP you)) (VP (VB watch) (NP (NNP SATURDAY))))) (NP (NP (NN NIGHT)) (ADJP (JJ LIVE))) (. ?)))"
[47],(ROOT (FRAG (WHNP (WP What)) (. ?)))
[45],"(ROOT (NP (RB so) (, ,)))"
[49],(ROOT (NP (JJ Curly) (NN hair)))
[50],"(ROOT (S (CC and) (ADVP (RB so)) (VP (VBP do) (NP (PRP I))) (, ,)))"
[48],(ROOT (S (NP (PRP He)) (VP (HVS 's) (VP (VBN got) (NP (WP what)))) (. ?)))
[52],"(ROOT (PRN (UH Hey) (S (NP (PRP I)) (VP (VBN got) (NP (JJ long) (NN hair)))) (, ,)))"
[53],"(ROOT (S (VP (VB wait)) (, ,)))"
[51],(ROOT (S (VP (PP (RB so) (NP (UH hey)))) (. .)))
[55],"(ROOT (FRAG (PP (UH Cool)) (, ,)))"
[54],(ROOT (S (VP (VB wait)) (. .)))
[57],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (, ,)))"
[58],"(ROOT (FRAG (PP (CC but) (NP (NNS people))) (, ,)))"
[59],(ROOT (FRAG (NP (NP (DT the) (JJ other) (NN day)) (SBAR (S (NP (PRP I)) (VP (VBD went) (PP (IN into) (NP (DT a) (NN bar)))))))))
[56],(ROOT (SBARQ (WHADJP (WRB how) (JJ long)) (SQ (VBZ is) (NP (PRP it))) (. ?)))
[60],(ROOT (S (CC and) (NP (DT this) (NN guy)) (VP (VBD asked) (S (NP (PRP me)) (VP (TO to) (VP (VB dance))))) (. .)))
[62],(ROOT (S (NP (NP (DT All)) (SBAR (S (NP (PRP he)) (VP (VBD saw))))) (VP (VBD was) (NP (PRP$ my) (NN hair)))))
[63],"(ROOT (S (CC and) (NP (PRP he)) (VP (VP (VBZ goes)) (, ,) (VP (VBP do) (S (NP (PRP you)) (VP (VB want) (S (VP (TO to) (VP (VB dance)))))))) (. .)))"
[61],X
[64],"(ROOT (S (S (NP (PRP I)) (VP (VP (VBP turn) (ADVP (RB around))) (CC and) (VP (VBP go)))) (, ,) (FRAG (WHNP (WP what))) (. !)))"
[66],(ROOT (S (NP (PRP He)) (VP (VBZ goes) (SBAR (SINV (VBP do) (NP (PRP you)) (VP (VB want) (S (VP (TO to) (VP (VB dance)))))))) (. .)))
[67],"(ROOT (S (NP (PRP I)) (VP (VBP go) (VP (FRAG (INTJ (UH no))))) (, ,)))"
[68],"(ROOT (INTJ (UH no) (, ,)))"
[69],"(ROOT (S (NP (PRP he)) (VP (VBZ goes) (S (INTJ (UH oh)) (, ,) (INTJ (UH oh)) (, ,) (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ sorry))))) (. .)))"
[70],"(ROOT (S (NP (PRP I)) (VP (VBP go) (PRN (, ,) (INTJ (UH yeah)) (, ,)))))"
[71],(ROOT (S (NP (PRP you)) (ADVP (RBR better)) (VP (VB be)) (. .)))
[65],X
"[72, 74]","(ROOT (S (NP (PRP I)) (VP (VBP go) (, ,) (S (NP (PRP you)) (ADJP (RBR better)) (S (VP (VB be)))))))"
[73],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ hilarious))) (. .)))
"[75, 77]","(ROOT (FRAG (S (RB so) (VP (VP (, ,) (S (VP (ADVP (CC But)) (S (SBAR (PRN (, ,) (INTJ (UH okay)) (, ,)) (S (NP (ADVP (RB so))) (VP (VBP d)))))))) (PRN (, ,) (S (VP (VB wait))))))))"
[76],X
[79],"(ROOT (INTJ (UH No) (, ,)))"
[80],"(ROOT (S (NP (PRP it)) (VP (, ,))))"
[81],"(ROOT (PP (IN with) (WHNP (WHNP (DT the)) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[82],"(ROOT (SBARQ (WHNP (WP who)) (SQ (VBD was) (NP (NP (IN on)) (, ,) (NP (DT the) (NN music) (NNS people)) (, ,)))))"
[78],(ROOT (SQ (VBP do) (NP (PRP you)) (VP (VB watch) (NP (NNP SATURDAY) (NN NIGHT)) (NP (JJ LIVE) (NN yesterday))) (. ?)))
[83],(ROOT (S (VP (VBD was) (RB n't) (NP (DT that) (NNP Fishbone))) (. .)))
[85],(ROOT (INTJ (UH Yeah)))
[86],"(ROOT (S (NP (PRP I)) (VP (VBD saw) (NP (DT that))) (, ,)))"
[87],(ROOT (S (NP (PRP it)) (VP (VBD was) (ADJP (JJ awesome))) (. .)))
[84],(ROOT (INTJ (UH Yeah) (. .)))
[89],"(ROOT (INTJ (UH No) (, ,)))"
[88],(ROOT (S (CC But) (NP (PRP I)) (VP (VBD did) (RB n't) (VP (VB see) (NP (NP (DT the) (NN rest)) (PP (IN of) (NP (PRP it)))))) (. .)))
[90],"(ROOT (S (INTJ (UH oh)) (, ,) (NP (PRP you)) (VP (VBD missed) (NP (NP (NNP WAYNE) (POS 'S)) (NN WORLD))) (. .)))"
[91],(ROOT (SQ (VBP Are) (NP (PRP you)) (PP (JJ serious)) (. ?)))
[92],(ROOT (S (NP (NP (NNP WAYNE) (POS 'S)) (NN WORLD)) (VP (VBD was) (ADJP (RB pretty) (JJ cool))) (. .)))
[94],"(ROOT (VP (ADVP (ADVP (RB So)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (VB let) (S (NP (PRP 's)) (VP (VB see)) (, ,))))"
[95],(ROOT (FRAG (WHNP (WP what) (RB else)) (. .)))
[93],(ROOT (S (NP (PRP They)) (VP (VBP 're) (ADJP (JJ awesome))) (. .)))
[97],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH really) (. ?))))"
[99],"(ROOT (INTJ (UH Yeah) (, ,)))"
