[1],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (PRP I)) (VP (VBP have) (RB n't) (VP (VBN given) (NP (NP (DT this) (DT a)) (, ,) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN thought))))))) (. .)))"
[2],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (DT that)) (, ,) (NP (NP (DT that)) (PP (BES 's) (NP (DT a) (JJ whole)))) (, ,) (VP (VBN pleased) (PP (IN with) (NP (NP (DT the) (NN pr-)) (, ,) (NP (NP (NN practice)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (NP (PRP they))))))))) (, ,)))))"
[3],"(ROOT (SBAR (WHNP (NP (PRP I)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (NP (PRP I)) (VP (VBP do) (RB n't)) (, ,))))"
[4],"(ROOT (S (NP (PRP you)) (VP (MD would) (VP (VB favor) (NP (NP (NNS invasions)) (PP (IN of) (NP (NN privacy)))) (PP (IN on) (NP (NP (DT the) (JJ other) (NN hand)) (SBAR (SBAR (WHNP (WDT that)) (S (VP (BES 's) (ADJP (JJ arguable))))) (CC but) (SBAR (IN that) (, ,) (S (SBAR (IN that) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (NP (NP (NP (NNS people)) (SBAR (WHNP (WP who)))) (POS 's)) (NNS jobs)) (VP (VBP are) (ADJP (JJ critical) (PP (IN to) (NP (JJ public) (NN safety))))))) (VP (MD should) (VP (VB have) (S (VP (TO to) (VP (VB meet) (NP (JJ special) (NNS standards)))))))))))))) (. .)))"
[0],(ROOT (S (VP (VB Go) (PRT (RP ahead))) (. .)))
[5],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (VBP have) (RB n't) (VP (VBN given) (NP (DT this) (NN matter)) (NP (RB enough) (NN thought)))) (. .)))"
[6],(ROOT (SQ (VBP Do) (NP (PRP you)) (VP (VB work) (PP (IN for) (NP (NNP T) (NNP I)))) (. ?)))
[7],"(ROOT (INTJ (INTJ (UH No)) (, ,) (INTJ (UH uh) (, ,))))"
[9],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (PP (IN in) (NP (DT the) (NNP Washington) (NN area)))) (. .)))
[8],(ROOT (INTJ (UH Oh) (. .)))
[11],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH okay) (. .))))"
[12],"(ROOT (FRAG (INTJ (UH Oh)) (, ,) (ADVP (RB all) (JJ right)) (. .)))"
[13],"(ROOT (S (INTJ (UH Well) (, ,) (UH see)) (VP (ADVP (PRP we)) (VB have) (NP (NP (DT the) (NN testing)) (PP (RB already) (ADVP (RB here))))) (. .)))"
[10],(ROOT (S (NP (PRP I)) (VP (VBP work) (PP (IN for) (NP (NNP N) (NNP I) (NNP S) (NNP T)))) (. .)))
[14],"(ROOT (S (NP (PRP We)) (VP (VBP 've) (VP (VBN had) (NP (PRP it)) (PP (IN for) (PRN (, ,) (INTJ (UH oh)) (, ,)) (NP (NP (QP (RB about) (CD five))) (NP (NNS years)))))) (. .)))"
[16],(ROOT (S (NP (PRP It)) (VP (VBD used) (S (VP (TO to) (ADVP (RB just)) (VP (VB be) (PP (IN for) (NP (JJ new) (NNS employees))))))) (. .)))
[15],(ROOT (INTJ (UH Uh-huh) (. .)))
"[17, 19]",(ROOT (S (CC And) (ADVP (RB now)) (NP (PRP it)) (VP (BES 's) (PP (IN for) (NP (DT all) (NNS employees)))) (. .)))
[20],"(ROOT (S (NP (NP (PRP They)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (ADVP (RB randomly)))) (VP (VBP select) (NP (NN employee) (NNS numbers)))))"
[18],"(ROOT (FRAG (CC And) (ADVP (RB now)) (, ,)))"
[22],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[21],"(ROOT (S (CC and) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NP (DT the) (NN day)) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBP select) (NP (PRP you)))))) (VP (VBZ is) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VP (VB go)) (CC and) (, ,) (CC and) (VP (VB be) (VP (VBN tested))))))))))) (. .)))"
[24],"(ROOT (S (INTJ (UH So)) (, ,) (NP (PRP we)) (VP (VBP 're) (ADJP (JJ familiar) (PP (IN with) (NP (PRP it))))) (. .)))"
[25],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP we)) (VP (VBP have) (S (NP (NP (DT a) (NN lot)) (PP (IN of) (PRN (, ,) (INTJ (UH um)) (, ,)) (NP (NNS people))) (VP (VBN upset) (PP (IN about) (NP (PRP it))) (PP (IN at) (NP (DT the) (NN beginning))) (. .))) (NP (NP (DT Some)) (ADJP (RB not) (DT all))))) (. .)))"
[26],"(ROOT (S (CC But) (NP (WP what)) (VP (VBD was) (VP (VBG happening) (PP (IN at) (NP (NP (NNP T) (NNP I)) (SBAR (S (VP (VBZ is) (SBAR (IN that) (S (NP (PRP they)) (VP (VBD found) (NP (NP (JJ certain) (NNS parts)) (PP (IN of) (NP (NP (DT the) (NN company)) (SBAR (S (NP (EX there)) (VP (VP (VBD was) (NP (NP (DT a) (NN lot)) (PP (IN of) (FRAG (NP (NN drug) (NN abuse)) (. .)))) (NP (UH Um))) (, ,) (NP (NP (RB mainly) (DT the) (NNS areas)) (FRAG (WHADVP (WRB whe))))))) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VBD were) (VP (VBG doing) (NP (NP (DT a) (NN lot)) (PP (IN of) (PRN (, ,) (INTJ (UH um)) (, ,)) (NP (NN manufacturing) (NN type) (NNS things)))))))))))))))))))))))"
[27],"(ROOT (FRAG (CC and) (NP (NP (WP what)) (SBAR (S (NP (PRP they)) (VP (VBD ended) (PRT (RP up)) (S (VP (VBG doing) (SBAR (S (VP (VBZ is) (PRN (, ,) (INTJ (UH uh)) (, ,))))) (PP (ADVP (RB kind) (RB of)) (IN like) (S (VP (VBG doing) (NP (NP (DT a) (JJ little) (NN bit)) (PP (IN of) (NP (DT an) (JJ undercover) (NN agent))))))))) (S (VP (TO to) (VP (VB watch) (SBAR (WHNP (WP what)) (S (VP (VBD was) (VP (VBG happening)))))))) (, ,)))))))"
[23],(ROOT (SBARQ (CC and) (WHADVP (WRB how)) (SQ (VBP do) (NP (NNS people)) (VP (VB feel) (PP (IN about) (NP (PRP it))))) (. ?)))
[29],"(ROOT (INTJ (INTJ (UH Well)) (, ,) (INTJ (UH okay) (, ,))))"
[28],"(ROOT (S (S (CC and) (NP (PRP we)) (VP (VBD had) (NP (NP (NNS people)) (VP (VP (VBG using) (PP (IN on) (NP (DT the) (NNS premises)))) (CC and) (ADVP (RB actually)) (VP (VBG selling) (CC and) (VBG dealing)))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (PP (IN on) (NP (DT the) (NNS premises)))) (. .)))"
[31],"(ROOT (INTJ (INTJ (UH Well)) (, ,) (INTJ (UH yeah) (, ,))))"
[32],"(ROOT (S (NP (PRP it)) (VP (VBD was) (VP (VP (, ,) (S (VP (NP (NP (PRP you)) (SBAR (S (VP (VBP know) (, ,) (NP (NN combination)) (ADVP (IN of)) (, ,) (PP (IN of) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (DT both) (NX (NX (NNS activities)) (CC and)))))))) (PRN (, ,) (INTJ (UH uh)) (, ,))))) (CC and) (VP (VBG using) (ADVP (RB too)))))))"
[33],"(ROOT (S (NP (RB so) (PRP they)) (VP (VBD developed) (NP (NP (ADJP (DT this) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN drug) (NN policy)) (SBAR (IN so) (S (PP (IN that) (PRN (, ,) (INTJ (UH uh)) (, ,)))))) (S (VP (TO to) (VP (VB eliminate))))) (, ,)))"
[34],"(ROOT (S (NP (EX there)) (VP (BES 's) (NP (NP (DT some) (NNS parts)) (PP (IN of) (NP (NP (DT the) (NN company)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBP do))))))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (NN government) (NNS contracts)))) (, ,)))"
[35],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (DT some)) (PP (IN of) (NP (DT those)))) (VP (VBP require) (NP (DT the) (NN drug) (NN testing)))))) (, ,))))"
[36],"(ROOT (S (CC but) (SBAR (RB now) (S (NP (NNP T) (NNP I)) (VP (VBD thought) (INTJ (UH well))))) (, ,) (NP (PRP we)) (VP (MD 'll) (ADVP (RB just)) (VP (VB do) (NP (PRP it)) (PP (IN for) (NP (NP (DT all) (NNS employees)) (SBAR (WHNP (WHNP (WDT that)) (PRN (, ,) (INTJ (UH um)) (, ,))) (S (UCP (CONJP (RB not) (RB just)) (PP (IN because) (PP (IN of) (NP (NN safety) (NNS issues)))) (CC but) (SBAR (IN because) (S (NP (PRP we)) (VP (VBP want) (S (NP (NP (DT a) (ADJP (RB totally) (NP (NN drug)) (JJ free)) (JJ safe) (NN environment)) (PP (IN for) (NP (DT all) (NNS people)))) (VP (TO to) (VP (VB work) (PP (IN in)))))))))))))))))"
[30],"(ROOT (S (NP (DT that) (BES 's)) (, ,) (NP (DT that)) (VP (BES 's) (NP (DT a) (ADJP (RB very) (JJ different)) (NN issue))) (. .)))"
[37],"(ROOT (S (CC and) (SBAR (IN that) (S (NP (PRP we)) (VP (MD should) (RB n't) (VP (VB have) (, ,) (INTJ (UH um)) (, ,) (NP (NP (NNS people)) (PP (IN on) (NP (NP (NNS drugs)) (PP (IN within) (NP (PRP$ our)))))))))) (, ,) (NP (PRP you)) (VP (VP (VBP know)) (, ,) (NP (NP (NNS offices)) (CC and) (NP (JJ such)))) (. .)))"
[39],"(ROOT (S (NP (PRP I)) (VP (VBP have) (RB n't) (ADVP (RB personally) (RB ever)) (VP (VBN been) (VP (VBN tested)))) (, ,)))"
[38],"(ROOT (FRAG (CC And) (NP (, ,))))"
[40],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP (NP (DT a) (NN problem)) (PP (IN with) (NP (PRP it)))))) (. .)))
[42],"(ROOT (INTJ (UH No) (, ,)))"
[43],"(ROOT (S (CC but) (NP (NP (CD one) (NN thing)) (SBAR (WHNP (WDT that)) (S (PP (PP (IN to)) (, ,) (PP (IN to) (NP (PRP me)))) (VP (VBD was) (, ,) (INTJ (UH um)) (, ,) (S (VP (VP (VBG going) (PRT (RP on))) (, ,) (VP (VBG stretching) (NP (PRP it)) (ADVP (ADVP (NP (DT a) (RB little)) (RB too)) (RB far))))))))) (VP (VBD was) (SBAR (IN that) (S (NP (PRP they)) (ADVP (RB also)) (VP (VBP check) (, ,) (NP (UH um)) (, ,) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP are) (VP (VBG taking) (NP (NP (NN somebody) (RB else) (POS 's)) (NN prescription) (NN drug)))))))))) (. .)))"
[44],"(ROOT (S (NP (PRP You)) (VP (VBP know) (, ,) (SBAR (S (NP (PRP it)) (VP (VBZ happens) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS times))))))))))"
[45],(ROOT (SBAR (IN like) (S (NP (NP (DT some) (NN member)) (PP (IN of) (NP (DT the) (NN family)))) (VP (VP (VBZ gets) (NP (DT the) (NN flu))) (CC or) (VP (FRAG (WHNP (WP whatever))))))))
