[0],"(ROOT (FRAG (S (VP (VBP Do) (S (NP (PRP you))) (, ,) (S (INTJ (UH uh)) (, ,) (VP (VB have) (NP (DT a) (NN family)) (NP (NN budget)) (, ,)))))))"
[2],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (NP (NP (IN for) (JJ many)) (, ,) (NP (JJ many) (NNS years)) (, ,)) (SBAR (S (INTJ (UH uh)) (, ,) (NP (NP (PRP$ my) (NN wife)) (CC and) (NP (PRP I))) (VP (VBD did))))) (VP (VBP have) (NP (DT a) (NN budget))) (. .)))"
[3],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP we)) (VP (VBD were) (DT both) (VP (VBG working) (PP (IN at) (NP (DT the) (NN time) (CC and) (RB so))))) (RB forth)))"
[4],"(ROOT (NP (NP (CC and)) (PRN (, ,) (FRAG (INTJ (UH uh)) (, ,) (ADVP (IN that))) (, ,))))"
[1],"(ROOT (S (CC or) (, ,) (ADVP (WRB how)) (VP (VBP do) (S (NP (PRP you)) (VP (VB work) (NP (PRP$ your) (NN budgeting))))) (. ?)))"
[5],"(ROOT (S (NP (PRP we)) (VP (VBD had) (S (VP (TO to) (VP (VB do) (NP (DT that)) (SBAR (IN until) (S (NP (PRP we)) (ADVP (RB finally)) (VP (VBD got) (S (S (NP (DT the) (NN house)) (VP (VBN paid) (PP (IN for)))) (CC and) (, ,) (CC and) (S (NP (JJ other) (JJ big) (NNS bills)) (VP (VBN taken) (NP (NP (NN care)) (PP (IN of))))))))))))) (. .)))"
[7],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (PRP we)) (VP (VBP have) (NP (NP (DT a)) (, ,) (NP (DT a) (NN budget)))) (, ,)))"
[6],(ROOT (INTJ (UH Uh-huh) (. .)))
[8],(ROOT (FRAG (CC but) (RB not) (NP (NP (IN as) (JJ strict)) (SBAR (ADVP (RB now)) (IN as) (S (NP (PRP we)) (VP (VBD used) (PP (TO to)) (SBAR (IN because) (S (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB have) (S (NP (RB quite) (PDT such) (DT a) (JJ tight)) (NP (JJ financial) (NN situation))))))))))) (. .)))
[10],"(ROOT (S (S (ADVP (RB So)) (NP (PRP it))) (, ,) (NP (PRP it)) (VP (BES 's) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (JJ helpful))))) (. .)))"
[11],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (INTJ (UH yes)) (, ,)))))"
[12],"(ROOT (S (VP (VBG having) (S (NP (DT a) (NN budget)) (VP (VBZ is) (ADJP (RB very) (, ,) (RB very) (JJ important)))))))"
[13],"(ROOT (FRAG (CC and) (NP (NP (DT that)) (SBAR (S (VP (VBD did) (VP (VB get) (NP (PRP us)) (ADVP (IN so)) (SBAR (IN that) (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (S (S (NP (DT the) (NN house)) (VP (VBZ is) (VP (VBN paid) (PP (IN for))))) (CC and) (, ,) (INTJ (UH uh)) (, ,) (S (NP (JJ other) (JJ major) (NNS things)) (VP (VBP are) (VP (VBN taken) (NP (NP (NN care)) (PP (IN of)))))))))))))))))"
[14],"(ROOT (FRAG (CC and) (NP (NP (RB now)) (SBAR (S (NP (PRP we)) (VP (MD can) (VP (VB relax) (NP (DT a) (JJ little) (NN bit)) (ADVP (ADVP (RBR more)) (SBAR (IN because) (S (ADVP (RB basically)) (NP (PRP we)) (VP (VBP do) (RB n't) (ADVP (RB really)) (VP (VB require) (ADVP (ADVP (RB as) (RB much)) (PP (IN on) (NP (NP (DT a) (JJ daily)) (CC or) (NP (DT a) (JJ monthly) (NN basis))))) (SBAR (IN as) (S (NP (PRP we)) (VP (VBD did) (ADVP (RB before))))) (, ,)))))))))))))"
[9],(ROOT (INTJ (UH Yeah) (. .)))
[16],"(ROOT (S (INTJ (UH Oh) (, ,) (UH well)) (, ,) (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB have) (NP (DT a) (RB real) (JJ strict) (NN budget)))) (. .)))"
[17],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (PRP we)) (VP (VBP have) (NP (NP (DT a)) (, ,) (NP (DT a) (JJ low) (NN budget) (S (VP (TO to) (VP (VB work) (PRT (RP on)))))))) (, ,)))"
[18],"(ROOT (PRN (CC but) (SBAR (WHNP (NP (PRP we)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (NP (PRP you)) (VP (VBP know)) (, ,)))))"
[19],"(ROOT (S (PP (IN for) (PP (IN like) (NP (NNS groceries)))) (, ,) (NP (PRP we)) (VP (VBP say) (NP (NP (RB about) (DT this) (JJ much)) (PP (IN per) (NP (NN week)))))))"
[15],"(ROOT (S (RB so) (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB have) (S (VP (TO to) (VP (VB have) (S (ADVP (RB quite) (PP (IN as) (NP (JJ strict)))) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (DT a) (NN budget)) (PP (IN as) (NP (PRP we)))) (VP (VBD did)))))))) (. .)))"
[21],"(ROOT (FRAG (PP (UH Sure)) (, ,)))"
"[20, 23]",(ROOT (S (CC and) (RB then) (NP (PRP we)) (ADVP (RB just)) (VP (VBP spend) (NP (QP (RB about) (RB so) (JJ much)))) (. .)))
[24],"(ROOT (S (NP (PRP We)) (VP (VP (VBP do) (RB n't)) (PRN (, ,) (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (PP (IN of) (NP (NP (DT a) (VBN written) (NN figure)) (PP (IN of) (NP (NP (NP (NNS expenses)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (VP (VBP keep) (PP (IN to)))))) (CC or) (NP (NN anything))))))))) (, ,)))))"
[22],(ROOT (INTJ (UH uh-huh) (. .)))
[25],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBP know) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP go) (PP (IN to) (NP (DT the) (NN grocery) (NN store))) (SBAR (IN that) (S (NP (PRP we)) (ADVP (RB always)) (VP (VBP stick) (PP (IN within) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (NP (CD five) (NNS dollars)) (UCP (PP (IN between) (NP (RB here))) (CC and) (ADVP (RB there)))))))))))) (. .)))"
[26],(ROOT (INTJ (UH Uh-huh) (. .)))
[27],(ROOT (NP (DT A) (JJ certain) (NN amount) (. .)))
[28],"(ROOT (S (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (VBP 've)))))) (, ,) (NP (PRP I)) (VP (VBP do) (S (NP (DT that)) (ADVP (RB automatically)) (NP (PRP myself)))) (. .)))"
[29],(ROOT (INTJ (UH Yeah) (. .)))
"[30, 32]","(ROOT (S (S (NP (PRP I)) (VP (VBP mean))) (, ,) (NP (PRP I)) (ADVP (RB unconsciously)) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP you)) (VP (VBP know) (, ,) (VBP stay) (PP (IN in) (NP (NP (NP (DT a)) (, ,) (ADVP (IN within) (DT a)) (, ,)) (PP (IN with) (NP (DT a) (JJ certain) (NN amount))))) (PP (IN because) (NP (PRP I)))))) (, ,) (NP (PRP I)) (VP (VBP have) (NP (JJ enough) (NN food)) (ADVP (RB already)) (VP (VBN stored) (ADVP (RB here)) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (S (VP (TO to) (VP (VB make) (NP (DT any) (JJ large) (NN purchase)) (PP (IN at) (NP (DT any) (CD one) (NN time)))))))))))) (. .)))"
[31],(ROOT (INTJ (UH Oh) (. .)))
[34],"(ROOT (FRAG (PP (UH Wow)) (, ,)))"
[33],(ROOT (S (NP (DT All) (PRP I)) (ADVP (RB normally)) (VP (VBP do) (ADVP (RB now)) (SBAR (SBAR (S (VP (VBZ is) (VP (VB pick) (PRT (RB up)) (NP (JJ little) (NNS things)) (ADVP (RB here)))))) (CC and) (SBAR (ADVP (RB there) (. .)) (IN If) (S (S (NP (DT the) (NN salt)) (VP (VBZ goes) (PRT (RP out)))) (CC or) (S (NP (PRP we)) (VP (VBP need) (NP (NP (NN sugar) (CC or) (NN something)) (PP (IN like) (NP (DT that)))))))))) (. .)))
[36],"(ROOT (INTJ (UH Yeah) (, ,)))"
[37],"(ROOT (S (NP (PRP we)) (VP (VBP have) (NP (CD two) (NNS freezers))) (, ,)))"
[38],"(ROOT (S (CC and) (, ,) (PP (IN course)) (, ,) (NP (PRP we)) (VP (VBP have) (NP (NP (DT a) (JJ large) (NN garden)) (ADVP (RB here)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBP grow) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (PRP$ our) (JJ own) (NN stuff)))))))))))"
[39],"(ROOT (PRN (CC and) (S (NP (PRP we)) (VP (VBP freeze) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (DT that))))) (, ,))))"
[35],(ROOT (S (NP (DT that)) (VP (BES 's) (ADJP (JJ great))) (. .)))
[41],(ROOT (INTJ (UH Oh) (. .)))
"[40, 42]","(ROOT (S (NP (NP (RB so) (DT a) (NN lot)) (PP (IN of) (NP (DT the) (NNS vegetables)))) (VP (VBP are) (VP (VBN taken) (NP (NP (NN care)) (PP (IN of) (PP (IN in) (NP (PRP$ our) (JJ own) (XX p-) (, ,) (JJ personal) (NN storage))))))) (. .)))"
[44],"(ROOT (S (FRAG (INTJ (UH Well)) (, ,) (NP (PRP we))) (, ,) (NP (PRP we)) (VP (VBP keep) (NP (DT a) (JJ little) (NN note) (NN pad)) (ADVP (IN on) (DT a)) (, ,) (PP (IN on) (NP (DT a) (NN wall)))) (. .)))"
[45],"(ROOT (FRAG (PP (XX W-)) (, ,)))"
[46],"(ROOT (NP (S (SBAR (IN if) (S (NP (NN anything)) (VP (VBZ is) (ADVP (RB absolutely)) (ADJP (RP out))))) (, ,) (VP (VB make) (NP (NP (DT a) (NN note)) (PP (IN of) (NP (PRP it))))))))"
[43],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP you) (NNS guys)) (VP (VBP sound) (S (NP (RB pretty) (NN self)) (ADJP (JJ sufficient)))) (. .)))"
[47],"(ROOT (S (CC and) (ADVP (RB then)) (, ,) (INTJ (UH uh)) (, ,) (NP (DT the) (JJ next) (NN time)) (NP (PRP I)) (VP (VBP go) (PP (IN to) (NP (DT the) (NN store))) (, ,) (SBAR (WHADVP (WRB why)) (, ,) (S (NP (PRP I)) (VP (VP (VBP pick) (NP (PRP it)) (PRT (RB up))) (CC and) (VP (VBP fill) (NP (PRP it)) (PRT (RB up))))))) (. .)))"
[49],"(ROOT (S (S (RB So) (NP (PRP it)) (VP (HVS 's))) (, ,) (NP (PRP it)) (VP (HVS 's) (VP (VBN worked) (ADVP (ADVP (RB very) (RB well)) (NP (DT that) (NN way))))) (. .)))"
[50],"(ROOT (S (NP (DT That) (NN way)) (PRN (S (NP (PRP we)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,)) (SBAR (IN if) (S (NP (NP (DT each)) (PP (IN of) (NP (PRP us)))) (VP (VBZ finds) (SBAR (S (NP (NN something)) (VP (VBZ is) (ADJP (VBG missing)))))))) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP we)) (VP (VBP put) (NP (PRP it)) (ADVP (RB up))) (. .)))"
[48],(ROOT (INTJ (UH Huh) (. .)))
[51],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (DT the) (JJ other) (NN person)) (VP (MD might) (RB not) (VP (VB know) (PP (IN about) (NP (PRP it))))) (. .)))"
[52],(ROOT (INTJ (UH Yeah) (. .)))
[54],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (DT that)) (VP (BES 's) (NP (DT a) (JJ good) (NN idea))) (. .)))"
[56],"(ROOT (S (VP (VB Let) (S (NP (PRP 's)) (VP (VB see)) (, ,)))))"
[57],"(ROOT (S (NP (DT the) (JJ other) (NN thing)) (VP (NP (NP (EX there)) (SBAR (S (NP (DT the) (NN topic)) (VP (VBD was) (VP (VBG talking) (SBAR (IN about) (S (VP (VBD was) (, ,) (PP (IN if)) (, ,) (ADVP (IN if)))))))))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[58],"(ROOT (NP (NP (NP (DT all)) (SBAR (S (NP (PRP I)) (VP (MD can) (VP (VB think)))))) (PP (IN of) (NP (S (VP (VBZ is) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP do) (RB n't) (VP (VB keep) (NP (DT a) (RB real)))))))) (, ,) (NP (NP (DT a) (ADJP (RB real) (JJ tight)) (NN budget)) (, ,) (SBAR (WHADVP (WRB how)) (S (VP (VBP do) (S (NP (PRP you)) (VP (VB control) (NP (NNS expenses)))))))) (, ,)))))"
[59],"(ROOT (NP (NP (CC but)) (PRN (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (CD one))) (, ,))))"
[60],(ROOT (SINV (S (NP (NP (DT another) (NN thing)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBP do))))) (VP (VBZ is) (NP (PRP we)))) (VP (ADVP (RB always)) (VBP fly) (ADVP (RB back)) (PP (IN to) (NP (NNP California) (CC and) (NNP Washington)))) (NP (DT each) (NNP Christmas)) (. .)))
[61],"(ROOT (S (INTJ (UH Well)) (, ,) (VP (RB not) (VP (VB fly) (ADVP (RB back)))) (, ,)))"
"[53, 55]",(ROOT (S (NP (DT That) (NN way)) (NP (PRP we)) (VP (VBP keep) (PRT (RP up)) (PP (IN to) (NP (NN date)))) (. .)))
[62],(ROOT (S (CC but) (ADVP (RB somehow)) (NP (PRP we)) (VP (VBP get) (ADVP (RB back) (RB there))) (. .)))
[64],"(ROOT (S (CC And) (, ,) (INTJ (UH uh)) (, ,) (NP (DT this) (NN year)) (ADVP (PRP we)) (VP (VBD did) (NP (PRP it)) (PP (IN by) (NP (NN train))) (SBAR (IN because) (S (NP (PRP it)) (VP (VBD was) (NP (DT the) (ADJP (JJS least) (JJ expensive)))))))))"
[63],(ROOT (INTJ (UH Uh-huh) (. .)))
[65],"(ROOT (FRAG (CC and) (ADVP (, ,))))"
[67],(ROOT (INTJ (UH Huh) (. ?)))
"[66, 68]","(ROOT (S (INTJ (UH Well) (, ,) (UH actually)) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (RBR more) (JJ interesting)) (, ,) (ADVP (RB too)) (, ,) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP 've) (VP (VBN got) (NP (DT the) (NN time))))))) (. .)))"
[69],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (. .))))"
[70],X
[72],(ROOT (INTJ (UH Yeah) (. .)))
[75],(ROOT (INTJ (UH Sure) (. .)))
[77],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP we)) (ADVP (RB unconsciously)) (VP (VBP do) (NP (DT the) (JJ same) (NN thing)))))) (. .)))"
"[71, 73]","(ROOT (S (CC And) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP you)) (VP (VBP know)))) (, ,) (NP (PRP we)) (VP (MD could) (VP (VB go) (PP (IN to) (NP (DT both) (NNS places))) (PP (IN without) (S (VP (VBG having) (S (VP (TO to) (VP (VB spend) (ADJP (RB so) (JJ much)) (PP (IN for) (NP (NN plane) (NN fare))))))))))) (. .)))"
[79],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[78],"(ROOT (S (S (VP (VB Excuse) (NP (PRP me)))) (, ,) (NP (PRP$ my) (NN throat)) (VP (BES 's) (RB not) (ADJP (RB as) (JJ clear)) (NP (NN today)) (SBAR (IN as) (S (NP (PRP it)) (VP (MD should) (VP (VB be)))))) (. .)))"
