[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[1],"(ROOT (FRAG (ADJP (NP (PRP you)) (JJ ready)) (S (VP (TO to) (VP (VB discuss) (NP (NP (DT the)) (, ,) (NP (DT the) (NN topic)))))) (. ?)))"
[3],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[2],(ROOT (SBARQ (WHNP (WP What)) (SQ (BES 's) (NP (DT the) (NN topic))) (. ?)))
[4],"(ROOT (S (NP (DT the) (NN topic)) (VP (VP (VBZ is) (NP (JJ social) (NNS changes))) (CC and) (VP (VB discuss) (NP (NP (NP (JJ social) (NNS changes)) (PP (IN in) (NP (NNP America)))) (CC and) (SBAR (SBAR (WHADVP (WRB how)) (S (NP (PRP they)) (VP (VBP relate)))) (, ,) (CC or) (SBAR (WHADVP (WRB how)) (S (NP (PRP they)) (VP (VBP differ) (NP (NN today))))))) (SBAR (IN than) (S (NP (PRP they)) (VP (VBD were) (UCP (NP (CD ten)) (, ,) (NP (CD fifteen)) (CC or) (ADVP (NP (CD thirty) (NNS years)) (RB ago)))))))) (. .)))"
[5],(ROOT (INTJ (UH Okay) (. .)))
[6],(ROOT (S (NP (PRP You)) (ADJP (JJ ready) (PP (IN for) (NP (DT that)))) (. ?)))
[7],(ROOT (S (NP (PRP You)) (VP (VBP bet)) (. .)))
[8],(ROOT (INTJ (UH Okay) (. .)))
[9],(ROOT (S (NP (PRP I)) (VP (MD 'll) (VP (VB let) (S (NP (PRP you)) (VP (VB lead) (PRT (RP out)))))) (. .)))
[10],(ROOT (SQ (VP (VB Pardon) (NP (PRP me))) (. ?)))
[12],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[13],"(ROOT (S (ADVP (UH well)) (, ,) (NP (EX there)) (VP (BES 's) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[14],(ROOT (S (NP (PRP it)) (VP (BES 's) (ADVP (RB kind) (RB of)) (NP (DT an) (JJ interesting) (NN topic)))))
[15],"(ROOT (S (NP (CC and)) (VP (NP (NP (CD one)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBP think) (S (S (VP (VBZ is) (ADJP (RB quite) (JJ fascinating) (PP (IN because))))) (, ,) (INTJ (UH uh)) (, ,) (ADVP (NP (NP (NN couple)) (PP (IN of) (NP (NNS years)))) (RB ago)) (, ,) (NP (PRP I)) (VP (VBP guess))))))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
