[0],(ROOT (INTJ (UH Okay)))
[1],"(ROOT (FRAG (PP (UH so)) (, ,)))"
[2],(ROOT (S (ADVP (LS First)) (ADVP (WRB how)) (NP (NP (JJ much) (NN television)) (NP (NN watching))) (VP (VBP do) (S (NP (PRP you)) (VP (VB do)))) (. ?)))
[3],"(ROOT (S (NP (PRP I)) (VP (VBP do) (NP (NP (QP (DT a) (JJ little) (NN bit) (JJR more))) (SBAR (IN than) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (JJ usual) (NNS people)) (VP (VBP do) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP am) (ADVP (RB here) (JJ alone)) (PP (IN during) (NP (DT the) (NN day)))))))))))))) (, ,)))"
[4],(ROOT (INTJ (UH Uh-huh) (. .)))
[6],"(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ right))) (, ,)))"
[5],(ROOT (FRAG (CC and) (NP (NP (PRP I)) (PP (IN like) (NP (PRP it))) (PP (RB just) (IN for) (NP (DT the) (NN noise)))) (. .)))
"[7, 9]","(ROOT (X (CC but) (S (VP (VBP do) (SBAR (S (NP (PRP you)) (ADVP (RB actually)) (VP (VP (VB watch) (NP (PRP it))) (, ,) (VP (VB pay) (NP (NN attention)) (PP (IN to) (NP (PRP it)))))))))))"
[8],(ROOT (INTJ (UH Um) (. .)))
[11],"(ROOT (FRAG (PP (UH Um)) (, ,)))"
[10],(ROOT (SQ (CC or) (VBZ is) (NP (PRP it)) (ADJP (JJR more) (PP (IN of) (NP (DT a) (NN company)))) (. ?)))
[12],(ROOT (S (NP (PRP it)) (ADVP (RB just)) (VP (VBZ depends) (PP (IN on) (SBAR (WHNP (WP what)) (S (NP (PRP it)) (VP (VBZ is)))))) (. .)))
[13],(ROOT (INTJ (UH Uh-huh) (. .)))
[15],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[14],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (S (NP (PRP I)) (VP (VBP have) (NP (NP (PRP$ my) (JJ favorite) (NNS things)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBP do))))))) (, ,)))))"
[16],(ROOT (INTJ (UH okay) (. .)))
[17],(ROOT (FRAG (CC and) (RB then) (NP (NP (DT some) (NN fun) (NN thing)) (SBAR (S (VP (TO to) (VP (VB do) (ADVP (RB sometime))))))) (. .)))
[18],(ROOT (INTJ (UH Right) (. .)))
[20],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (UH actually)) (, ,) (NP (PRP I)) (VP (VBP work) (NP (JJ full) (NN time)))))"
[21],(ROOT (PRN (CC and) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBP am) (RB not) (VP (VBG working) (SBAR (S (NP (PRP I)) (VP (VBP am) (VP (VBG running)))))))))))
[22],(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP do) (RB not) (VP (VB watch) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN television)))))))))
[19],"(ROOT (FRAG (INTJ (UH Um)) (, ,) (NP (NP (WP what)) (PP (IN about) (NP (PRP you)))) (. ?)))"
[23],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP am) (ADJP (RB very) (JJ selective) (PP (IN in) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP watch))))))) (. .)))
[25],(ROOT (S (SBAR (IN If) (S (NP (EX there)) (VP (BES 's) (NP (NP (NN something)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (ADVP (RB absolutely)) (VP (VBP want) (S (VP (TO to) (VP (VB watch))))))))))) (NP (PRP I)) (VP (MD will) (VP (VP (VP (VB turn) (NP (PRP it)) (PRT (RP on))) (CC and) (VP (NN watch) (NP (PRP it)))) (CC and) (ADVP (RB then)) (VP (VB turn) (NP (PRP it)) (PRT (RP off))))) (. .)))
[24],(ROOT (INTJ (UH Right) (. .)))
[27],"(ROOT (UCP (FRAG (INTJ (UH Well))) (UH see) (SBAR (WHNP (DT that)) (S (VP (BES 's) (ADJP (JJ great))) (, ,)))))"
[26],"(ROOT (S (NP (PRP I)) (ADVP (RB probably)) (VP (VBP watch) (NP (NN television)) (NP (NP (NP (CD four) (NNS hours)) (NP (DT a) (NN week))) (, ,) (ADJP (JJ max)))) (. .)))"
[28],(ROOT (INTJ (UH yeah) (. .)))
[29],"(ROOT (FRAG (CC And) (S (VP (VP (, ,) (S (VP (CC and)))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[31],"(ROOT (S (S (ADJP (IN if))) (, ,) (SBAR (IN if) (S (NP (PRP I)) (VP (VBP do) (RB not) (VP (VB find) (NP (NP (NN something)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VP (ADVP (RB really)) (VBP want)) (CC or) (VP (ADVP (RB really)) (VBP want) (S (VP (TO to) (VP (VB watch) (, ,) (INTJ (UH well)) (, ,) (ADVP (RB then)))))))))))))) (NP (PRP I)) (ADVP (RB just)) (VP (VBP do) (RB not) (VP (VB turn) (NP (PRP it)) (PRT (RP on)))) (. .)))"
[30],"(ROOT (INTJ (UH Well) (, ,)))"
[32],(ROOT (S (NP (PRP I)) (VP (MD would) (RB rather) (VP (VB listen) (PP (IN to) (NP (NN music))))) (. .)))
[34],"(ROOT (S (NP (NP (NN Part)) (PP (IN of) (NP (PRP it)))) (VP (VBZ is) (SBAR (WHNP (IN that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP we)) (VP (VBP need) (S (VP (TO to) (VP (VB be) (ADJP (RB very) (JJ selective) (PP (IN about) (NP (NP (DT the) (NNS kinds)) (PP (IN of) (NP (NP (NNS things)) (SBAR (WHNP (WDT that)) (S (VP (VBP come) (PP (IN to) (NP (PRP us))) (PP (IN on) (NP (DT a) (JJ subliminal) (NN basis)))))))))))))))))))))))"
[35],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (SBAR (IN if) (S (S (NP (PRP we)) (VP (VBP are) (VP (VBG doing) (NP (JJ other) (NNS things))))) (CC and) (S (NP (DT these) (NNS programs)) (VP (VBP come) (ADVP (RB in)) (, ,) (ADVP (RB sometimes)))))) (NP (PRP they)) (VP (VBP influence) (NP (PRP us)))))))))"
[33],(ROOT (INTJ (UH Right) (. .)))
[36],(ROOT (S (CC and) (NP (PRP we)) (VP (VBP do) (RB not) (VP (VB know) (SBAR (WHADVP (WRB where)) (S (NP (DT that) (NN influence)) (VP (VBD came) (ADVP (RB from))))))) (. .)))
[37],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (, ,) (S (FRAG (INTJ (UH well)) (, ,) (NP (NN part))) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (BES 's) (ADJP (RB partially) (JJ true)) (, ,) (ADVP (RB too))))))))) (. .)))"
[39],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB have) (NP (NP (DT the) (NN will)) (CC and) (NP (DT the)))))))))) (, ,)))"
[38],(ROOT (INTJ (UH Yeah) (. .)))
[41],"(ROOT (S (VP (UH Uh) (PRN (, ,) (INTJ (UH right)) (, ,)))))"
[42],"(ROOT (FRAG (PP (UH right)) (, ,)))"
[40],"(ROOT (S (CC and) (, ,) (INTJ (UH uh) (, ,) (UH anyway)) (, ,) (NP (PRP I)) (VP (VBP think) (NP (PRP it))) (, ,)))"
[43],(ROOT (INTJ (UH right) (. .)))
[44],"(ROOT (S (S (NP (PRP you)) (VP (VBP are))) (, ,) (NP (PRP you)) (VP (MD would) (VP (VB be) (ADJP (JJ susceptible) (PP (IN to) (NP (NN stuff)))))) (. .)))"
[45],"(ROOT (FRAG (PP (IN Of) (NP (NP (NN course)) (, ,) (NP (PRP I)))) (, ,) (INTJ (UH uh)) (, ,)))"
[46],(ROOT (S (CC And) (NP (PRP it)) (VP (VBZ has) (S (VP (TO to) (VP (VB be) (ADJP (VBN reinforced) (PP (IN at) (ADVP (NP (DT another) (NN level)) (RB too)))))))) (. .)))
[48],(ROOT (INTJ (DT That) (BES 's)))
[53],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (JJ last) (NN night)) (, ,) (PP (IN for) (NP (NN example))) (, ,) (NP (PRP I)) (ADVP (RB really)) (VP (MD would) (VP (VB have) (VP (VBN liked) (S (VP (TO to) (VP (VB have) (VP (VBN watched) (NP (JJ UNSOLVED) (NNS MYSTERIES))))))))) (. .)))"
[52],(ROOT (SQ (VBP Do) (NP (PRP you)) (PP (IN like) (NP (NNS specials))) (. ?)))
[54],(ROOT (S (NP (DT Those)) (VP (VBP are) (ADJP (JJ fascinating) (PP (IN to) (NP (PRP me))))) (. .)))
[56],"(ROOT (S (SBAR (IN If) (S (NP (PRP I)) (VP (VBP have) (NP (DT the) (NN opportunity))))) (, ,) (NP (PRP I)) (VP (VBP watch) (NP (PRP it))) (. .)))"
[55],(ROOT (INTJ (UH Oh) (. .)))
[57],"(ROOT (S (ADVP (RB Unfortunately)) (, ,) (NP (PRP I)) (VP (VBD was) (PP (IN with) (NP (NP (NN someone)) (SBAR (WHNP (RB else) (WP who)) (S (VP (VBD was) (VP (VBG flipping) (NP (NNS channels))))))))) (. .)))"
[59],(ROOT (S (NP (PRP I)) (VP (VBP hate) (NP (DT that))) (. .)))
[58],(ROOT (INTJ (UH Oh) (. .)))
[61],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH right) (, ,))))"
[60],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB not) (VP (VB care) (NP (DT a) (JJ whole) (NN lot)) (PP (IN for) (NP (NP (DT some)) (PP (IN of) (NP (DT the) (JJ contemporary) (NN humor))))))) (. .)))
[63],"(ROOT (PP (IN In) (NP (NP (PRP$ our) (NN comedy) (NNS programs)) (PRN (, ,) (PP (IN although)) (, ,)))))"
[64],"(ROOT (S (NP (NN nobody)) (VP (MD can) (VP (VB appreciate) (NP (NN comedy)) (ADVP (DT any) (JJR more)) (SBAR (IN than) (S (NP (PRP I)) (VP (MD can)))))) (, ,)))"
[62],(ROOT (INTJ (UH yeah) (. .)))
[65],"(ROOT (S (CC but) (NP (PRP I)) (VP (MD would) (VP (VB prefer) (S (VP (TO to) (VP (VB find) (, ,) (NP (DT a) (JJ good) (NN comedian)) (PP (IN on) (NP (NP (NP (CD one)) (PP (IN of) (NP (DT the) (JJ educational) (NNS channels)))) (CC or) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (JJR older) (NNS comedians))))))))))) (. .)))"
[66],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP we)) (VP (VBP have) (NP (NP (NN cable)) (ADVP (RB also)))) (, ,)))"
[68],"(ROOT (PRN (CC and) (ADJP (RB sometimes) (SBAR (S (NP (PRP you)) (VP (MD can) (PRN (, ,) (INTJ (UH um)) (, ,)) (VP (VB get) (NP (DT the) (NNP H) (NNP B) (NNP O) (NNS specials)))) (, ,))))))"
[67],(ROOT (INTJ (UH Uh-huh) (. .)))
