[0],"(ROOT (FRAG (INTJ (UH Hi)) (, ,) (NP (NNP Clarice)) (. .)))"
[2],"(ROOT (INTJ (UH Yes) (, ,)))"
[3],"(ROOT (FRAG (ADVP (RB just)) (NP (NP (DT this) (JJ last) (NN summer)) (SBAR (S (NP (PRP we)) (VP (VBD went) (ADVP (RB back)) (PP (IN to) (NP (NNP Utah)))) (, ,))))))"
[4],"(ROOT (PRN (CC and) (S (S (NP (PRP we)) (VP (VBD met))) (, ,) (S (NP (PRP it)) (VP (VBD was) (NP (PRP$ my)))) (, ,))))"
[5],"(ROOT (S (NP (PRP we)) (ADVP (RB usually)) (VP (VBP go) (PP (IN to) (NP (PRP$ my) (NN family) (NN reunion)))) (, ,)))"
[1],"(ROOT (SINV (FRAG (INTJ (UH Um))) (, ,) (VP (VBP have)) (NP (PRP you)) (VP (VBN had) (NP (DT a) (NN family) (NN reunion)) (ADVP (RB recently))) (. ?)))"
[6],(ROOT (S (CC but) (NP (DT this) (CD one)) (VP (VBD was) (NP (PRP$ my) (NN husband)) (S (NP (POS 's))))))
[7],(ROOT (INTJ (UH Uh-huh) (. .)))
[8],"(ROOT (S (S (CC and) (NP (PRP they)) (VP (VBP 're) (ADVP (RB usually)) (ADJP (RB quite) (JJ similar)))) (, ,) (NP (PRP I)) (VP (VBP think)) (. .)))"
[10],"(ROOT (INTJ (UH No) (, ,)))"
[9],(ROOT (SQ (VBP Are) (NP (PRP you)) (PP (ADVP (DT both)) (IN from) (NP (NP (NNP Utah)) (ADVP (RB originally)))) (. ?)))
[11],(ROOT (S (NP (PRP he)) (VP (BES 's) (PP (IN from) (NP (RB here))))))
[13],"(ROOT (S (CC but) (, ,) (ADVP (UH uh)) (, ,) (ADVP (RBS most) (PP (IN of) (NP (PRP$ his) (NNS people)))) (VP (VBP are) (PP (IN from) (NP (NNP Oregon)))) (, ,)))"
[12],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH uh-huh) (. .))))"
[14],(ROOT (ADJP (RB so) (SBAR (S (NP (PRP we)) (ADVP (RB kind) (RB of)) (VP (VBD met) (ADVP (RB halfway)))))))
[16],"(ROOT (S (CC and) (ADVP (RB so)) (, ,) (ADVP (DT this)) (VP (VBD was) (NP (CD one))) (, ,)))"
[15],(ROOT (INTJ (UH Uh-huh) (. .)))
"[17, 19]","(ROOT (PRN (CC and) (SBAR (WHNP (NP (PRP they)) (PRN (, ,) (INTJ (UH um)) (, ,))) (S (VP (VP (VBD planned) (NP (PRP it)) (PRT (IN up)) (PP (IN in) (NP (DT the) (NNS mountains)))) (CC and) (VP (VP (VBD got) (NP (DT a) (NN cabin))) (CC and) (VP (VBD had)))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,))))))"
[20],"(ROOT (S (NP (NP (NNS things)) (PP (IN like) (NP (DT that)))) (VP (VBP have) (S (VP (TO to) (VP (VB be) (VP (VBN planned)))))) (, ,)))"
[21],(ROOT (SBAR (IN like) (S (NP (PRP they)) (VP (VBD had) (VP (VBN planned))))))
[18],"(ROOT (S (VP (NP (INTJ (INTJ (UH Oh)) (, ,) (INTJ (WRB how))) (NP (JJ nice)))) (. .)))"
[23],(ROOT (INTJ (UH Uh-huh) (. .)))
