[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[1],(ROOT (SBARQ (WHADVP (WRB how)) (SQ (HVS 's) (NP (DT the) (NN weather)) (VP (VBN been) (PP (IN in) (NP (NNP Plano)))) (. ?)) (. .)))
[3],"(ROOT (INTJ (UH Yeah) (, ,)))"
[2],(ROOT (FRAG (ADVP (RB Basically)) (NP (NP (RB about) (DT the) (JJ same)) (PP (IN as) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP 've) (ADVP (RB probably)) (VP (VBN had))))))) (. .)))
[4],(ROOT (S (NP (DT this)) (VP (VBZ is) (ADVP (RB probably)) (NP (JJ unusual) (NN topic) (S (VP (TO to) (VP (VB give) (NP (NP (CD two)) (PP (IN of) (NP (PRP us)))) (PP (IN in) (NP (DT the) (JJ same) (NN city)))))))) (. .)))
[6],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (PP (IN about) (NP (PRP you))))) (, ,)))"
[7],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBD was) (ADVP (RB really)) (VP (VBG enjoying) (NP (NP (DT the) (JJ cool) (NN snap) (JJ last) (NN couple)) (PP (IN of) (NP (NP (NNS weeks)) (, ,))))))))"
[5],(ROOT (INTJ (UH Uh-huh) (. .)))
[8],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ ready) (SBAR (IN for) (S (NP (PRP it)) (VP (TO to) (VP (VB come) (ADVP (RB back)))))))) (. .)))
[10],"(ROOT (S (NP (NP (FRAG (INTJ (UH Well)) (, ,) (RB not) (NP (DT the) (NN rain)))) (PP (ADVP (RB so) (JJ much)) (IN as) (NP (NP (DT the) (NN cool)) (, ,) (NP (NP (DT the) (JJ other) (NNS mornings)) (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (VBD was) (NP (INTJ (UH like)) (NP (CD sixty-five))) (SBAR (WHADVP (WRB when)) (S (NP (PRP we)) (VP (VBD woke) (PRT (RP up)) (NP (QP (CC and) (CD sixty-six)))))))))) (, ,))))))"
[9],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP you)) (VP (VP (VBP like) (NP (DT the) (NN rain))) (, ,) (VP (VBP do) (NP (PRP you)))) (. ?)))"
[11],"(ROOT (FRAG (CC and) (NP (NP (NN today)) (SBAR (S (NP (PRP I)) (VP (VBP know) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBD got) (ADVP (RB up)) (SBAR (IN that) (S (NP (DT the) (NN temperature)) (VP (VBD said) (NP (NP (RBR more)) (PP (IN like) (PRN (, ,) (ADVP (RB close)) (, ,)) (NP (CD seventy-nine) (CC or) (CD eighty))))))))))))))))"
[12],(ROOT (INTJ (UH Uh-huh) (. .)))
[14],"(ROOT (SINV (FRAG (INTJ (UH Oh))) (, ,) (VP (VBP are)) (NP (PRP you)) (. ?)))"
[13],(ROOT (S (RB so) (NP (PRP I)) (VP (VBP 'm) (ADVP (RB kind) (RB of)) (ADJP (JJ ready) (PP (IN for) (NP (DT the) (NN pumpkin) (NN weather))))) (. .)))
[15],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB care) (PP (IN for) (NP (NP (DT that)) (ADJP (RB as) (JJ much)))))) (. .)))
[16],(ROOT (S (NP (PRP You)) (VP (VBP do) (RB n't))))
[17],(ROOT (INTJ (UH No) (. .)))
[18],(ROOT (S (VP (VBP are) (NP (PRP you)) (NP (DT a) (NN summer) (NN person))) (. ?)))
[19],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (NP (DT a) (NN summer) (NN person)))))
[20],(ROOT (S (VP (VBP Are) (NP (PRP you))) (. ?)))
[22],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP I)) (VP (VBP have) (NP (NP (DT a) (NN friend)) (SBAR (WHNP (WP who)) (S (VP (BES 's) (NP (DT the) (JJ same) (NN way))))))) (, ,)))"
