[0],(ROOT (INTJ (UH Okay) (. .)))
[1],(ROOT (FRAG (ADVP (RB All) (JJ right)) (. .)))
[3],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[2],(ROOT (NP (NP (NN Capital)) (NP (NN punishment)) (. .)))
[5],"(ROOT (S (INTJ (UH Um)) (, ,) (ADVP (IN for)) (NP (PRP myself)) (, ,) (ADVP (PRP I)) (VP (VBP 'm) (ADVP (RB personally)) (PP (IN against) (NP (PRP it)))) (, ,)))"
[4],(ROOT (SBARQ (WHNP (WP what)) (SQ (BES 's) (NP (NP (PRP$ your) (NNS views)) (PP (IN on) (NP (PRP it))))) (. ?)))
[7],(ROOT (INTJ (UH Correct) (. .)))
[8],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[9],"(ROOT (S (INTJ (UH well)) (, ,) (NP (PRP I)) (VP (VBP 'm) (PP (IN for) (NP (PRP it)))) (. .)))"
[10],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (EX there)) (VP (VBP are) (NP (NP (JJ certain) (NNS crimes)) (SBAR (WHNP (WDT that)) (S (VP (ADVP (ADVP (RB definitely)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (VBP call) (PP (IN for) (NP (PRP it))))))))))) (. .)))"
[11],"(ROOT (NP (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP feel) (PP (IN like) (PP (IN that) (NP (NN child) (NN molestation) (CC and) (NN murder))))))))"
[12],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB see) (NP (DT any) (NN sense)) (PP (IN in) (NP (NP (NN someone) (VBG living)) (SBAR (WHNP (WDT that)) (S (VP (VBZ does) (NP (NP (NNS things)) (PP (IN like) (NP (DT that))))))))))) (. .)))
[13],"(ROOT (PRN (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB feel) (SBAR (IN like) (S (NP (PRP they)) (VP (VBP 're) (NP (NP (DT a) (NN benefit)) (PP (IN to) (NP (NP (NN society)) (PP (IN in) (NP (DT any) (NN way)))))))))))) (, ,)))"
[14],"(ROOT (S (S (FRAG (CC and) (PP (IN of) (NP (NN course)))) (NP (NNP Texas)) (VP (VBZ has) (NP (PRP it)))) (, ,) (CC but) (S (NP (PRP they)) (ADVP (RB very) (RB seldom)) (, ,) (NP (PRP you)) (VP (VP (VBP know)) (, ,) (VP (VBP put) (NP (PRP it)) (PP (IN into) (NP (NN effect)))))) (. .)))"
[6],"(ROOT (S (CC but) (NP (PRP we)) (VP (VBP seem) (S (VP (TO to) (VP (VB have) (NP (NP (DT a) (NN duality)) (PP (IN of))) (, ,) (PP (IN in) (NP (NP (DT this) (NN country)) (SBAR (WHADVP (WRB where)) (S (S (NP (NP (JJS most) (NNS states)) (PP (IN in) (NP (NN theory)))) (VP (VBP have) (NP (PRP it)))) (, ,) (CC but) (, ,) (S (CC but) (, ,) (ADVP (CC but)) (VP (VBP do) (RB not) (VP (VB use) (NP (PRP it))))))))))))) (. .)))"
[16],"(ROOT (INTJ (INTJ (UH Okay)) (, ,) (INTJ (UH well) (, ,))))"
"[15, 17]","(ROOT (S (RB So) (SBAR (ADVP (RB instead)) (S (NP (NP (DT all)) (PP (IN of) (NP (PRP$ our) (NNS prisons)))) (VP (VBP are) (ADJP (JJ full) (PP (IN of) (NP (NNS people)))) (PP (IN on))))) (, ,) (NP (PRP you)) (VP (VBP know) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS people)) (PP (IN on) (NP (NN death) (NN row))))))) (. .)))"
[18],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (NNP Texas)) (VP (VBZ uses) (NP (PRP it)) (PP (IN as)) (, ,) (NP (NP (QP (RB about) (RB as) (JJ much))) (PP (IN as) (NP (DT any) (JJ other) (NN state))))) (. .)))"
[19],"(ROOT (INTJ (INTJ (UH Well)) (, ,) (INTJ (UH uh) (, ,) (UH yeah))))"
[21],(ROOT (S (NP (WDT which)) (VP (VBZ is) (RB not) (ADJP (RB very) (RB often))) (. .)))
[20],"(ROOT (S (NP (NNP Texas)) (VP (VBZ is) (NP (DT a) (JJ big) (NN state))) (, ,)))"
[23],"(ROOT (FRAG (INTJ (UH Um)) (, ,) (PP (ADVP (RB here)) (IN in) (NP (NP (NNP Maryland)) (PP (IN to) (NP (DT the) (NN capital) (NN punishment) (NN law))) (, ,)))))"
