[1],"(ROOT (FRAG (PP (UH Alright)) (, ,)))"
[0],"(ROOT (S (INTJ (UH So)) (, ,) (NP (DT the) (NN topic)) (VP (VBZ is) (NP (NNS vacations))) (. ?)))"
[3],(ROOT (S (NP (PRP I)) (VP (VBP think) (ADVP (RB so))) (. .)))
[2],"(ROOT (S (NP (DT that)) (VP (BES 's) (NP (NP (DT a) (NN good)) (, ,) (NP (DT that))) (FRAG (PP (BES 's) (NP (DT a) (JJ good) (NN topic))) (, ,) (INTJ (UH huh)) (. ?))) (. .)))"
[4],(ROOT (S (NP (PRP I)) (VP (VBP enjoy) (NP (PRP them))) (. .)))
[6],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (DT the) (ADJP (NN last))) (VP (VBD was) (ADVP (RB back) (IN down)) (PP (IN to) (NP (NNP Lubbock))) (S (VP (TO to) (VP (VB visit) (NP (NNS parents)))))) (. .)))"
[5],(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBD did) (NP (PRP you)) (VP (VBP go) (PP (IN on) (NP (PRP$ your) (JJ last) (NN vacation))))) (. ?)))
[7],"(ROOT (S (NP (PRP It)) (VP (VBD was)) (, ,)))"
[8],(ROOT (FRAG (WHNP (WP What)) (. ?)))
[10],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[11],(ROOT (INTJ (UH yeah) (. .)))
"[9, 12]","(ROOT (S (NP (DT The) (JJ last) (CD one)) (VP (VBD was) (ADVP (RB back) (IN down)) (PP (IN to) (NP (NNP Lubbock) (, ,) (NNP Texas))) (, ,) (S (VP (TO to) (VP (VB visit) (NP (NN family)))))) (. .)))"
[13],(ROOT (INTJ (UH Uh) (. .)))
[15],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (. .))))"
[16],"(ROOT (SBARQ (WHNP (WP What)) (SQ (BES 's) (NP (PRP$ your)) (PP (IN out) (PP (IN of) (NP (DT the) (PRN (, ,) (ADVP (IN out)) (PP (IN of) (NP (DT the) (NN state) (NN type))) (, ,))))))))"
[14],(ROOT (S (CC But) (NP (DT that)) (VP (BES 's) (RB not) (NP (NP (DT the) (NN tradition)) (PP (IN for) (NP (PRP us))))) (. .)))
[17],(ROOT (SBARQ (WHADVP (WRB where)) (SQ (VBP do) (NP (PRP you)) (VP (VB like) (S (VP (TO to) (VP (VB go)))))) (. ?)))
[18],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP we)) (VP (VBD enjoyed) (NP (NNP Yellow) (NNP Stone)) (NP (RB real) (RB well) (JJ last) (NN year))) (. .)))"
[19],(ROOT (INTJ (UH Really) (. ?)))
[20],(ROOT (INTJ (UH Yeah) (. .)))
