[0],(ROOT (INTJ (UH Okay) (. .)))
[1],(ROOT (SBARQ (WHNP (WP What)) (SQ (MD would) (NP (PRP you)) (ADVP (RB rather)) (VP (VB have))) (. ?)))
[2],(ROOT (S (CC Or) (NP (PRP you)) (VP (VBP want) (NP (NP (NN salary) (RB too)) (PP (CC plus) (NP (WP what))))) (. ?)))
[3],(ROOT (SBARQ (WHNP (WP What)) (SQ (BES 's) (ADJP (RBS most) (JJ important) (PP (IN to) (NP (PRP you))))) (. ?)))
[4],(ROOT (NP (. .)))
[5],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (ADVP (RB as) (RB far)) (PP (IN as) (NP (JJ tangible) (NNS benefits)))) (VP (VBP go) (SBAR (S (NP (PRP I)) (VP (MD would) (VP (VB say) (SBAR (IN that) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NP (NN health) (NN insurance)) (PP (IN of) (NP (DT all) (NNS forms)))) (VP (VBZ is) (ADVP (RB probably)) (NP (PRP$ my) (JJ next) (RBS most) (JJ important) (NN concern)))))))))) (. .)))"
[6],(ROOT (INTJ (UH Right) (. .)))
[8],(ROOT (INTJ (UH Uh-huh) (. .)))
[10],(ROOT (INTJ (UH Uh-huh) (. .)))
[11],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (MD 'll) (VP (VB tell) (NP (PRP you)))) (. .)))"
[12],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (VBZ is) (NP (DT the) (ADJP (RBS most) (JJ important)) (NN thing)))))) (. .)))
[13],"(ROOT (S (NP (PRP I)) (VP (VBP 've) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP 'm) (RB not) (VP (VBG working) (ADVP (RB right)) (PP (IN at) (NP (DT the) (NN moment)))))))))"
[14],(ROOT (PRN (CC but) (NP (NP (DT the) (NN company)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBD did) (VP (VB work) (PP (IN for)))))))))
[15],"(ROOT (S (VP (VB excuse) (SBAR (S (NP (NP (PRP me)) (SBAR (S (NP (PRP I)) (VP (VBD had) (NP (NN health) (NNS benefits))) (. .)))) (VP (NP (NP (PRP You)) (SBAR (S (VP (VBP know) (, ,) (S (NP (NP (JJ dental)) (, ,) (NP (NN vision)) (, ,) (ADVP (DT all)) (NP (DT that)) (, ,)) (NP (NN pension) (NN plan))))))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))))"
"[7, 9]","(ROOT (S (NP (PRP I)) (VP (VBP feel) (SBAR (IN that) (S (NP (NP (DT a) (NN company)) (SBAR (WHNP (WDT that)) (S (VP (MD can) (VP (VB provide) (NP (JJ good) (NN health) (NNS benefits)) (PP (IN such) (IN as) (NP (NP (NP (NN health) (NN care)) (, ,) (NP (NN dental)) (CC and) (NP (NN vision))) (CONJP (RB as) (RB well) (IN as)) (NP (JJ good) (JJ long-term) (CC and) (JJ short-term) (NN disability) (NNS plans)))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))) (VP (VBZ goes) (NP (DT a) (JJ long) (NN way)) (PP (IN toward) (S (VP (VBG satisfying) (NP (PRP$ my) (NNS needs))))))))) (. .)))"
[16],"(ROOT (S (ADVP (RB now)) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP (DT that)) (, ,) (SBAR (IN although) (S (NP (PRP I)) (VP (VBP do) (S (VP (VB have) (NP (NP (DT a) (NN pension)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG drawing) (PP (IN from) (NP (PRP them)))))))) (SBAR (WHNP (WDT which)) (, ,) (S (S (VP (VB thank) (NP (NNP God)))) (, ,) (NP (PRP I)) (VP (VBD had))))))))))) (. .)))"
[17],(ROOT (INTJ (UH Right) (. .)))
[19],"(ROOT (S (ADVP (PRP You)) (, ,) (NP (PRP you)) (ADVP (RB really)) (VP (VBP do) (RB n't) (VP (VB realize) (SBAR (WHADJP (WRB how) (JJ important)) (S (NP (PRP they)) (VP (VBP are) (SBAR (IN until) (S (S (NP (PRP you)) (VP (VBP find) (NP (PRP yourself)) (PP (IN on) (NP (NP (DT the) (JJ other) (NN side)) (PP (IN of) (NP (DT the) (NN fence))))) (PP (IN without) (NP (PRP them))))) (CC and) (S (VP (VBG having) (S (VP (TO to) (VP (VB cover) (S (NP (PRP$ your) (JJ own)) (ADJP (JJ medical)))))))))))))))))"
[18],"(ROOT (S (CC But) (SBAR (PRN (, ,) (INTJ (UH uh) (, ,) (UH man)) (, ,)) (S (NP (PRP I)) (VP (VBP think)))) (NP (DT those)) (ADVP (ADVP (JJ medical)) (NP (NNS benefits))) (VP (VBP are) (NP (DT the) (NP (NP (RBS most)) (RRC (ADJP (JJ important) (. .))))) (NP (UH Uh))) (, ,)))"
[21],(ROOT (INTJ (UH Right) (. .)))
[22],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (MD should) (VP (VB knock) (PP (IN on) (NP (NN wood))))) (. .)))"
[23],"(ROOT (S (S (NP (PRP I)) (VP (VBP have) (RB n't))) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,) (S (VP (VBN had) (NP (NP (DT any) (JJ serious) (NN health) (NNS problems)) (CC or) (NP (NN anything))))) (. .)))"
[24],(ROOT (S (NP (PRP I)) (VP (VBP 've) (RB only) (ADVP (RB probably)) (VP (VBN been) (PP (IN to) (NP (NP (DT the) (NN doctor)) (NP (NP (DT a) (NN couple)) (PP (IN of) (NP (NNS times)))))) (SBAR (IN since) (S (NP (PRP I)) (VP (VBD left) (NP (NN work)))))))))
[25],"(ROOT (PRN (CC and) (S (S (NP (PRP it)) (VP (VBD was) (ADVP (RB only)) (PP (IN for) (NP (DT a) (NN cold))))) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,))))"
[26],"(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (MD ca) (RB n't) (ADVP (RB really)) (VP (VB do) (NP (NP (NN anything)) (PP (IN for) (NP (PRP you)))) (ADVP (RB anyhow)))) (, ,))))"
[20],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (MD can) (ADVP (RB quickly)) (VP (VB see) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VBP become) (NP (NP (DT a) (ADJP (RB very) (JJ important)) (NN part)) (PP (IN of) (NP (NP (PRP$ your)) (, ,) (NP (PRP$ your) (NN compensation) (NN package)))))))))) (. .)))"
[28],"(ROOT (INTJ (UH Yeah) (, ,)))"
[27],(ROOT (S (RB so) (NP (PRP you)) (VP (MD might) (VP (ADVP (IN as) (RB well)) (ADVP (RB not) (RB even)) (VB go))) (. .)))
[30],"(ROOT (INTJ (UH Yeah) (, ,)))"
[31],(ROOT (INTJ (UH right) (. .)))
[32],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP you)) (VP (VBP 've) (VP (VBN got) (NP (DT a) (NN cold)))) (. .)))"
[33],"(ROOT (S (VP (VP (VB Go) (ADVP (RB home))) (CC and) (VP (VP (VB take) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (NNS liquids)) (ADVP (CC and)))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (NN rest))))) (. .)))"
"[29, 34]","(ROOT (S (S (S (NP (PRP they)) (VP (VBP look) (PP (IN at) (NP (PRP you))))) (, ,) (S (INTJ (UH say) (, ,) (UH well)) (NP (PRP you)) (VP (VBP 're) (NP (JJ still) (NN breathing))))) (, ,) (FRAG (INTJ (INTJ (UH so)) (, ,) (INTJ (UH uh) (, ,) (UH Yeah)))) (. .)))"
[35],"(ROOT (FRAG (CC But) (NP (, ,))))"
[37],"(ROOT (S (INTJ (UH uh)) (, ,) (NP (DT that)) (VP (VBZ is) (ADVP (RB definitely)) (, ,) (ADVP (DT the) (RBS most)) (ADJP (JJ important))) (. .)))"
[38],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (NP (NN pension)) (PRN (, ,) (S (NP (PRP I)) (VP (VBP guess))) (, ,))) (VP (VBZ is) (ADVP (RB next))) (. .)))"
[39],"(ROOT (S (INTJ (UH Uh)) (, ,) (VP (VB thank) (NP (NNP God)) (SBAR (IN that) (S (NP (PRP I)) (VP (VBD had) (NP (CD one)))))) (. .)))"
[40],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHNP (WP what)) (S (VP (VBD happened) (PP (IN to) (NP (DT the) (NN salary) (NNS employees))) (SBAR (WHADVP (WRB when)) (, ,) (S (INTJ (UH uh)) (, ,) (NP (DT the) (NN company)) (VP (VBD went) (ADJP (JJ bankrupt))))))))))))"
[41],"(ROOT (S (CC but) (ADVP (PRP I)) (VP (VBD was) (NP (NN union))) (, ,)))"
[36],X
[42],"(ROOT (S (SBAR (RB so) (S (NP (PRP mine)) (VP (VBD was) (VP (VBG being) (VP (VB put) (PP (IN into) (NP (DT a)))))))) (, ,) (PP (IN like) (NP (DT a) (NN trust) (NN fund))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[44],"(ROOT (ADJP (RB So) (SBAR (S (, ,) (ADVP (CC but)) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (SBAR (IN if) (S (NP (PRP they)) (ADVP (RB ever)) (VP (VBD got) (NP (NN anything))))) (CC or) (SBAR (IN if) (S (NP (PRP they)) (VP (VBD lost) (NP (NP (DT all)) (PP (IN of) (NP (PRP theirs))))))))))))))"
[43],(ROOT (INTJ (UH Right) (. .)))
[45],"(ROOT (FRAG (CC or) (ADVP (, ,))))"
[47],"(ROOT (INTJ (UH Yeah) (, ,)))"
[48],(ROOT (S (NP (DT that)) (VP (BES 's) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBD was) (VP (VBG thinking) (ADVP (RB too))))))) (. .)))
[46],(ROOT (S (NP (PRP I)) (VP (VBP suspect) (SBAR (IN that) (S (NP (PRP it)) (ADVP (RB just)) (VP (VBD disappeared))))) (. .)))
[49],"(ROOT (S (S (NP (PRP I)) (ADVP (RB really)) (VP (VBP feel) (ADJP (JJ sorry) (PP (IN for) (NP (PDT all) (DT those) (NNS people) (SBAR (WHNP (WDT that)) (S (VP (VBD spent) (NP (PDT all) (DT that) (NN time)) (ADVP (RB there)))))))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[51],"(ROOT (FRAG (RB So) (ADJP (WHADVP (WRB where)) (, ,))))"
[50],(ROOT (INTJ (UH Right) (. .)))
