[0],(ROOT (INTJ (UH Okay) (. .)))
[2],"(ROOT (SINV (S (S (INTJ (UH Well)) (NP (PRP I)) (VP (MD can) (VP (VB see) (NP (PRP it)) (PP (IN in) (NP (JJ certain) (NNS cases))) (SBAR (WHADVP (WRB where)) (S (NP (PRP it)) (VP (MD might) (VP (VB be)))))))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NN somebody)) (VP (BES 's) (PP (IN in) (NP (NP (DT a) (NN position)) (SBAR (WHNP (WDT that)) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NP (RB perhaps) (DT a) (NN lot)) (PP (IN of) (NP (NNS lives)))) (VP (VBP are) (ADJP (JJ involved))))) (, ,) (VP (PP (IN like)) (, ,) (ADVP (RB maybe))))) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (NNS pilots)) (SBAR (WHNP (WDT that)) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP know)))))))) (, ,) (VP (VBP fly)) (NP (NNS jets))))"
[3],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (PP (RB maybe) (NP (NNS people))) (NP (WDT that)) (VP (VBP have) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NN responsibility)) (PP (IN over) (NP (NP (DT a) (JJ large) (NN mass)) (PP (IN of) (NP (NNS people))))))))) (. .)))"
[4],(ROOT (S (NP (PRP I)) (VP (MD could) (ADVP (RB certainly)) (VP (VB see) (S (NP (PRP it)) (VP (VBG being) (VP (VBN done))))))))
[5],"(ROOT (S (ADVP (CC but)) (, ,) (NP (NP (IN in)) (ADJP (ADJP (JJ general)) (PRN (, ,) (INTJ (UH uh)) (, ,)))) (ADVP (PRP you)) (VP (VBP know)) (, ,)))"
[6],(ROOT (SBAR (IN whether) (S (NP (NNS companies)) (VP (VBP want) (S (VP (TO to) (VP (VB do) (NP (DT this)))))))))
[7],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP know) (SBAR (IN that) (S (NP (NNS companies)) (VP (VBP do))))) (. .)))
[8],(ROOT (S (PP (IN Like) (NP (NP (NN factory) (NNS workers)) (SBAR (WHNP (WDT that)) (S (VP (VBP have)))))) (NP (NP (NNS lots)) (PP (IN of) (NP (NNS accidents)))) (VP (VBP are) (ADVP (RB now)) (VP (VBG being) (NP (NP (NN drug)) (VP (VBN tested))))) (. .)))
[9],(ROOT (S (NP (PRP I)) (VP (VBP know) (NP (NP (DT a) (NN couple)) (PP (IN of) (NP (NP (NNS corporations)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBG doing) (NP (DT that)))))))))) (. .)))
[10],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (RB so)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (PRP they)) (ADVP (RB kind) (RB of)) (VP (VBP have) (VP (VBN gotten) (PP (IN into) (NP (NP (DT the) (NN idea)) (SBAR (WHNP (DT that)) (S (VP (VBP let) (S (NP (PRP 's)) (NP (NN drug)) (S (VP (VP (VB test) (NP (PRP them))) (CC and) (VP (VB let) (S (NP (PRP 's)) (VP (VB put) (NP (PRP them)) (PP (IN through) (NP (NN rehab)))))))))))))))) (. .)))"
[11],(ROOT (S (CC But) (NP (EX there)) (VP (HVS 's) (VP (VBN got) (S (VP (TO to) (VP (VB be) (PP (IN like) (NP (DT a) (NN limitation)))))))) (. .)))
[12],(ROOT (SINV (VP (VBP Do) (NP (PRP we))) (NP (NP (NN drug)) (SBAR (S (VP (VB test) (NP (NP (NN everybody)) (SBAR (WHNP (WDT that)) (S (VP (VBZ comes) (ADVP (RB in))))))))))))
[13],"(ROOT (PRN (CC and) (S (NP (CC or)) (VP (VBP do) (S (S (NP (PRP we)) (ADVP (RB kind) (RB of)) (VP (VBP say))) (, ,) (S (INTJ (UH well)) (NP (PRP you)) (VP (MD can) (VP (VB be) (NP (NP (NN drug)) (VP (VBN tested)))))))))))"
