[0],(ROOT (INTJ (UH Hi) (. .)))
[2],"(ROOT (S (NP (NP (FRAG (INTJ (UH Well) (, ,) (UH uh)) (, ,) (ADVP (RB sort) (RB of)) (NP (JJ mixed) (NNS feelings)))) (PP (IN about) (S (VP (NP (NP (PRP it)) (, ,) (SBAR (S (NP (PRP I)) (VP (VBP guess))))) (PRN (, ,) (INTJ (UH uh) (, ,) (UH uh)) (, ,))))))))"
[3],"(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (XX s-) (PRN (, ,) (S (NP (PRP I)) (VP (VBP lean) (ADVP (RBR more)) (PP (IN towards) (NP (DT the) (NN control) (NN side))) (SBAR (IN than) (S (PRN (, ,) (SBAR (IN than) (FRAG (PP (IN towards)))) (, ,)) (NP (PRP you)) (VP (VBP know)))))) (, ,)) (NP (NP (RB just) (DT the)) (, ,) (NP (DT the) (ADJP (JJ free) (, ,) (JJ free)) (NN army)))) (. .)))"
[4],"(ROOT (FRAG (INTJ (UH Uh)) (, ,) (PP (IN on) (NP (NP (NP (DT the) (JJ other) (NN hand)) (NP (NP (PRP I)) (, ,) (NP (PRP it)) (BES 's))) (, ,) (NP (NP (NP (PRP it)) (BES 's) (ADVP (RB sort) (RB of) (NP (NP (DT an) (NN issue)) (PP (IN of)))) (, ,)) (PP (IN of) (NP (INTJ (UH uh))))) (, ,)))))"
[5],"(ROOT (NP (S (S (NP (PRP I)) (VP (VBP 'm) (RB not))) (, ,) (NP (PRP I)) (VP (VBP 'm) (RB not) (NP (NP (DT a) (JJ great) (NN fan)) (PP (IN of)) (, ,) (PP (IN of) (NP (NP (NN government) (NN control)) (PP (IN in) (NP (JJ general))))))))))"
[6],"(ROOT (S (CC and) (SBAR (RB so) (S (NP (PRP it)) (VP (BES 's)))) (, ,) (NP (PRP it)) (VP (BES 's) (ADVP (RB kind) (RB of)) (NP (DT a) (JJ tough) (NN issue))) (. .)))"
[1],(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (PP (IN about) (NP (NN gun) (NN control))))) (. ?)))
[7],(ROOT (FRAG (WHNP (WP What)) (PP (IN about) (NP (PRP yourself))) (. ?)))
[9],(ROOT (INTJ (UH Uh-huh) (. .)))
[11],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (PRN (, ,) (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ sure)))) (, ,)))))"
[12],(ROOT (INTJ (UH yeah) (. .)))
[13],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (RB so)) (VP (ADVP (PRP you)) (MD would) (VP (VB take) (NP (DT a) (NN position)) (SBAR (WHADVP (WRB where)) (S (PP (NP (NN somebody)) (IN without)))) (, ,) (PP (IN without) (NP (ADJP (DT a) (PRN (, ,) (INTJ (UH uh) (, ,) (UH uh)) (, ,))) (JJ specific) (NN use))))) (, ,)))"
[14],"(ROOT (S (PP (IN in) (NP (JJ other) (NNS words))) (, ,) (SBAR (IN if) (S (NP (PRP they)) (ADVP (RB just)) (VP (VBD wanted) (S (S (VP (TO to) (VP (VB have) (NP (NP (DT a)) (, ,) (NP (DT a) (NN gun) (S (VP (TO to) (VP (VB have) (PP (IN in) (NP (PRP$ their) (NN home))))))))))) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (MD would) (RB n't)))))) (, ,) (NP (PRP you)) (VP (MD would) (RB n't) (VP (VB like) (S (NP (PRP them)) (VP (TO to) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB do) (NP (DT that))))))))))) (. ?)))"
"[8, 10]","(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (IN that) (S (NP (PRP I)) (VP (MD would) (VP (VB like) (PP (TO to)) (, ,) (S (VP (TO to) (VP (VB say) (SBAR (IN that) (S (PP (PP (ADVP (RB perhaps)) (ADVP (RB someplace)) (IN in) (NP (DT the) (NN middle))) (SBAR (WHADVP (WRB where)) (S (NP (NNS people)) (VP (MD could) (ADVP (RB somehow)) (VP (VP (VB qualify)) (CC or) (PRN (, ,) (INTJ (UH uh)) (, ,)) (VP (VB have) (NP (NP (DT a) (JJ legitimate) (NN use)) (PP (IN for) (NP (NP (DT the)) (, ,) (NP (NP (DT the)) (, ,) (NP (DT the) (NN weapon)))))))))))) (NP (PRP I)) (VP (VBP suppose) (PP (IN because) (S (S (ADVP (RB also))) (, ,) (S (VP (VBG living) (PP (IN in) (NP (NP (DT this) (NN area)) (, ,) (NP (DT the)))))) (, ,) (S (NP (NP (DT the) (NNS problems)) (PP (IN in) (NP (NNP D) (NNP C)))) (VP (VBP come) (ADVP (RB home)) (ADVP (RB very) (RB quickly))))))))))))))))) (. .)))"
[16],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (RB so) (JJ sure) (PP (IN about) (NP (DT that))))) (, ,)))"
[17],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBP think) (ADVP (ADVP (RB somehow)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NP (NN safety) (NNS courses)))))"
