[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[2],"(ROOT (FRAG (PP (NP (UH Well)) (PP (ADVP (DT a)) (ADJP (JJ little) (NN bit)))) (, ,)))"
[3],(ROOT (S (NP (PRP we)) (ADVP (RB mostly)) (VP (VBP do) (NP (PRP$ our) (NNS newspapers))) (. .)))
[4],"(ROOT (S (S (NP (PRP We)) (VP (VBP keep) (NP (PRP$ our) (NNS newspapers)))) (, ,) (CC and) (S (NP (NP (NN stuff)) (PP (IN like) (NP (NP (DT that)) (CC and) (NP (PRP we))))) (VP (VBP keep) (NP (PRP$ our) (NNS newspapers) (CC and) (NN stuff)) (PP (IN like) (NP (DT that)))))))"
[1],(ROOT (SQ (VBP have) (NP (PRP you)) (VP (VBN participated) (PP (IN in) (NP (NP (NN anything)) (PP (IN like) (NP (DT that)))))) (. ?)))
[6],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[7],"(ROOT (S (INTJ (UH uh)) (, ,) (ADVP (PRP we)) (, ,) (NP (PRP we)) (VP (VBP have) (NP (NP (NP (NP (DT a) (ADJP (RB pretty) (JJ nice)) (NN recycling)) (NP (NN center))) (, ,) (INTJ (UH uh)) (, ,) (PP (IN in) (NP (PRP$ our) (NN city)))) (ADVP (RB now))))))"
[8],(ROOT (S (CC and) (NP (PRP we)) (VP (VBP take) (NP (NP (DT the) (NNS newspapers)) (CC and) (NP (NN plastic) (CC and) (NN glass))) (ADVP (IN up) (RB there))) (. .)))
[9],(ROOT (S (NP (PRP They)) (VP (VBP 're) (ADJP (JJ open) (PP (NP (INTJ (UH like))) (NP (CD two) (NNS days)))) (NP (DT a) (NN week)))))
[5],(ROOT (S (CC and) (NP (PRP we)) (VP (VBP take) (S (NP (PRP them)) (VP (TO to) (VP (VB be) (VP (VBN recycled)))))) (. .)))
[10],(ROOT (S (CC and) (NP (PRP you)) (VP (MD can) (ADVP (RB just)) (VP (VP (VB take) (NP (PRP it)) (ADVP (IN up) (RB there))) (CC and) (VP (VB drop) (NP (PRP it)) (PRT (RP off))))) (. .)))
[12],(ROOT (S (NP (PRP It)) (VP (BES 's) (ADVP (RB kind) (RB of)) (NP (NN fun))) (. .)))
[11],(ROOT (INTJ (UH Uh-huh) (. .)))
[14],(ROOT (INTJ (UH Yeah) (. .)))
