[0],(ROOT (INTJ (UH Okay) (. .)))
[2],"(ROOT (S (INTJ (UH So)) (, ,) (NP (WP what)) (VP (VBP do) (S (NP (PRP you)) (VP (VB think) (PP (IN about) (NP (PRP it)))))) (. ?)))"
[1],(ROOT (INTJ (UH Okay) (. .)))
[4],"(ROOT (NP (S (S (INTJ (UH Um)) (, ,) (NP (PRP I)) (VP (VBP like) (NP (NP (DT the) (NN idea)) (PP (IN of) (NP (NN nursing) (NNS homes)))) (ADVP (IN as) (DT a)) (, ,) (PP (IN as) (NP (NP (DT a) (JJ growing) (XX choi-)) (, ,) (NP (NP (DT the) (NNS choices)) (SBAR (S (NP (PRP you)) (VP (VBP have) (PP (IN in) (NP (NN nursing) (NNS homes))) (ADVP (RB now)))))) (, ,) (SBAR (IN whereas) (S (VP (VBN used) (PP (TO to))))))))) (, ,) (NP (PRP you)) (VP (VBD used) (S (VP (TO to) (VP (VB have) (S (S (ADVP (RB only)) (, ,) (NP (PRP you)) (VP (VBD put))) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)))))))))"
[3],"(ROOT (FRAG (PP (MD Should)) (, ,)))"
[5],"(ROOT (SBARQ (WHADVP (WRB when)) (, ,) (WHADVP (WRB when)) (SQ (NP (NNS people)) (VP (VBD got) (PP (IN to) (NP (DT the) (NN point))) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VP (VBD were) (ADJP (JJ debilitated))) (CC and) (VP (MD could) (RB n't) (VP (VB take) (NP (NP (NN care)) (PP (IN of) (NP (PRP themselves)))))))))))))"
[7],(ROOT (S (CC and) (NP (EX there)) (VP (VBD was) (NP (DT no) (JJ other) (NN choice))) (. .)))
[8],"(ROOT (S (NP (PRP You)) (VP (MD could) (RB n't) (VP (VB take) (NP (PRP them)) (PP (IN in) (NP (PRP$ your) (JJ own) (NN home))))) (, ,)))"
[9],(ROOT (S (ADVP (RB then)) (NP (PRP they)) (VP (VBD went) (PP (IN into) (NP (DT a) (NN nursing) (NN home)))) (. .)))
[6],(ROOT (INTJ (UH Uh-huh) (. .)))
[10],"(ROOT (S (NP (PRP You)) (VP (VBP know) (PRN (, ,) (S (ADVP (RB maybe)) (NP (PRP you)) (VP (VBD lived) (ADVP (RB too) (RB far) (RB away)) (S (VP (TO to) (VP (VB care) (PP (IN for) (NP (PRP them)))))))) (, ,)))))"
