[0],(ROOT (INTJ (UH Okay) (. .)))
[1],"(ROOT (SINV (FRAG (INTJ (UH Um))) (, ,) (VP (VBP do) (NP (PRP you))) (S (VP (VB have) (NP (NP (DT any) (NN advice)) (PP (IN for) (NP (NN college)))))) (. ?)))"
[2],"(ROOT (S (S (NP (PRP I)) (VP (VBP 'm))) (, ,) (S (NP (PRP I)) (VP (VBP 'm))) (, ,) (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ full) (PP (IN of) (NP (NN advice)))))) (. .)))"
[3],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADVP (RB still)) (NP (DT a) (JJ graduate) (NN student))) (. .)))
[5],(ROOT (INTJ (UH Uh-huh) (. .)))
[4],(ROOT (FRAG (ADVP (RB So)) (. .)))
[7],(ROOT (INTJ (UH Um) (. .)))
"[6, 8]","(ROOT (S (S (INTJ (UH Well)) (, ,) (S (S (VP (VBG having) (VP (VBN been) (ADVP (RB there)) (ADVP (RB not) (ADVP (RB too) (JJ long) (RB ago)))))) (, ,) (CC and) (S (NP (PRP$ my) (NN wife)) (VP (VBG having) (ADVP (RB only)) (VP (ADVP (RB recently)) (VBN completed) (NP (DT a) (NN doctorate)))))) (, ,) (S (NP (PRP I)) (VP (VBP 'm) (ADJP (RB fairly) (JJ full) (PP (IN of) (NP (PRP it))))))) (, ,) (FRAG (PP (IN of) (NP (PRP it))) (NP (PRP myself))) (. .)))"
[9],X
"[10, 12]","(ROOT (S (INTJ (UH Uh)) (, ,) (NP (NP (DT the) (JJ main) (NN point)) (SBAR (WHNP (WDT that)) (S (PRN (S (NP (PRP I)) (VP (VBP have) (PP (IN about) (S (VP (VBG choosing) (SBAR (WHADVP (WRB where)) (S (NP (PRP you)) (VP (VBP want) (S (VP (TO to) (VP (VB go) (PP (IN to) (NP (NN school)))))))))))))) (, ,)) (VP (VBZ is) (SBAR (IN that) (PRN (, ,) (S (VP (VB def))) (, ,)) (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (ADVP (RB early) (RP on)) (VB define) (SBAR (WHNP (WP what)) (S (NP (PRP it)) (VP (VBZ is) (NP (PRP you))))))))))))))) (VP (VP (VBP want) (S (VP (TO to) (VP (VB do))))) (CC or) (VP (ADVP (ADVP (IN at) (JJS least)) (SBAR (WHNP (WP what) (NN area)) (S (NP (PRP you)) (VP (VBP want) (S (VP (TO to) (VP (VB be) (PP (IN in))))))))))) (. .)))"
[13],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (VBD had) (NP (NP (DT the) (JJ unpleasant) (NN experience)) (PP (IN of) (S (VP (VBG going) (PP (IN through) (NP (NP (JJ several) (NNS schools)) (SBAR (WHNP (WDT that)) (S (VP (VBD were) (ADJP (RB very) (JJ specialized)))))))))))) (. .)))"
[11],(ROOT (INTJ (UH Yeah) (. .)))
[15],(ROOT (INTJ (UH Um) (. .)))
[17],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (DT that)) (VP (BES 's) (ADJP (JJ interesting))) (. .)))"
[18],"(ROOT (S (NP (PRP I)) (VP (VBD went) (PP (IN to) (NP (NP (DT a)) (, ,) (NP (NP (NP (DT a) (JJ liberal) (NNS arts)) (NP (NN school))) (, ,) (INTJ (UH actually)) (, ,) (PP (IN at) (NP (JJ first)))) (, ,))))))"
