[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[2],(ROOT (INTJ (UH Never) (. .)))
[1],(ROOT (SQ (VBP have) (NP (PRP you)) (VP (ADVP (RB ever)) (VBN served) (PP (IN as) (NP (DT a) (NN juror)))) (. ?)))
[4],(ROOT (INTJ (UH Uh-huh) (. .)))
[3],"(ROOT (S (NP (PRP I)) (VP (VBP 've) (ADVP (RB never)) (VP (VBN been) (VP (VBN served) (PP (IN on) (NP (DT the) (NN jury))))) (, ,) (ADVP (RB never)) (VP (VBN been) (VP (VBN called) (PRT (RP up)) (PP (IN in) (NP (DT a) (NN jury))) (, ,) (SBAR (IN although) (S (NP (NP (DT some)) (PP (IN of) (NP (PRP$ my) (NNS friends)))) (VP (VBP have) (VP (VBN been) (NP (NNS jurors))))))))) (. .)))"
[6],"(ROOT (S (S (NP (PRP You)) (VP (VBP have) (RB n't))) (, ,) (FRAG (INTJ (UH huh))) (. .)))"
[5],(ROOT (S (NP (PRP I)) (ADVP (RB never)) (VP (VBP have) (ADVP (RB either))) (. .)))
[8],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP think) (NP (PRP it)) (PP (BES 's) (NP (DT a) (JJ good) (NN idea)))) (. .)))"
[9],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP$ our) (NN justice) (NN system)) (VP (VBZ needs) (NP (DT a) (JJ major) (NN overhaul)))))) (, ,)))"
[10],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (JJ sure) (SBAR (WHNP (WP what)) (S (VP (VBZ needs) (S (VP (TO to) (VP (VB be) (VP (VBN done) (S (VP (TO to) (VP (VB fix) (NP (PRP it)))))))))))))) (. .)))
[7],"(ROOT (FRAG (SBAR (IN If) (S (NP (PRP you)) (VP (VBD were) (, ,) (INTJ (UH uh)) (, ,) (SBAR (WHNP (WP what)) (S (VP (VBP do) (S (NP (PRP you)) (VP (VB think) (PP (IN about) (NP (NP (DT the) (JJ whole) (NN concept)) (PP (IN of) (NP (DT a) (NN trial))))) (PP (IN by) (NP (PRP$ your) (NNS peers))))))))))) (. ?)))"
[11],(ROOT (S (CC But) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP 've) (VP (VBN got) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS problems))))))))) (. .)))
