[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[1],(ROOT (S (ADVP (RB now)) (NP (PRP you)) (VP (MD can) (VP (VB tell) (NP (PRP me)) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP do)))))) (. .)))
[2],"(ROOT (S (INTJ (UH Uh) (, ,) (UH well)) (, ,) (NP (PRP I)) (VP (VBP work) (PP (PP (IN with) (NP (NNS computers))) (, ,) (RB just) (PP (IN like) (NP (PRP$ your))))) (NN son)))"
[3],(ROOT (INTJ (UH Uh-huh) (. .)))
[4],(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (ADVP (RB actually)) (VBP do) (NP (NP (NN research)) (PP (IN in) (NP (NN speech) (NN recognition))))))))
[5],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH great) (. .))))"
[7],(ROOT (INTJ (UH Uh-huh) (. .)))
"[6, 8]",(ROOT (S (NP (NP (XX MUMBLEx) (NN part)) (PP (IN of) (NP (NP (DT the) (NN reason)) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG participating) (PP (IN in) (NP (DT the) (NN project)))))))))) (VP (VBZ is) (S (VP (TO to) (VP (VB see) (SBAR (WHADVP (WRB how)) (S (NP (DT the) (NN stuff)) (VP (VBZ goes)))))))) (. .)))
[10],"(ROOT (S (CC But) (, ,) (ADVP (UH um)) (, ,) (NP (PRP I)) (VP (VBD was) (VP (VBG working)))))"
[9],(ROOT (INTJ (UH Uh-huh) (. .)))
"[11, 13]","(ROOT (SINV (FRAG (INTJ (UH well) (, ,) (UH actually))) (VP (ADVP (PRP I)) (VP (VBP have) (RB n't) (VP (VBN worked) (PP (IN for) (NP (NP (DT any) (JJ large) (NNS companies)) (FRAG (ADVP (FW per) (FW se))))) (NP (UH uh)) (, ,)))) (NP (RB recently))))"
[12],(ROOT (INTJ (UH Uh-huh) (. .)))
[15],(ROOT (INTJ (UH Uh-huh) (. .)))
[17],(ROOT (INTJ (UH Yeah)))
[18],(ROOT (NP (. .)))
[20],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (DT the)) (ADVP (ADVP (CD one)) (NP (NNP John))) (VP (VBZ works) (SBAR (IN for) (S (VP (VBZ seems) (S (VP (TO to) (VP (VP (VB have) (NP (DT a) (XX l-))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (JJ good) (NNS benefits))))))))) (, ,)))"
"[14, 16, 19]",(ROOT (S (CC but) (ADVP (RB hopefully)) (NP (NP (DT the) (NN job)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (MD will) (VP (VB have)))))) (VP (MD will) (VP (VB have) (NP (NP (NP (NNS lots)) (PP (IN of) (NP (NP (NNS benefits)) (RRC (ADVP (RB namely)) (NP (NP (NNS lots)) (PP (IN of) (NP (NNS vacations)))))))) (RB not) (RB real) (NP (NP (JJ good) (NN salary)) (PP (CC but) (NP (NP (NNS lots)) (PP (IN of) (NP (NNS vacations))))))))) (. .)))
[22],(ROOT (INTJ (UH Yeah)))
[23],"(ROOT (FRAG (WHNP (WHNP (DT the)) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[24],"(ROOT (SINV (FRAG (INTJ (UH well))) (VP (UH actually) (VP (, ,) (SBAR (WHADVP (WRB where)) (S (NP (PRP I)) (VP (VBD was) (VP (VBG working))))))) (NP (DT the) (NN company))))"
[21],(ROOT (S (CC and) (NP (DT the) (NN pay)) (VP (VBZ is) (ADJP (JJ decent))) (. .)))
[26],(ROOT (INTJ (UH Uh-huh) (. .)))
"[25, 27]",(ROOT (S (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS companies)) (SBAR (S (NP (PRP I)) (VP (VBD was) (VP (VBG working) (PP (IN for) (ADVP (RB actually)))))))))) (VP (VBD had) (NP (NP (ADJP (RB very) (JJ good)) (NN health) (NN care) (NNS benefits)) (SBAR (WHNP (WDT which)) (S (NP (DT these) (NNS days)) (NP (PRP I)) (VP (VBP think) (SBAR (S (VP (VBP are) (ADJP (RB really) (JJ important))))))))))))
[29],(ROOT (S (PP (IN because) (NP (NN health))) (NP (NN care)) (VP (VBZ is) (ADJP (RB so) (RB ridiculously) (JJ expensive))) (. .)))
[28],(ROOT (INTJ (UH Uh-huh) (. .)))
[33],"(ROOT (FRAG (PP (UH uh-huh)) (, ,)))"
[31],"(ROOT (S (SBAR (IN Because) (S (NP (PRP we)) (VP (VBP 're)))) (, ,) (NP (PRP we)) (VP (VBP 're) (VP (VBG paying) (NP (PRP$ our) (JJ own) (NN insurance)) (ADVP (RB right) (RB now)))) (. .)))"
[35],"(ROOT (S (CC But) (ADVP (CC and)) (ADVP (PRP I)) (VP (VBP 'm)) (, ,)))"
[34],(ROOT (INTJ (UH uh-huh) (. .)))
[37],"(ROOT (INTJ (UH Oh) (, ,)))"
[39],"(ROOT (FRAG (PP (UH Great)) (, ,)))"
"[36, 38]",(ROOT (S (NP (PRP we)) (ADVP (RB actually)) (VP (VBD had) (NP (DT a) (JJ little) (NN baby)) (SBAR (RB so) (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG taking) (NP (NP (DT a) (JJ little) (NN bit)) (PP (IN of) (NP (NP (DT a) (NN time)) (ADVP (IN off) (PP (IN from) (NP (NN work)))))))))))) (. .)))
[41],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH congratulations) (. .))))"
[42],(ROOT (FRAG (CC And) (ADVP (RB so) (NP (CD one) (NN thing))) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBP 'm) (ADJP (RB very) (JJ concerned) (PP (IN with) (SBAR (S (ADVP (RB now)) (VP (VBZ is) (NP (NP (JJ first)) (PP (IN of) (NP (DT all) (NN health) (NNS benefits))))))))))))))
[40],"(ROOT (S (S (NP (PRP I)) (VP (VBD had))) (, ,) (NP (PRP I)) (VP (VBD had) (NP (DT a) (NN granddaughter))) (. .)))"
[43],(ROOT (SBAR (IN because) (S (NP (PRP it)) (VP (BES 's) (ADJP (RBR more) (JJ important) (PP (IN with) (NP (DT a) (NN family))))))))
[45],"(ROOT (PRN (CC and) (S (S (NP (PRP you)) (VP (VBP know))) (, ,) (S (NP (NP (NP (PRP$ our) (NN doctor) (POS 's)) (XX vi-)) (, ,) (NP (NP (JJ routine) (NN doctor) (POS 's)) (NNS visits))) (VP (VBN covered))) (, ,))))"
[44],(ROOT (INTJ (UH Right) (. .)))
[47],(ROOT (INTJ (UH Uh-huh) (. .)))
[46],"(ROOT (S (NP (PRP$ my) (NN health) (NN insurance)) (ADVP (RB only)) (VP (VBZ covers) (PRN (, ,) (INTJ (UH um)) (, ,)) (NP (DT the) (NN emergency) (NN care))) (. .)))"
[49],"(ROOT (S (VP (UH Right) (PRN (, ,) (INTJ (UH yeah)) (, ,)))))"
[48],(ROOT (SQ (VBP Do) (NP (PRP you)) (VP (VB have) (NP (JJ major) (JJ medical) (NNS benefits))) (. ?)))
[51],"(ROOT (PRN (S (NP (DT That)) (, ,) (NP (DT that)) (VP (VBZ helps) (NP (DT some)))) (, ,)))"
[52],"(ROOT (FRAG (PP (IN if)) (, ,)))"
[50],"(ROOT (S (CC but) (ADVP (PRP I)) (VP (VBP do) (RB n't)) (, ,)))"
[54],(ROOT (INTJ (UH Right) (. .)))
[56],"(ROOT (FRAG (INTJ (UH Well)) (, ,) (NP (PRP$ my) (, ,))))"
[57],(ROOT (FRAG (NP (PRP$ our) (JJ deductible) (BES 's)) (NP (CD five) (CD hundred))))
"[53, 55]",(ROOT (S (NP (PRP it)) (VP (VBZ depends) (PP (IN on) (SBAR (WHNP (WP what)) (S (NP (PRP$ your) (JJ deductible)) (VP (VBZ is) (SBAR (WHADJP (WRB how) (JJ high)) (S (NP (PRP it)) (VP (VBZ is))))))))) (. .)))
[59],(ROOT (NP (DT Each) (NN person) (. .)))
[61],"(ROOT (INTJ (UH Yeah) (, ,)))"
"[58, 60]",(ROOT (S (CC but) (NP (PRP it)) (VP (BES 's) (PP (IN for) (NP (DT each) (NN event)))) (. .)))
[63],(ROOT (INTJ (UH Right)))
[62],"(ROOT (S (NP (DT that)) (VP (BES 's) (ADJP (RB pretty) (XX har-)) (, ,) (S (NP (DT that) (BES 's)) (ADJP (RB pretty) (JJ high)))) (, ,)))"
[64],"(ROOT (S (ADVP (CC but)) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (SBAR (S (S (ADVP (RB so)) (NP (PRP it)) (VP (VBZ covers) (NP (DT the) (NN emergency) (NNS things)))) (CC but) (S (NP (PRP it)) (VP (VBZ does) (RB n't) (VP (VB cover) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP get) (ADJP (JJ sick)))))))))))))"
[65],(ROOT (INTJ (UH Right) (. .)))
[67],"(ROOT (S (S (NP (DT That)) (VP (BES 's))) (, ,) (NP (DT that)) (VP (BES 's) (ADJP (JJ right))) (. .)))"
"[66, 68]","(ROOT (S (NP (PRP it)) (VP (VBZ does) (RB n't) (VP (VB cover) (NP (NP (NP (NN doctor) (POS 's)) (NNS visits)) (, ,) (NP (NP (NNS things)) (PP (IN like) (NP (DT that))))))) (. .)))"
[70],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (, ,))))"
[71],(ROOT (S (NP (PRP it)) (ADVP (RB certainly)) (VP (VBZ is)) (. .)))
"[69, 72]","(ROOT (S (CC And) (NP (QP (CD five) (CD hundred)) (NNS dollars)) (VP (VBZ is) (NP (DT a) (NN lot) (S (VP (TO to) (VP (VB come) (PRT (RP up)) (PP (IN with) (IN for) (NP (DT each) (NN person) (S (VP (TO to) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB start) (S (VP (VBG using) (NP (NP (PRP$ your) (JJ major) (JJ medical)) (, ,) (ADVP (RB too))))))))))))))))))) (. .)))"
[74],"(ROOT (INTJ (UH Yeah) (, ,)))"
