[1],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[2],"(ROOT (S (S (INTJ (UH um) (, ,) (UH now)) (NP (PRP we)) (VP (VBP 're) (VP (VBN supposed) (S (VP (TO to) (VP (VB talk) (PP (IN about) (NP (JJ social) (NNS activities))))))))) (. .)))"
[0],(ROOT (S (ADVP (RB Here)) (NP (PRP we)) (VP (VBP go)) (. .)))
[4],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (DT the) (NNS changes)) (ADVP (WDT that)) (VP (HVS 's) (VP (VBN occurred))) (, ,)))"
[3],(ROOT (INTJ (UH Right) (. ?)))
[5],"(ROOT (SBARQ (PP (IN like) (NP (PRP it))) (, ,) (WHADVP (WRB how)) (SQ (VBD was) (NP (NP (PRP it)) (, ,) (NP (RB maybe) (CD ten)) (, ,) (NP (CD twenty)) (, ,) (NP (CD thirty) (NNS years))) (VP (ADVP (RB ago) (IN as)) (VBN opposed) (PP (IN to) (SBAR (WHNP (WP what)) (S (NP (PRP it)) (VP (VBZ is) (NP (NN today))))))))))"
[6],(ROOT (INTJ (UH Uh-huh) (. .)))
[8],"(ROOT (S (NP (PRP I)) (VP (VBP think) (, ,) (S (INTJ (UH um)) (, ,) (INTJ (UH well)) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP it)) (VP (MD would) (VP (VB be) (PP (IN like) (NP (PRP$ your) (NN generation))) (PP (VBN compared) (PP (IN to) (NP (PRP$ my) (NN generation))))))))))) (. .)))"
[9],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP$ your) (NN generation)) (VP (VBZ is) (PRN (, ,) (INTJ (UH um)) (, ,))))))))"
[10],"(ROOT (SBARQ (WHNP (WP what)) (SQ (VBP do) (NP (PRP I)) (VP (VB say) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[11],"(ROOT (NP (S (S (INTJ (UH uh)) (, ,) (NP (PRP they)) (VP (VBP 're))) (, ,) (NP (PRP they)) (VP (VBP 're) (PRN (, ,) (S (NP (PRP they)) (VP (VBP 're) (ADJP (JJ polite)))) (, ,))))))"
[7],"(ROOT (S (ADVP (WRB how)) (NP (PRP we)) (VP (VBP 're) (VP (VBG living) (ADJP (RB socially) (PP (IN in) (NP (NN comparison)))) (UCP (PP (IN to) (PP (ADVP (RB maybe)) (IN from) (NP (NP (DT that) (NN time) (NN period)) (PP (IN from) (NP (NP (CD ten)) (, ,) (NP (CD twenty)) (, ,)))))) (CC or) (SBAR (WHNP (WP whatever)) (S (NP (PRP you)) (VP (VBP remember) (S (NP (PRP it)) (VP (TO to) (VP (VB be)))))))))) (. .)))"
"[12, 14]","(ROOT (S (NP (PRP they)) (VP (VP (VBP have) (NP (JJR more) (NN respect)) (PP (IN for))) (, ,) (NP (NP (JJ other) (NNS people)) (, ,) (RRC (PP (ADVP (RB just)) (IN in)) (, ,) (PP (IN in) (UCP (NP (NP (JJ general)) (SBAR (S (NP (PRP I)) (VP (VBP think))))) (, ,) (CC and) (FRAG (PP (ADVP (RB just)) (, ,) (ADVP (RB just)) (IN towards) (NP (NNS people) (CC and) (NN property)))))))))))"
[13],X
[16],"(ROOT (INTJ (UH Yeah) (, ,)))"
[17],"(ROOT (S (NP (PRP we)) (VP (VBP are) (, ,) (INTJ (UH uh)) (, ,) (S (ADJP (RB somewhat) (JJ conservative)))) (, ,)))"
[18],"(ROOT (S (CC but) (ADVP (ADVP (RB as) (RB far)) (PP (IN as) (NP (NP (ADJP (DT the) (PRN (, ,) (INTJ (UH uh)) (, ,))) (ADVP (RB socially))) (, ,) (NP (PRP$ our) (NN crime) (NN rate))))) (VP (VBZ has) (VP (VBN increased))) (, ,)))"
[15],"(ROOT (S (CC and) (, ,) (INTJ (UH um)) (, ,) (NP (PRP I)) (PRN (, ,) (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP they)) (VP (MD would)))))) (, ,)) (VP (MD would) (VP (VB be) (ADJP (RBR more) (JJ conservative)) (, ,) (SBAR (WHNP (NP (DT some)) (PP (IN of) (NP (PRP them)))) (S (NP (PRP I)) (VP (VBP guess)))))) (. .)))"
"[19, 21]","(ROOT (PRN (CC and) (SBAR (IN although) (S (NP (PRP it)) (VP (BES 's) (ADJP (ADJP (RBR more) (VBN publicized)) (SBAR (IN as) (S (S (VP (VBN opposed) (PP (IN to) (SBAR (WHNP (WP what)) (S (NP (PRP it)) (VP (VBD used) (S (VP (TO to) (VP (VB be) (NP (PRP it))))))))))) (VP (VBZ seems) (SBAR (IN like) (S (NP (JJ violent) (NN crime)) (VP (VBZ is) (PP (IN on) (NP (NP (DT the) (NN increase)) (PP (IN from) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP 've) (VP (VBN seen))))))))))))))) (, ,))))))"
[22],"(ROOT (S (CC and) (, ,) (INTJ (UH um)) (, ,) (NP (PRP$ our) (NN prison) (NN population)) (VP (VBZ has) (ADVP (RB significantly)) (VP (VBN increased) (SBAR (S (NP (PRP I)) (VP (MD would) (VP (VB say))))))) (. .)))"
