[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
"[1, 3]","(ROOT (S (ADVP (RB as) (RB far)) (PP (IN as) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NP (NP (JJ universal) (NN health) (NN care)) (SBAR (S (INTJ (UH um)) (, ,) (NP (PRP I)) (VP (VBP guess) (NP (PRP I)))))) (VP (VBP 'm) (RB all) (PP (IN for) (NP (PRP it)))) (. .)))"
[4],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's) (NP (NN time)) (SBAR (IN that) (S (NP (PRP we)) (VP (VBP start) (S (VP (VBG looking) (PP (IN at) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (VBG getting) (PP (IN into) (NP (DT that)))))))))))))) (. .)))"
[5],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (NN health)) (ADVP (NN cost)) (VP (VBZ has) (VP (VBN continued) (S (VP (TO to) (VP (VB rise))))))))"
[2],(ROOT (INTJ (UH Uh-huh) (. .)))
"[6, 8]","(ROOT (S (CC and) (NP (PRP I)) (VP (VBP think) (, ,) (S (INTJ (UH uh)) (, ,) (NP (EX there)) (VP (BES 's) (NP (NP (NNS people)) (SBAR (WHNP (WDT that)) (S (PP (IN to) (NP (PRP me))) (NP (PRP it)) (VP (BES 's) (NP (NP (DT the) (ADJP (ADJP (JJ fundamental)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN life)) (PP (IN of) (NP (DT a) (NN person))))))))))) (. .)))"
[9],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (PRP it)) (VP (VBZ does) (RB n't) (VP (VB matter) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP have) (NP (NP (NP (NN money)) (CC or) (NP (DT no) (NN mone-))) (, ,) (CC or) (NP (NP (PDT all) (DT the) (NN money)) (PP (IN in) (NP (DT the) (NN world)))))))) (, ,) (NP (UH um)))) (, ,)))"
[7],X
[10],"(ROOT (S (NP (PRP you)) (VP (MD would)) (, ,)))"
[12],(ROOT (S (NP (NN Everybody)) (VP (MD should) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB have) (NP (NP (NNS surgeries)) (SBAR (WHNP (WDT that)) (S (VP (MD will) (VP (VB save) (NP (NP (PRP$ their) (NNS lives) (CC or) (NNS things)) (SBAR (WHNP (WDT that)) (S (VP (MD will) (VP (VB make) (S (NP (PRP$ their) (NN life)) (ADJP (RBR more) (JJ comfortable))))))))))))) (PP (IN verses) (IN than) (NP (NP (RB just) (DT the) (JJ rich) (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (MD can) (VP (VB afford) (S (VP (VP (TO to) (VP (VB pay))) (CC or) (VP (TO to) (VP (VB work) (PP (IN for) (NP (NP (NNS corporations)) (SBAR (WHNP (WDT that)) (S (VP (VBP have) (NP (JJ wonderful) (NN health) (NNS benefits))))))))))))))))))))))) (. .)))
[13],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (IN if) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP they)) (VP (VBD looked) (PP (IN at) (NP (NP (PRP it)) (PP (IN as) (NP (NP (DT a) (NN way)) (PP (IN of) (NP (NN business))))))) (S (VP (VP (VBG helping) (PRT (RP out)) (ADVP (RB financially) (PP (IN for) (NP (JJ universal) (NX (NX (NN health) (NN care)) (CC and))))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (NNS individuals)))) (PRN (, ,) (INTJ (UH um)) (, ,)))) (S (VP (VBG helping) (PRT (RP out)) (PP (IN in) (NP (NP (DT some) (NN sort)) (PP (IN of) (NP (NN way))))))) (SBAR (IN whether) (S (NP (PRP it)) (VP (VBP be) (NP (NP (NNS taxes)) (CC or) (NP (DT some))) (ADVP (WRB how))))))))) (. .)))"
[11],"(ROOT (S (NP (PRP You)) (VP (MD should) (ADVP (RB still)) (VP (VB be))) (, ,)))"
