[0],(ROOT (INTJ (UH Okay) (. .)))
[2],"(ROOT (S (NP (NP (FRAG (INTJ (UH Well) (, ,) (UH uh)) (, ,) (NP (DT a) (NN friend)))) (PP (IN of) (SBAR (S (NP (PRP mine)) (ADVP (RB actually)) (VP (VBZ works) (PP (IN for) (NP (NP (NNP McDonald) (NNP Douglas)) (PP (IN in) (NP (DT the))))) (PP (PRN (, ,) (INTJ (UH uh)) (, ,)) (IN in) (NP (DT the) (NN space) (NN station) (NN program))))))))))"
[1],(ROOT (S (VP (VB Go) (ADVP (RB ahead))) (. .)))
"[3, 5]",(ROOT (ADJP (RB so) (SBAR (S (NP (PRP I)) (VP (VBP get) (S (VP (TO to) (VP (VB find) (PRT (RP out)) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NN information)) (PP (IN about) (SBAR (WHNP (WP what)) (S (VP (BES 's) (VP (VBG going) (PRT (RP on)) (ADVP (RB there))))))))))))))))))
[4],(ROOT (INTJ (UH Oh) (. .)))
[7],(ROOT (INTJ (UH Sure) (. .)))
"[6, 8]",(ROOT (S (CC and) (NP (PRP it)) (ADVP (JJ sure)) (VP (VBZ sounds) (SBAR (IN like) (S (NP (DT that)) (VP (BES 's) (VP (VBG going) (S (VP (TO to) (VP (VB be) (NP (DT a) (ADJP (RB really) (JJ viable)) (NN program)) (SBAR (IN if) (S (NP (PRP it)) (VP (VBZ continues) (S (VP (TO to) (VP (VB be) (VP (VBN funded) (PP (IN at) (NP (JJ current) (NNS levels)))))))))))))))))) (. .)))
[10],"(ROOT (S (S (INTJ (UH Uh)) (, ,) (NP (PRP they)) (VP (VBP 're))) (, ,) (NP (PRP they)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB be) (VP (VBG doing) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (JJ interesting) (NNS things)))))))))) (. .)))"
[11],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (JJ big) (NNS things)) (SBAR (S (NP (PRP he)) (VP (BES 's) (ADJP (JJ involved) (PP (IN with))))))))) (VP (VBZ is) (NP (DT the) (JJ micro) (NN gravity) (NNS payloads)))))) (. .)))"
[9],(ROOT (INTJ (UH Uh-huh) (. .)))
[13],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP you)) (VP (VBP 're) (VP (VBG kidding))) (. .)))"
[12],"(ROOT (S (CC And) (NP (DT that)) (VP (VBZ has) (NP (NP (DT a) (JJ direct) (NN impact)) (PP (IN on) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS things)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (ADVP (RB really)) (VP (MD ca) (RB n't) (VP (VB do) (ADVP (IN down) (RB here)) (PP (IN on) (NP (NP (NN earth)) (PP (VBG including) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (DT some)) (NP (JJ new) (JJ pharmaceutical) (NNS techniques)))))))))))))))) (. .)))"
[14],(ROOT (INTJ (UH Yeah) (. .)))
[16],(ROOT (INTJ (UH Huh) (. .)))
[18],(ROOT (INTJ (UH Uh-huh) (. .)))
"[15, 17]","(ROOT (S (S (ADVP (RB So)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,) (S (NP (EX there)) (VP (BES 's) (SBAR (S (NP (EX there)) (VP (BES 's) (NP (DT a) (JJ big) (NN opportunity)) (PP (IN for) (NP (PRP us))) (S (VP (TO to) (VP (VB explore))))))))) (, ,) (S (INTJ (UH uh)) (, ,) (X (X (WP what)) (NP (NP (NNS sorts)) (PP (IN of) (NP (NNS things))))) (NP (PRP you)) (VP (MD can) (VP (VB do) (PP (IN in) (NP (DT a) (CD zero) (NN gravity) (NN environment)))))) (. .)))"
[19],(ROOT (INTJ (UH Sure) (. .)))
[21],"(ROOT (NP (S (S (INTJ (UH Oh)) (, ,) (NP (DT that)) (VP (BES 's) (ADJP (JJ good)) (SBAR (IN because) (S (ADVP (RB sometimes)) (NP (PRP I)) (VP (VBP wonder)))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (S (VP (VBG being) (NP (NP (ADJP (DT a) (PRN (, ,) (INTJ (UH uh)) (, ,))) (JJ lay) (NN person)) (PP (IN out) (NP (NP (RB there)) (PP (IN of) (NP (RB not)))))) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (VP (VBG knowing) (PRN (ADVP (RB e-)) (, ,) (SBAR (WHNP (RB exactly) (WP what)) (S (VP (BES 's) (VP (VBG going) (PRT (RP on)) (PP (IN in) (NP (NN space)))))) (. .))) (S (SBAR (IN Whether) (, ,) (S (NP (PRP you)) (VP (VBP know)))) (, ,) (NP (PRP they)) (VP (VBP 're) (VP (VP (VBG going) (ADVP (RB ahead))) (CC and) (VP (VBG doing) (NP (NP (NNS things)) (CC and) (NP (NP (IN whether)) (CC or) (NP (RB not))))))))))))))))"
[22],(ROOT (S (NP (PRP we)) (VP (VBP 're) (VP (VP (VBG spending) (NP (ADJP (RB too) (JJ much)) (NN money)) (PP (IN on) (NP (DT the) (NNS programs)))) (CC and) (RB not) (VP (VBG spending) (NP (JJ enough) (NN money)) (PP (IN on) (NP (NP (DT the) (NN earth)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBP have) (ADVP (RB here)))))))))) (. .)))
[23],"(ROOT (S (VP (VP (VBG Being)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)))))"
[24],"(ROOT (S (PP (IN to) (NP (PRP me))) (, ,) (NP (PDT all) (DT this)) (, ,) (INTJ (UH uh)) (, ,) (NP (NN space) (NN exploration)) (PRN (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBP 've) (VP (VBN done) (ADVP (RB thus) (RB far))))))) (VP (VBZ has) (VP (VBN told) (NP (PRP us)) (SBAR (IN that) (S (NP (EX there)) (VP (BES 's) (NP (NP (NP (DT no) (JJ other) (NN place)) (PP (IN like) (NP (NN earth))) (. .) (NP (DT That)) (, ,)) (SBAR (S (INTJ (UH uh)) (, ,) (NP (PRP we)) (VP (MD ca) (RB n't) (VP (VB live) (PP (IN on) (NP (NNP Mars))))))))))))) (. .)))"
[25],"(ROOT (S (NP (PRP We)) (VP (MD ca) (RB n't) (VP (VB live) (ADVP (RB here)))) (, ,)))"
[26],(ROOT (S (NP (PRP we)) (VP (MD ca) (RB n't) (VP (VB live) (ADVP (RB there)))) (. .)))
[27],"(ROOT (S (S (NP (PRP I)) (VP (VBP mean))) (, ,) (NP (DT this)) (VP (VBZ is) (NP (NP (DT the)) (, ,) (NP (NP (DT the) (NN place)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBP have) (S (VP (TO to) (VP (VB live)))))))))) (. .)))"
[28],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (S (NP (EX there)) (VP (BES 's) (, ,) (INTJ (UH uh)) (, ,) (NP (DT no) (JJ other) (NN resource))))) (PP (IN for) (NP (PRP us))) (PP (TO to)) (, ,) (S (VP (TO to) (VP (VB look) (PP (IN at) (NP (NP (JJ other)) (PP (IN than) (NP (RB here))))))))) (. .)))"
[29],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP it)) (VP (BES 's) (ADVP (RB kind) (RB of)) (PP (IN like)) (PRN (, ,) (PP (IN to) (NP (PRP me))) (, ,)))))"
[30],(ROOT (S (NP (PRP I)) (VP (MD would) (VP (VB like) (S (VP (TO to) (VP (VB see) (NP (NP (DT a) (ADJP (NN lot) (JJR more)) (NN money)) (VP (VBG being) (VP (VP (VB put) (PP (IN toward) (S (VP (VBG taking) (NP (NP (NN care)) (PP (IN of) (NP (NP (DT the) (NN environment)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBP have) (ADVP (RB here)))))))))))) (CC and) (ADVP (RB not) (NP (QP (RB so) (JJ much)) (NN emphasis))) (VP (VB put) (PP (IN on) (SBAR (WHNP (WP what)) (S (VP (BES 's) (VP (VBG going) (PRT (IN out)) (PP (IN in) (NP (NN space)))))))))))))))))))
[31],"(ROOT (PRN (CC and) (S (NP (WP what)) (, ,) (NP (PRP you)) (VP (VBP know)) (, ,))))"
[32],(ROOT (SBAR (RB not) (IN that) (S (NP (PRP I)) (VP (VBP want) (NP (NN everything)) (S (VP (TO to) (VP (VB halt))))))))
[33],"(ROOT (FRAG (CC and) (S (VP (VB let) (S (NP (PRP 's)) (VP (VB forget) (PP (IN about) (NP (NP (DT the) (NN space) (NN program)) (PP (CC or) (NP (WDT whatever)))))) (, ,))))))"
[34],(ROOT (SBAR (IN because) (S (NP (PRP we)) (VP (VBP 're) (ADVP (RB always)) (ADJP (JJ curious))))))
[35],(ROOT (S (CC and) (NP (PRP we)) (ADVP (RB always)) (VP (VBP need) (S (VP (TO to) (VP (VB know) (NP (JJR more) (NNS things)))))) (. .)))
[36],"(ROOT (S (CC But) (, ,) (INTJ (UH uh)) (, ,) (PP (IN to) (NP (PRP me))) (NP (PRP it)) (VP (BES 's) (ADVP (RB kind) (RB of)) (PP (IN like) (NP (NP (NN let)) (SBAR (S (NP (PRP 's)) (VP (VP (VB try)) (CC and) (VP (VB clean) (PRT (RP up)) (NP (NP (DT the) (NN air)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBP have) (ADVP (RB here))))))))))))) (. .)))"
[37],(ROOT (S (VP (VB Let) (S (NP (PRP 's)) (VP (VB try) (S (VP (TO to) (VP (VB take) (NP (NP (NN care)) (PP (IN of) (NP (NP (NP (DT the) (NNS lakes)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBG getting) (ADJP (JJ polluted))))))) (CC and) (NP (NP (DT the) (JJ other) (NNS things)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBG going) (PP (IN on) (NP (RB here))))))))))))))))) (. .)))
[38],"(ROOT (NP (NP (RB Mainly)) (PP (PP (IN because)) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[39],(ROOT (S (NP (DT the) (NN space) (NN program)) (VP (VBZ has) (VP (VBN taught) (NP (PRP us)) (SBAR (IN that) (S (NP (EX there)) (VP (VBZ is) (NP (NP (DT no) (JJ other) (NN place)) (PP (IN for) (NP (PRP us))))))))) (. .)))
[40],(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (DT this)) (VP (VBZ is) (NP (PRP it)))))) (. .)))
[41],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (S (SBAR (IN if) (S (NP (PRP we)) (VP (MD would) (VP (VB have))))) (, ,) (INTJ (UH uh)) (, ,) (SBAR (IN if) (S (NP (PRP we)) (VP (VP (MD would) (VP (VB have) (VP (VBN went) (PP (IN into) (NP (NN space)))))) (CC and) (VP (VBD found) (S (NP (NNP Mars)) (NP (DT a) (ADJP (ADJP (JJ livable)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN planet))))))) (, ,) (NP (PRP we)) (VP (ADVP (RB probably)) (MD would) (VP (VB have) (VP (VBN inhabited) (NP (PRP it)))))))))"
[42],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VP (VBP know)) (, ,) (SBAR (WHNP (WP who)) (S (VP (MD would) (VP (VB have) (VP (VBN cared) (PP (IN about) (NP (NN earth))))))))) (. ?)))"
[43],"(ROOT (S (NP (PRP It)) (VP (MD would) (VP (VB have) (VP (VBN been) (NP (DT another) (NN planet) (S (VP (TO to) (VP (VP (ADVP (RB kind) (RB of)) (VB take) (PRT (RP over))) (CC and) (PRN (, ,) (INTJ (UH uh)) (, ,)) (VP (VB continue) (PP (IN on)))))))))) (. .)))"
