[0],(ROOT (INTJ (UH Okay) (. .)))
[1],(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (PP (IN of) (NP (DT the) (JJ public) (NN school) (NN system))))) (. ?)))
[3],(ROOT (S (NP (PRP I)) (VP (VBP have) (NP (NP (NNS children)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (PP (IN in) (NP (DT the) (NNP Plano) (NNP Public) (NNP School) (NNS systems))))))))))
[2],"(ROOT (S (ADVP (RB First)) (ADVP (RP off)) (, ,) (VP (VBP do) (S (NP (PRP you)) (VP (VB have) (NP (NP (NNS children)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (PP (IN in) (NP (PRP it)))))))))) (. ?)))"
"[4, 6]","(ROOT (S (CC and) (NP (PRP I)) (VP (VBP am) (NP (NP (DT a) (NN substitute) (NN teacher)) (PP (IN at) (NP (NP (DT this) (NN point)) (VP (VBG looking) (PP (IN for) (NP (NP (DT a) (JJ full-time) (NN job)) (PP (IN in) (NP (NP (DT the) (JJ public) (NN school)) (, ,) (NP (NN system))))))))))) (. .)))"
[5],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH okay) (. .))))"
[8],"(ROOT (S (SINV (FRAG (INTJ (UH Well))) (VP (PP (RB then) (FRAG (, ,) (NP (PRP you)))) (MD should) (VP (VB be) (NP (DT a) (JJ good) (CD one)) (S (VP (TO to) (VP (VB know) (PP (IN because))))))) (NP (PRP I))) (, ,) (NP (PRP$ my) (NNS children)) (VP (VBP are) (ADJP (JJ grown)) (ADVP (RB now))) (. .)))"
[7],"(ROOT (FRAG (PP (UH So)) (, ,)))"
"[9, 11]","(ROOT (FRAG (NP (PRP I)) (VP (ADVP (RB now)) (VBP have) (NP (NNS grandchildren)) (, ,) (PP (IN in) (NP (DT the) (NN school) (NN system))))))"
[10],(ROOT (INTJ (UH Oh) (. .)))
[13],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
"[12, 15]","(ROOT (S (ADVP (RB so)) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP (JJ firsthand) (NN experience)) (ADVP (RB right) (RB now)) (, ,) (PP (IN with) (NP (PRP it))))) (. .)))"
[14],(ROOT (INTJ (UH uh-huh) (. .)))
[17],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT the) (JJ public) (NN school) (NNS systems)) (VP (VBP are) (VP (VBG doing) (NP (DT a) (JJ good) (NN job))))))) (. .)))"
[18],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP have) (NP (DT a) (JJ long) (NN way) (S (VP (TO to) (VP (VB go) (ADVP (RB yet))))))))))))
[19],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBP think) (SBAR (WHNP (IN that)) (PRN (, ,) (INTJ (UH um)) (, ,)) (S (NP (PRP they)) (VP (VBP are) (VP (VP (VBG starting) (S (VP (TO to) (VP (VB head) (PP (IN towards) (NP (JJR more) (NN technology))))))) (CC and) (VP (VBG getting) (S (NP (DT the) (NNS kids) (NN computer)) (ADJP (JJ literate))) (ADVP (JJR earlier)))))))) (. .)))"
[20],"(ROOT (S (NP (PRP You)) (VP (VBP know) (, ,) (SBAR (S (NP (PRP$ my) (NNS kindergartners)) (VP (VBD were) (PP (IN on) (NP (NP (DT the)) (, ,) (VP (VBD were) (PP (IN on) (NP (DT the) (NNS computers)))) (, ,)))))))))"
[21],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (PP (IN with) (NP (DT the) (NN way))) (NP (DT the) (NN world)) (VP (VBZ is) (ADVP (NN today)) (NP (NP (DT that) (HVS 's)) (VP (VBN got) (S (VP (TO to) (VP (VB be) (VP (VBN done))))))))))) (. .)))
[16],(ROOT (SBARQ (RB So) (WHNP (WP what)) (SQ (VBP do) (NP (PRP you)) (VP (VB think))) (. ?)))
[22],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (, ,) (S (INTJ (UH uh)) (, ,) (NP (DT the) (NNS schools)) (ADVP (RB now)) (VP (VBP are) (VP (VBG starting) (S (VP (TO to) (VP (VB teach) (NP (NN thinking) (NNS strategies)) (NP (QP (JJR more) (IN than) (RB just))) (S (VP (VBG giving) (NP (PRP them)))))))))) (, ,) (NP (PRP you)) (VP (VBP know)))) (, ,) (S (NP (NNS skills)))) (. .)))"
[26],(ROOT (S (NP (PRP you)) (VP (VBP figure) (PRT (RP out)) (SBAR (SBAR (WHADVP (WRB why)) (S (NP (PRP you)) (VP (VBP 're) (VP (VBG adding) (NP (PRP it)))))) (CC and) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB do) (PP (IN with) (NP (PRP it))) (SBAR (RB once) (S (NP (PRP you)) (VP (VBP 've) (VP (VBN got) (S (NP (PRP it)) (ADVP (RB together)))))))))))))))) (. .)))
[27],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (DT that)) (VP (BES 's) (NP (NP (NN something)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (ADVP (RB drastically)) (ADJP (JJ needed)) (SBAR (IN because) (S (NP (NP (RBS most)) (PP (IN of) (NP (DT these) (NNS kids)))) (VP (MD can) (RB not) (VP (VB think))))))))) (, ,)))))))"
[24],(ROOT (INTJ (UH Right) (. .)))
[28],(ROOT (S (NP (PRP they)) (ADVP (RB literally)) (VP (MD can) (RB not) (VP (VB come) (ADVP (RB in)) (ADVP (IN out) (PP (IN of) (NP (DT the) (NN rain)))))) (. .)))
[30],"(ROOT (S (NP (PRP You)) (VP (VP (VBP know)) (, ,) (CC and) (VP (NP (DT that)) (ADVP (RB just)))) (, ,)))"
[29],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ right))) (. .)))
[31],(ROOT (S (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB care) (SBAR (WHADVP (WRB how) (ADJP (JJ intelligent))) (S (NP (PRP you)) (VP (VBP are) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP be) (VP (MD can) (RB not) (VP (VB make) (S (NP (PRP it)) (VP (VB function) (PP (IN for) (NP (PRP you)))))))))))))))) (NP (DT that) (NN intelligence)) (VP (VBZ is) (VP (VBG being) (VP (VBN wasted)))) (. .)))
[33],"(ROOT (S (CC And) (, ,) (INTJ (UH uh)) (, ,) (NP (DT this)) (VP (VBZ has) (VP (VP (VBN been) (NP (NP (CD one)) (PP (IN of) (NP (PRP$ my) (NN pet) (NNS peeves))))) (CC and) (VP (ADVP (RB probably)) (SBAR (WHADVP (WRB why)) (S (NP (PRP I)) (VP (VBD went) (PP (IN into) (NP (NN education))))))))) (. .)))"
[34],"(ROOT (S (SBAR (ADVP (RB So)) (S (NP (PRP I)) (VP (VBP think)))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (SBAR (S (NP (PRP they)) (VP (VBP 're) (PRN (, ,) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG trying) (S (VP (TO to) (VP (VB head) (NP (PRP them)) (PP (IN into) (NP (NN teaching))) (SBAR (S (NP (PRP them)) (VP (TO to) (VP (VB think) (CC and) (VB use) (NP (DT the) (NN education)))))) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBP have)))))))))) (, ,))))))))"
