[0],(ROOT (INTJ (UH Okay) (. .)))
[1],"(ROOT (FRAG (INTJ (UH Well) (, ,) (UH uh)) (, ,) (ADVP (RB just) (RB briefly)) (. .)))"
[2],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (VBD worked) (PP (IN in) (NP (DT a) (NN nursing)))) (NN home)))"
[3],"(ROOT (ADJP (RB so) (SBAR (S (NP (PRP I)) (ADVP (RB kind) (RB of)) (VP (VBP know) (, ,) (PP (IN from)) (ADVP (ADVP (RB way) (RB back)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (SBAR (WHADVP (WRB how)) (S (NP (NNS things)) (VP (VBD used) (S (VP (TO to) (VP (VB be) (VP (VBN run))))))))))))))"
[4],(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (EX there)) (VP (VBZ has) (VP (VBN been) (NP (NP (JJ definite) (NNS changes)) (PP (IN of) (NP (NN nursing) (NNS homes))))))))))))
[5],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBP think) (, ,) (S (INTJ (UH uh)) (, ,) (SBAR (IN if) (S (NP (PRP I)) (VP (VBD had) (S (VP (TO to) (VP (ADVP (RB personally)) (VB put) (NP (NP (CD one)) (PP (IN of) (NP (NP (PRP$ my) (NNS parents)) (PP (IN in) (NP (DT a) (NN nursing) (NN home)))))))))))) (, ,) (NP (PRP they)) (VP (MD would) (VP (VB have) (S (VP (TO to) (VP (VB be) (ADJP (RB pretty) (JJ bad)) (PP (RP off) (PP (IN to) (SBAR (WHADVP (WRB where)) (S (NP (PRP I)) (VP (MD could) (RB n't) (VP (VB take) (NP (NP (NN care)) (PP (IN of) (NP (PRP them)))) (ADVP (IN at) (DT all))))))))))))))) (. .)))"
[6],"(ROOT (S (NP (PRP It)) (VP (MD would) (VP (VB be) (NP (NP (NN something)) (SBAR (WHNP (WDT that)) (, ,) (S (S (NP (PRP you)) (VP (VBP know))) (PRN (, ,) (S (NP (PRP I)) (VP (MD would) (ADVP (RB certainly)))) (, ,)))))))))"
"[7, 9]","(ROOT (SBAR (IN if) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG forgetting) (NP (NP (NNS things)) (CC or) (SBAR (WHNP (WP whatever)) (, ,) (S (NP (PRP I)) (VP (MD 'd) (VP (VB prefer) (S (VP (TO to) (VP (VP (VB have) (NP (PRP them)) (PP (IN at) (NP (NN home)))) (CC or) (VP (VB have) (NP (PRP them)) (PP (IN in) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP call) (ADVP (RB now)) (NP (NP (NN home) (NN care)) (SBAR (WHADVP (WRB where)) (S (NP (NN somebody)) (VP (VBZ comes) (ADVP (RB in))))))))))))))))))))))))"
[10],(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (VBP cook) (NP (NNS meals))))))
[11],"(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (VBP clean) (NP (PRP$ their) (NN house)) (PP (IN for) (NP (PRP them)))) (, ,))))"
[12],"(ROOT (NP (NP (DT that) (NN kind)) (PP (IN of) (NP (NP (NN thing)) (, ,)))))"
[13],(ROOT (ADJP (RB so) (SBAR (S (NP (PRP they)) (ADVP (RB still)) (VP (VBP have) (NP (PRP$ their) (JJ own) (NN independence)))))))
[14],"(ROOT (PRN (S (CC and) (PP (RB not) (ADJP (JJ reliable))) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,)))"
[15],(ROOT (S (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB have) (S (VP (TO to) (VP (VB be) (PP (IN in) (NP (DT a) (NN nursing) (NN home) (NN situation)))))))) (. .)))
[16],"(ROOT (S (CC But) (, ,) (ADVP (UH uh)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think)))))"
[17],"(ROOT (S (NP (NP (DT the) (NN nursing) (NNS homes)) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBD was) (VP (VBG working) (PP (IN in) (NP (PRP them))))))) (, ,)) (VP (VBD were) (ADJP (RB very) (ADJP (RB much) (JJ understaffed)) (, ,) (ADJP (ADJP (ADJP (RB very) (RB much)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (PP (IN in) (FRAG (SBAR (WHNP (NP (NN need)) (PP (IN of) (NP (JJ good) (NN personnel)) (. .))) (FRAG (INTJ (UH Uh))))))) (, ,)))))"
[18],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT the) (NNS patients)) (VP (VBD were) (RB n't) (VP (VBN given) (NP (NP (DT the) (NN quality)) (PP (IN of) (NP (NP (NN care)) (SBAR (WHNP (WDT that)))))))))))))
[19],"(ROOT (S (NP (PRP I)) (VP (VP (MD would) (RB n't) (VP (VB have))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)))))"
[20],"(ROOT (S (NP (PRP I)) (VP (VP (VBP look) (PP (IN at) (NP (PRP it)))) (CC and) (VP (VBP say) (VP (VB thank) (NP (NNP God))))) (, ,)))"
[21],(ROOT (S (NP (PRP I)) (VP (VBD got) (PRT (IN out)) (PP (IN of) (NP (NP (DT that) (NN kind)) (PP (IN of) (NP (NN situation)))))) (. .)))
[8],(ROOT (INTJ (UH Uh-huh) (. .)))
"[22, 24]","(ROOT (S (CC But) (ADVP (PRP they)) (, ,) (NP (PRP they)) (VP (VBD were) (RB not) (VP (VBN given) (NP (DT the) (NN time))))))"
[23],(ROOT (INTJ (UH Yeah) (. .)))
[25],"(ROOT (S (CC and) (NP (PRP they)) (VP (VBD were) (RB not) (VP (VBN given) (NP (DT the) (NN money)) (, ,) (ADVP (RB basically)) (, ,) (S (VP (TO to) (VP (VB staff) (NP (PRN (, ,) (ADVP (RB appropriately)) (, ,)) (NNS people)) (S (VP (TO to) (VP (VB help))))))))) (. .)))"
[27],"(ROOT (S (CC And) (NP (PRP I)) (VP (MD can) (VP (VB remember) (S (VP (VBG lifting) (NP (DT a) (NN patient)) (PP (DT all) (IN by) (NP (PRP myself))) (, ,) (ADVP (RB simply)))) (SBAR (IN because) (S (NP (EX there)) (VP (VBD was) (RB not) (NP (DT another) (NN person) (S (VP (TO to) (VP (VB help)))))))))) (. .)))"
[28],"(ROOT (S (NP (PRP It)) (VP (VP (BES 's)) (CC either) (VP (VP (XX le-)) (, ,) (VP (VB leave) (NP (NP (DT the) (NN patient)) (PP (IN in) (NP (NP (NN bed)) (NP (DT all) (NN day)) (ADVP (JJ long)))))) (CC or) (VP (VB get) (NP (PRP them)) (PRT (RP up)))))))"
