[1],(ROOT (S (VP (VBN Damned) (SBAR (IN if) (S (NP (PRP I)) (VP (VBP know))))) (. .)))
[2],"(ROOT (S (INTJ (UH Um)) (, ,) (ADVP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (, ,)))"
[3],"(ROOT (S (NP (PRP I)) (VP (VBP suspect) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[4],"(ROOT (S (VP (VB let) (S (NP (PRP 's)) (VP (VB see)) (, ,)))))"
[5],"(ROOT (S (NP (PRP I)) (VP (VBP suspect) (SBAR (S (NP (PRP we)) (VP (MD should) (VP (VB do) (SBAR (WHNP (WP what)) (S (NP (NN everyone)) (VP (VBZ says) (SBAR (S (NP (PRP we)) (VP (MD should) (VP (VB do))))))))))))) (, ,)))"
[6],(ROOT (S (NP (PRP we)) (VP (MD should) (VP (VP (VB cut) (NP (NN spending))) (CC and) (VP (ADVP (RB maybe) (RB even)) (VB raise) (NP (NNS taxes)))))))
[0],"(ROOT (S (INTJ (UH So)) (, ,) (ADVP (WRB how)) (VP (VBP do) (S (NP (PRP we)) (VP (VB fix) (NP (DT the) (JJ national) (NN budget))))) (. ?)))"
[8],"(ROOT (INTJ (UH Well) (, ,)))"
[10],"(ROOT (S (NP (DT That)) (VP (MD would) (ADVP (RB probably)) (VP (VB be) (ADJP (JJ good)))) (, ,)))"
[7],"(ROOT (S (S (CC but) (NP (NNP Lord)) (VP (VBZ knows) (SBAR (S (NP (PRP you)) (VP (XX sh-)))))) (, ,) (NP (PRP one)) (VP (MD should) (RB n't) (VP (VB say) (NP (DT that)))) (. .)))"
"[11, 13]","(ROOT (S (CC but) (, ,) (NP (NP (NN something)) (SBAR (WHNP (WDT that)) (S (NP (DT the) (NN government)) (VP (VBZ has) (RB n't) (VP (VBN been) (VP (VBG looking) (PP (IN at)))))))) (VP (VBZ is) (NP (NP (DT the) (NN source)) (PP (IN of) (NP (DT the) (NN problem))))) (. .)))"
[14],(ROOT (INTJ (UH Huh) (. .)))
[15],"(ROOT (S (NP (NP (DT The) (JJ true) (NN source)) (PP (IN of) (NP (DT the) (NN problem)))) (VP (VP (VBZ is)) (, ,) (NP (NP (DT a)) (, ,) (SBAR (IN that) (S (NP (PRP we)) (VP (VBP do) (S (VP (VB spend) (ADJP (RB too) (JJ much))))))) (, ,)))))"
[16],(ROOT (INTJ (UH Yes) (. .)))
[18],"(ROOT (INTJ (UH Yeah) (, ,)))"
[17],"(ROOT (S (CC but) (ADVP (RB also)) (, ,) (VP (XX b) (, ,) (SBAR (IN that) (S (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB take) (PP (IN in) (NP (RB enough)))))))) (. .)))"
[19],"(ROOT (SBARQ (FRAG (INTJ (UH well) (, ,) (XX wh-)) (, ,) (ADVP (XX wh-))) (, ,) (SBARQ (WHADVP (XX wh-)) (, ,) (WHADVP (WRB why)) (SQ (VBP do) (NP (PRP you)) (VP (VB say) (NP (DT that)) (ADVP (RB actually))))) (. ?)))"
[20],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (RB too)) (NP (JJ few) (NNPS Americans)) (VP (VBP are) (VP (VBG working))) (. .)))"
[21],(ROOT (INTJ (UH Huh) (. .)))
[23],(ROOT (INTJ (UH Yes) (. .)))
[25],(ROOT (FRAG (PP (RB Rather) (IN than) (S (VP (VBG using) (NP (NNS taxes))))) (. .)))
[27],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (DT that)) (VP (BES 's) (ADJP (JJ interesting))) (. .)))"
[28],"(ROOT (INTJ (UH Yeah) (, ,)))"
[29],"(ROOT (NP (NP (DT that)) (PRN (BES 's) (ADVP (RB probably)) (ADJP (JJ true)) (, ,))))"
"[22, 24, 26]","(ROOT (S (SBAR (IN If) (S (S (NP (JJR more) (NNPS Americans)) (VP (VBD were) (ADJP (ADJP (VBG working)) (CC and) (ADJP (ADJP (JJ meaningful) (JJ good)) (S (VP (VP (VBG paying) (NP (NN labor))) (, ,) (CC and) (VP (VBG paying) (NP (NNS taxes))))))))) (, ,) (CC and) (S (NP (DT the) (NN tax) (NN structure)) (VP (VBD was) (ADJP (JJ fair) (PP (IN between) (NP (NP (DT the) (JJS lowest)) (CC and) (NP (NP (DT the) (JJS highest) (NN income)) (NP (NNPS Americans)) (, ,) (ADVP (RB then)))))))))) (NP (PRP we)) (VP (MD would) (VP (VB have) (NP (JJR more) (NN money)) (ADVP (RB there)) (S (VP (TO to) (VP (VB play) (PP (IN with))))))) (. .)))"
[30],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (SBAR (PRN (, ,) (INTJ (UH well)) (, ,)) (S (NP (PRP we)) (ADVP (RB also)) (, ,) (NP (PRP we)) (VP (MD 'd) (VP (VB be) (VP (VBG spending) (ADVP (ADVP (RBR less)) (SBAR (IN because) (S (NP (NP (PDT all) (DT the) (NN money)) (SBAR (WHNP (WDT that)) (, ,) (S (NP (WDT that)) (ADVP (RB normally)) (VP (VBZ goes) (S (VP (TO to) (VP (VB support) (NP (DT those) (NNS people))))))))) (VP (VBP are) (RB n't) (VP (VBG working))))))))))) (, ,) (NP (PRP it)) (VP (BES 's) (ADVP (RB back)) (PP (IN in) (NP (DT the) (NN system))))))) (. .)))"
[32],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP you)) (VP (VBP 're) (ADJP (JJ right))) (. .)))"
[33],(ROOT (S (NP (DT That)) (VP (BES 's) (NP (DT a) (ADJP (RB real) (JJ neat)) (NN idea))) (. .)))
[34],"(ROOT (FRAG (NP (NP (UH Well)) (, ,) (NP (WP what)) (, ,))))"
[35],"(ROOT (S (ADVP (CC but)) (, ,) (NP (PRP I)) (VP (VP (VBP mean)) (, ,) (SBAR (WHNP (WP what)) (S (VP (MD can)) (PRN (, ,) (S (NP (PRP you)) (VP (VB know))) (, ,)))))))"
[31],(ROOT (INTJ (UH Right) (. .)))
[37],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP hesitate) (S (VP (TO to) (VP (VB say) (SBAR (S (NP (PRP we)) (VP (MD ought) (S (VP (TO to) (VP (VB spend) (NP (PRP ourselves)) (PP (IN to)))))))))))) (NN affluence)))"
[36],"(ROOT (S (SBARQ (PP (IN at)) (, ,) (PP (IN at) (NP (DT some) (NN point))) (, ,) (WHNP (WP what)) (SQ (MD can) (NP (PRP you)) (VP (VB do) (S (VP (TO to) (VP (ADVP (RB sort) (RB of)) (VB raise) (SBAR (XX rev-) (, ,) (S (NP (PRP I)) (VP (VBP mean) (, ,) (S (VP (TO to) (VP (VB raise) (NP (NNS jobs)))))))))))))) (NP (PRP I)) (VP (VBP wonder)) (. .)))"
