[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[2],"(ROOT (INTJ (UH Yes) (, ,)))"
[3],"(ROOT (NP (S (S (NP (PRP I)) (VP (VBP 've) (VP (VBN had)))) (, ,) (NP (PRP I)) (VP (VBP have) (VP (VBN had) (NP (NP (DT a) (NN number)) (PP (IN of) (NP (PRP them)))) (PP (IN in) (NP (PRP$ my) (NN lifetime))))))))"
[4],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP 've)) (, ,))))"
[1],(ROOT (SQ (VBP do) (NP (PRP you)) (VP (VB have) (NP (DT any) (NNS pets))) (. ?)))
[5],"(ROOT (S (NP (PRP I)) (VP (VBP am) (NP (DT a) (NNP Golden) (NN retriever) (NN fan))) (, ,)))"
[6],(ROOT (INTJ (UH Oh) (. .)))
[7],(ROOT (S (CC but) (NP (PRP I)) (VP (VBD had) (S (VP (TO to) (VP (VB replace) (NP (PRP it)) (PP (IN with) (NP (NP (NN something)) (SBAR (WHNP (WDT that)) (S (NP (DT the) (NNS kids)) (VP (MD could) (VP (VB carry))))))))))) (. .)))
[9],(ROOT (INTJ (UH Yes) (. .)))
[8],(ROOT (INTJ (UH Oh) (. .)))
[10],(ROOT (INTJ (UH Yes) (. .)))
[12],"(ROOT (INTJ (UH Yes) (, ,)))"
[13],"(ROOT (S (INTJ (UH well)) (, ,) (ADVP (PRP they)) (VP (VBD were)) (, ,)))"
[14],"(ROOT (S (NP (PRP they)) (ADVP (RB really)) (VP (VBD wanted) (NP (NP (NN something)) (ADJP (RB teeny) (JJ tiny)))) (, ,)))"
[11],(ROOT (FRAG (PP (RB Instead) (IN of) (S (VP (VBG being) (VP (VBN carried))))) (. .)))
[16],(ROOT (INTJ (UH Yeah) (. .)))
"[15, 17]","(ROOT (PRN (CC and) (S (NP (NP (PRP I)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (ADVP (RB really)))) (VP (VBD wanted) (PP (NP (DT that)) (NP (NP (NN retriever) (POS 's)) (NP (FRAG (NP (NN disposition)) (. .))))) (NP (UH Uh)) (, ,) (S (NP (NP (DT the) (NN ultimate)) (PP (IN to) (NP (NP (JJ tolerant)) (, ,) (NP (JJ trainable) (NN disposition)) (, ,)))))))))"
[18],(ROOT (INTJ (UH Really) (. .)))
[19],(ROOT (S (RB so) (NP (PRP I)) (VP (VBD called) (NP (CD four) (CC or) (CD five) (NN dog) (NNS trainers)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB like) (NP (DT the) (JJ little) (NNS dogs))))))) (. .)))
[21],"(ROOT (S (CC And) (PRN (, ,) (CC and) (S (NP (PRP I)) (VP (VBD asked) (NP (PRP them)))) (, ,)) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (DT these)) (VP (VBP are) (NP (NP (DT the) (NNS ages)) (PP (IN of) (NP (DT the) (NNS kids)))))) (, ,)) (SBAR (WHNP (WP what)) (S (VP (VBP do) (S (NP (PRP I)) (VP (VB get))))))) (. .)))"
[22],"(ROOT (S (CC And) (NP (PRP they)) (ADVP (DT all)) (VP (VBD said) (SBAR (FRAG (, ,) (NP (NNP Golden) (NNP Retriever)))))))"
[20],(ROOT (INTJ (UH Uh-huh) (. .)))
"[23, 25]","(ROOT (S (CC and) (NP (PRP I)) (VP (VBD said) (S (INTJ (UH okay)) (, ,) (VP (VB put) (NP (PRP it)) (PP (IN under) (NP (CD twenty) (NNS pounds)))))) (. .)))"
[24],X
[26],"(ROOT (S (CC And) (NP (NP (DT the) (JJ only) (NN thing)) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (MD could) (VP (VB come) (PRT (RP up))))))) (ADVP (IN with)) (VP (VBD was) (NP (NP (DT a) (NNP Bichon) (NNP Frize)) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (NP (DT a))))))) (, ,)))"
[27],(ROOT (INTJ (UH Huh) (. .)))
[29],"(ROOT (INTJ (UH Yes) (, ,)))"
[30],(ROOT (S (NP (PRP I)) (VP (VBP 've) (VP (VBN seen) (NP (DT those)))) (. .)))
[28],(ROOT (S (VP (VBP Do) (SBAR (S (NP (PRP you)) (VP (VBP know) (SBAR (WHNP (WP what)) (S (NP (DT that)) (VP (VBZ is)))))))) (. ?)))
[32],(ROOT (S (NP (PRP They)) (VP (VBP 're) (ADJP (JJ cute))) (. .)))
[33],(ROOT (S (NP (PRP They)) (VP (VBP look) (SBAR (IN like) (S (NP (DT an) (GW air) (^JJ headed)) (VP (XX MUMBLEx) (VP (VB let) (S (NP (PRP me)) (VP (VB tell) (NP (PRP you))))))))) (. .)))
[34],"(ROOT (S (S (NP (PRP They)) (VP (VBP 're) (ADJP (JJ calm)))) (, ,) (S (NP (PRP they)) (VP (VBP 're) (RB not) (NP (NN yuppie)))) (, ,) (S (NP (PRP they)) (VP (VBP 're) (ADJP (JJ trainable)))) (, ,) (S (NP (PRP they)) (VP (VBP 're) (, ,) (INTJ (UH uh)) (, ,) (S (ADJP (RB very) (JJ personable) (PP (IN in) (NP (NP (DT a) (JJ different) (NN way)) (SBAR (WHNP (WDT that)) (S (NP (DT a) (NNP Golden) (NNP Retriever)) (VP (VBZ is)))))))))) (. .)))"
[31],(ROOT (S (NP (PRP They)) (VP (VBP 're) (ADJP (JJ cute))) (. .)))
[35],(ROOT (S (NP (PRP They)) (VP (VBP 're) (RB not) (ADJP (JJ dignified)) (SBAR (IN like) (S (NP (DT a) (NN retriever)) (VP (MD can) (VP (VB be)))))) (. .)))
[37],(ROOT (INTJ (UH Yeah) (. .)))
[36],(ROOT (INTJ (UH Uh-huh) (. .)))
[39],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP she)) (VP (BES 's) (NP (QP (RB about) (CD four)))) (. .)))"
[40],(ROOT (S (NP (PRP She)) (VP (BES 's) (RB not) (ADJP (RB completely) (JJ pure))) (. .)))
[41],"(ROOT (S (NP (PRP We)) (VP (VBD got) (NP (PRP her)) (PP (IN from) (NP (ADJP (DT the) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NNP Humane) (NNP Society))) (SBAR (WHADVP (WRB when)) (S (NP (PRP she)) (VP (VBD was) (NP (DT a) (NN puppy)))))) (. .)))"
[42],"(ROOT (S (NP (PRP She)) (VP (VBZ looks) (PP (IN like) (NP (DT a) (NNP Gol-)))) (, ,)))"
[43],"(ROOT (S (NP (PRP she)) (VP (VBZ looks) (ADVP (RB just)) (PP (IN like) (NP (DT a) (NNP Golden) (NNP Retriever)))) (, ,)))"
[44],(ROOT (S (CC but) (NP (PRP she)) (VP (BES 's) (ADJP (NP (DT a) (JJ little) (NN bit)) (JJR smaller))) (. .)))
[38],(ROOT (SBARQ (RB So) (WHNP (WRB how) (JJ old)) (SQ (VBZ is) (NP (PRP$ your) (NN retriever))) (. ?)))
