[0],(ROOT (INTJ (UH Okay) (. .)))
[2],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (NP (DT the) (JJ last) (CD three) (NNS days)) (NP (PRP it))) (VP (HVS 's) (VP (VBN been) (ADJP (RB pretty) (JJ rainy)))) (. .)))"
[1],(ROOT (SBARQ (WHADVP (WRB How)) (SQ (HVS 's) (NP (DT the) (NN weather)) (VP (VBN been) (PP (IN out) (NP (RB there))))) (. ?)))
[3],(ROOT (S (NP (PRP We)) (VP (VBD went) (PP (IN to) (NP (DT the) (NN beach))))))
[4],(ROOT (INTJ (UH Uh-huh) (. .)))
[5],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP it)) (VP (VBD started) (, ,) (S (INTJ (UH uh)) (, ,) (VP (VB let) (S (NP (PRP 's)) (VP (VP (VB see)) (, ,) (NP (QP (RB around) (CD four)) (RB o'clock))))))) (, ,)))"
[7],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP it)) (VP (VBD had) (NP (NN thunder) (CC and) (NN lightning))) (, ,)))"
[8],"(ROOT (S (S (NP (PRP it)) (VP (VBD was))) (, ,) (CC and) (S (ADVP (RB then)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (PRP it)) (VP (VBD was) (ADJP (RB just) (JJ overcast) (CC and) (JJ rainy)) (PP (IN for) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (DT the) (JJ next) (CD two)) (CC or) (NP (CD three) (NNS days) (JJ straight)))))) (. .)))"
[6],X
[10],"(ROOT (S (NP (PRP It)) (VP (BES 's) (ADJP (ADJP (RB pretty) (JJ normal)) (PP (IN for) (NP (DT this) (NN year))) (, ,) (SBAR (S (NP (PRP you)) (VP (VBP know))))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[11],"(ROOT (S (NP (PRP they)) (VP (VBP have) (NP (NP (NNS tornados)) (NP (ADVP (RB about) (RB once)) (DT a) (NN week)))) (, ,)))"
[12],(ROOT (S (CC and) (NP (PRP it)) (VP (VBZ rains) (NP (QP (RB about) (DT every) (CD three)) (NNS days))) (. .)))
[13],"(ROOT (S (ADVP (NP (DT The) (JJ last) (CD two) (NNS years)) (RB before)) (, ,) (NP (PRP they)) (VP (VBP 've) (VP (VBN had) (NP (JJ record) (NN rainfall)))) (. .)))"
[14],"(ROOT (S (PP (IN By) (NP (NP (DT this) (NN time)) (PP (IN of) (NP (DT the) (NN year))))) (NP (PRP they)) (VP (VBD 'd) (VP (VBN had) (NP (JJ enough) (NN rainfall)) (PP (IN for) (NP (DT the) (JJ whole) (NN year)) (, ,))))))"
[9],(ROOT (FRAG (WHADVP (WRB How)) (PP (IN about) (NP (PRP yours)) (. ?))))
[15],"(ROOT (S (CC but) (NP (DT this) (NN time)) (NP (PRP we)) (VP (VBP 're) (ADVP (RB only)) (, ,) (INTJ (UH um)) (, ,) (NP (NP (PRP I)) (SBAR (S (VP (VBP think) (, ,) (ADVP (NP (RB maybe) (CD five) (NNS inches)) (RB ahead)) (PP (IN of))))) (, ,) (PP (IN of) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (JJ normal))))) (. .)))"
[16],(ROOT (INTJ (UH Uh-huh) (. .)))
[17],(ROOT (S (RB So) (NP (PRP it)) (VP (HVS 's) (RB not) (VP (VBN been) (ADJP (JJ bad)) (ADVP (IN at) (DT all)))) (. .)))
[18],(ROOT (S (NP (PRP You)) (VP (VBP 're) (PP (IN from) (NP (NNP Virginia)))) (. ?)))
[19],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (PP (IN from) (NP (NNP Texas)))) (. .)))
[21],(ROOT (INTJ (UH Uh-huh) (. .)))
[20],"(ROOT (FRAG (INTJ (UH Oh)) (, ,) (PP (IN from) (NP (NNP Texas)) (. .))))"
[22],"(ROOT (S (VP (CC And) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[23],(ROOT (S (NP (PRP I)) (VP (VBD heard) (SBAR (S (NP (PRP they)) (VP (VBD had) (NP (DT some) (NN flooding)) (ADVP (IN down) (RB there)))))) (. .)))
[25],(ROOT (INTJ (UH Uh-huh) (. .)))
"[24, 26]","(ROOT (S (S (INTJ (UH Um)) (, ,) (NP (PRP they)) (VP (VP (VBD had) (NP (NP (DT some) (NN flooding)) (PP (IN in) (NP (NNP Houston)))) (NP (DT the) (JJ other) (NN day))) (, ,) (VP (ADJP (RB real) (, ,) (RB real) (JJ bad)) (PP (IN over))))) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBD was) (PP (IN over) (NP (DT the) (NN weekend))))))) (. .)))"
[27],(ROOT (INTJ (UH Um) (. .)))
[29],(ROOT (INTJ (UH Uh-huh) (. .)))
[31],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (NP (DT the) (JJ last) (NN couple)) (PP (IN of) (NP (NNS years)))) (, ,) (PRN (S (NP (PRP we)) (VP (VBP 're) (, ,) (INTJ (UH um)) (, ,) (NP (PRP we))))) (VP (VBP 're) (ADJP (RP over)) (SBAR (ADVP (RB as) (RB far)) (IN as) (S (NP (PRP$ our) (NN rainfall)) (VP (VBZ goes))))) (. .)))"
[32],"(ROOT (PP (IN Before) (NP (NP (DT that)) (SBAR (S (NP (PRP it)) (VP (VBD was) (ADJP (RB really) (JJ dry))) (, ,))))))"
"[33, 35]","(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (NN everybody)) (VP (VBD was) (, ,) (SBAR (S (NP (PRP you)) (VP (VBP know) (, ,) (S (VP (VP (VBG talking) (PP (IN about) (S (VP (VP (VBG rationing) (NP (NN water))) (CC and) (VP (VBG doing) (NP (DT this))))))) (CC and) (VP (VBG doing) (NP (DT that))))))))) (. .)))"
"[28, 30]",(ROOT (S (NP (DT The) (NN radar)) (ADVP (RB just)) (VP (VBD looked) (ADJP (JJ nasty) (PP (IN with) (NP (NP (DT a) (NN bunch)) (PP (IN of) (NP (JJ red) (NNS splotches)))))) (PP (DT all) (IN across) (NP (PRP it)))) (. .)))
[36],"(ROOT (FRAG (ADJP (RB Not) (RB really)) (S (VP (VP (VBG rationing) (NP (NN water))) (, ,) (CONJP (CC but) (RB just)) (VP (VBG cutting) (PRT (RP down))))) (. .)))"
"[38, 40]","(ROOT (S (NP (DT that) (BES 's)) (, ,) (NP (DT that)) (VP (BES 's) (ADJP (JJ right))) (. .)))"
"[39, 41, 43]","(ROOT (S (CC And) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP it)) (VP (VBZ seems) (SBAR (IN like) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP know))))))) (, ,) (NP (DT the) (NN weather) (NN pattern)) (VP (VBZ is) (SBAR (SBAR (RB just) (S (VP (VBG shifting)))) (, ,) (CC and) (PRN (, ,) (INTJ (UH uh)) (, ,)) (SBAR (WHNP (WHNP (DT that)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (NP (NN jet) (NN stream)) (VP (VBZ is) (VP (VBG moving)))))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (PP (IN into) (NP (NP (PRP$ our) (NN area)) (, ,) (NP (NP (NNP North) (NNP Carolina)) (CC and) (NP (RB across))) (, ,)))))))"
[42],"(ROOT (PRN (XX MUMBLEx) (S (NP (EX There)) (VP (XX y-))) (, ,)))"
[45],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[44],"(ROOT (S (CC but) (NP (PRP it)) (VP (BES 's) (, ,) (INTJ (UH uh)) (, ,) (S (VP (VBG changing) (NP (NN latitude))))) (. .)))"
[46],(ROOT (S (RB so) (NP (PRP you)) (VP (VBP get) (NP (NP (DT a) (ADJP (NN lot) (JJR more)) (NN rain)) (NP (DT that) (NN way)))) (. .)))
[48],(ROOT (INTJ (UH Uh-huh) (. .)))
[49],(ROOT (SINV (VP (VBZ Brings) (ADVP (RB in))) (NP (DT that) (JJ cold) (NN air))))
[47],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (. .))))"
