[1],"(ROOT (FRAG (PP (UH Ok)) (, ,)))"
[0],(ROOT (INTJ (UH Ok) (. .)))
[2],(ROOT (S (NP (PRP I)) (VP (VBD was) (VP (VBG watching) (NP (DT the) (NN soap) (NN opera) (NNS awards)))) (. .)))
[4],"(ROOT (FRAG (CC And) (S (VP (VP (, ,) (S (NP (NP (FRAG (INTJ (UH uh)) (, ,) (NP (PRP it)))) (PP (VBZ is) (NP (RB really)))))) (VP (VBG making) (S (NP (PRP me)) (VP (VB want) (S (VP (TO to) (VP (VB exercise)))))))))))"
[3],(ROOT (INTJ (UH Oh) (. .)))
[5],"(ROOT (FRAG (SBAR (IN because) (S (NP (NP (DT every) (JJ single) (NN woman)) (PP (IN in) (NP (DT the) (NN audience)))) (VP (VBZ is) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (RB about) (CD ten) (NNS pounds))))) (. .)))"
[6],(ROOT (INTJ (UH Oh) (. .)))
[8],X
"[7, 9]","(ROOT (S (INTJ (UH So) (. .)) (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (VBD started) (S (VP (VBG anchoring) (ADJP (JJ last) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (VP (VBG anchoring) (PRN (, ,) (INTJ (UH uh)) (, ,))))))) (S (VP (VP (VBG exercising) (NP (JJ last)) (, ,) (NP (RB about) (JJ last) (NN Spring))) (, ,) (VP (NP (WRB when)) (SBAR (WHNP (NP (PRP I)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (VBD joined) (NP (DT the) (NP (NNP President) (POS 's)) (NNP Health) (NNP Club))))))))) (. .)))"
[11],"(ROOT (S (CC And) (, ,) (ADVP (PRP I)) (VP (VBD was) (UCP (ADJP (RB really) (JJ motivated)) (CC and) (VP (VBG going)))) (, ,)))"
[12],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBD went) (, ,) (INTJ (UH uh)) (, ,) (PP (IN for) (NP (DT a) (JJ little) (NN while))) (, ,) (NP (UH uh))) (. .)))"
[13],"(ROOT (S (NP (PRP I)) (VP (VBD went) (ADVP (RB pretty) (RB regular))) (, ,)))"
[10],(ROOT (INTJ (UH Uh-huh) (. .)))
[14],(ROOT (S (CC but) (NP (PRP it)) (VP (VBZ is) (ADJP (JJ hard) (S (VP (TO to) (VP (VB go) (ADVP (RB regularly)) (PP (IN for) (NP (DT a) (JJ long) (NN time)))))))) (. .)))
[16],"(ROOT (S (CC And) (SBAR (WHADVP (WRB where)) (S (NP (PRP I)) (VP (VBP live) (VP (PP (IN in) (NP (NNP Waco))) (, ,) (NP (UH uh)))))) (, ,) (NP (PRP they)) (VP (VBP do) (RB not) (VP (VB have) (NP (NP (RB anywhere) (RB here)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (VP (VBN affiliated) (PP (IN with) (NP (NNP President) (POS 's))))))))))))"
[17],(ROOT (FRAG (ADVP (RB so)) (SBAR (RB now) (S (NP (PRP I)) (VP (VBP do) (RB not) (VP (VB have) (NP (DT a) (NN club))))))))
[18],"(ROOT (PRN (CC and) (S (S (NP (PRP I)) (VP (VBP am))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP do) (RB not) (VP (VB have) (NP (NP (DT any) (NN motivation) (S (VP (TO to) (VP (VP (ADVP (RB just)) (VB go) (PRT (RB out))) (CC and) (VP (VB jog) (ADVP (RB aimlessly))))))) (CC or) (NP (NP (NN something)) (PP (IN like) (NP (DT that)))))))) (, ,))))"
[15],(ROOT (INTJ (UH Uh-huh) (. .)))
[19],"(ROOT (S (IN so) (NP (PRP I)) (VP (VBP am) (RB not) (VP (VBG exercising) (PP (IN at) (NP (DT the) (NN time))) (, ,) (PP (IN at) (NP (DT the) (NN moment))))) (. .)))"
[21],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP I)) (VP (VBP wish) (SBAR (S (NP (PRP I)) (VP (MD could))))) (. .)))"
[22],"(ROOT (S (NP (PRP I)) (VP (VBP wish) (SBAR (S (NP (PRP I)) (VP (VBD did) (VP (VB have) (NP (DT the) (NN motivation) (S (VP (TO to) (VP (VP (VB get) (ADVP (RB out))) (CC and) (VP (VB do) (NP (DT that)))))))))))) (, ,)))"
[23],(ROOT (S (CC but) (NP (PRP I)) (ADVP (RB just)) (VP (VBP do) (RB not) (VP (VB like) (ADVP (RB just)) (S (VP (VBG running) (ADVP (IN with) (DT no)) (SBAR (WHADVP (WRB where)) (S (VP (TO to) (VP (VB go))))))))) (. .)))
[24],(ROOT (S (NP (PRP I)) (ADVP (RB just)) (VP (MD can) (RB not) (VP (VB do) (NP (DT that)))) (. .)))
[20],(ROOT (INTJ (UH Uh-huh) (. .)))
[26],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP understand) (NP (DT that))) (. .)))"
[27],(ROOT (S (NP (PRP I)) (VP (VBP have) (VP (VBN been) (VP (VBG trying) (S (VP (TO to) (VP (VB get) (S (NP (PRP myself)) (ADJP (JJ motivated))))))))) (. .)))
[28],"(ROOT (S (NP (PRP I)) (VP (VBD had) (VP (VP (VBN gone)) (, ,) (VP (VBN gotten) (ADVP (ADVP (RP up) (ADVP (RB regularly)) (PP (IN for) (NP (NN awhile)))) (PP (IN with) (FRAG (NP (DT a) (NN neighbor) (. .))))) (NP (UH Uh)) (, ,))))))"
[29],(ROOT (S (NP (PRP she)) (VP (VP (VBD had) (VP (VBN injured) (NP (PRP$ her) (NN back)))) (CC and) (VP (VBD needed) (NP (DT a) (VBG walking) (NN partner))))))
[25],"(ROOT (INTJ (RB So) (, ,)))"
[30],(ROOT (S (CC and) (NP (PRP I)) (VP (VBD thought) (SBAR (S (NP (DT that)) (VP (MD would) (VP (VB be) (NP (DT the) (NN time) (S (VP (TO to) (VP (VB get) (S (VP (VBG going)))))))))))) (. .)))
[32],"(ROOT (S (CC And) (ADVP (RB so)) (, ,) (NP (PRP we)) (VP (VBD walked) (ADJP (RB pretty) (RB steadily) (PP (IN for) (NP (QP (RB about) (CD three)) (NNS weeks)))))))"
[33],"(ROOT (FRAG (S (ADVP (CC and)) (, ,) (S (FRAG (INTJ (UH uh)) (, ,) (ADVP (RB then))) (NP (PRP she)) (VP (VBD had) (S (VP (TO to) (VP (VB get) (ADVP (RB back)) (PP (IN to) (NP (NN work)))))))) (CC and) (S (NP (WDT which)) (VP (VBD was) (VP (VBG traveling) (PP (IN to) (NP (NNP New) (NNP York)))))))))"
[31],(ROOT (INTJ (UH Uh-huh) (. .)))
[34],(ROOT (S (CC and) (ADVP (RB so)) (NP (PRP she)) (VP (VBZ is) (RB not) (ADVP (RB around))) (. .)))
[35],(ROOT (INTJ (UH Uh) (. .)))
[36],(ROOT (S (CC And) (NP (PRP I)) (ADVP (RB just)) (VP (VBP do) (RB n't) (VP (VB like) (S (VP (VBG walking) (PP (IN by) (NP (PRP myself))) (PP (PP (IN at) (NP (NN night))) (CC or) (PP (IN in) (NP (NP (DT the) (NN dark)) (PP (IN of) (NP (DT the) (NN morning))))))))))))
[37],(ROOT (INTJ (UH Yeah) (. .)))
