[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[1],"(ROOT (S (NP (NNP Miss) (NNP Nancy)) (, ,) (NP (PRP we)) (VP (MD should) (VP (VB be) (PP (IN in) (NP (NN business))) (ADVP (RB now)))) (. .)))"
[2],(ROOT (INTJ (UH Good) (. .)))
[3],"(ROOT (SQ (VBD Did) (NP (PRP you)) (VP (VB hear) (NP (NP (DT the) (NNS questions)) (FRAG (WHNP (WDT that)) (SBAR (WHNP (NP (DT the) (NN lady)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (VBD brought) (PRT (RP up)))))))) (. ?)))"
[5],"(ROOT (FRAG (ADVP (RB Such)) (PP (IN as) (WHNP (WHNP (WHNP (WRB how) (JJ much)) (ADJP (NN time))) (PRN (, ,) (INTJ (UH well)) (, ,))))))"
[6],"(ROOT (S (NP (PRP I)) (VP (MD 'll) (VP (VB ask))) (, ,)))"
[7],"(ROOT (SBARQ (WHNP (WHADJP (WRB how) (JJ much)) (NN time)) (SQ (VBP do) (NP (PRP you)) (VP (VB spend) (PP (IN with) (NP (PRP$ your) (NNS children)) (, ,))))))"
[4],(ROOT (INTJ (UH Yes) (. .)))
[9],"(ROOT (S (NP (PRP We)) (VP (VBP have) (NP (CD two) (NNS children))) (, ,)))"
[10],(ROOT (S (NP (PRP they)) (VP (VBP 're) (ADJP (DT both) (JJ grown) (CC and) (JJ married)))))
[11],"(ROOT (FRAG (CC and) (PP (IN with) (S (VP (VP (, ,) (S (NP (NP (PRP we)) (VP (VBP have))))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))"
[12],"(ROOT (S (NP (PRP$ our) (NN daughter)) (VP (VBZ has) (NP (CD three) (NNS sons))) (, ,)))"
[13],"(ROOT (S (NP (RB so) (PRP we)) (VP (VBP see) (NP (PRP them)) (ADVP (ADVP (IN at) (JJS least) (RB once)) (NP (DT a) (NN week)))) (, ,)))"
[14],"(ROOT (PRN (CC and) (S (NP (PRP we)) (VP (VBP see) (NP (NP (PRP$ our) (NN son)) (CC and) (NP (PRP$ his) (NN wife))) (FRAG (INTJ (UH uh)) (, ,) (NP (RB about) (DT every) (JJ other) (NN week)))))))"
[8],(ROOT (SBARQ (CC and) (WHADVP (WRB how) (NP (RB many))) (SQ (VBP do) (NP (PRP you)) (VP (VB have))) (. ?)))
"[15, 17]","(ROOT (S (CC and) (, ,) (S (INTJ (UH uh)) (NP (PRP we)) (VP (VBP baby-sit) (ADVP (RB quite) (RB frequently)))) (. .)))"
[18],(ROOT (S (RB So) (NP (PRP we)) (VP (VBP 're) (NP (DT a) (RB fairly) (JJ close-knit) (NN family))) (. .)))
[19],(ROOT (S (NP (PRP We)) (VP (VBP 're) (ADVP (RB together)) (NP (NP (DT a) (NN lot)) (PP (IN on) (NP (JJ special) (NNS days)))))))
[16],(ROOT (INTJ (UH Uh-huh) (. .)))
[21],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP you)) (VP (VBP 're) (ADJP (RB very) (JJ fortunate))) (. .)))"
[22],"(ROOT (S (ADVP (UH Uh)) (, ,) (NP (PRP$ my)) (VP (PRP$ my) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[20],"(ROOT (S (NP (CC and)) (VP (PRN (, ,) (INTJ (UH uh)) (, ,)) (PP (CC and) (IN of) (NP (NP (NN course)) (, ,) (PP (IN with) (NP (NP (DT the) (NNS holidays)) (CC and) (NP (NN everything))))))) (. .)))"
[23],"(ROOT (S (NP (PRP I)) (VP (VBP have) (NP (NP (CD two) (NNS girls)) (CC and) (NP (DT a) (NN son)))) (, ,)))"
[24],(ROOT (INTJ (UH Uh-huh) (. .)))
[25],"(ROOT (S (CC And) (NP (PRP$ my) (JJS oldest) (NN daughter)) (VP (VBZ lives) (PP (IN in) (NP (NNP Amsterdam) (, ,) (NNP Holland)))) (. .)))"
[26],(ROOT (INTJ (UH Oh) (. .)))
"[27, 29]","(ROOT (PRN (S (NP (PRP She)) (, ,) (NP (PRP$ Her) (NN husband)) (VP (VBZ builds) (NP (NNS pianos)))) (, ,)))"
[28],X
"[30, 32]","(ROOT (S (RB so) (PRN (S (NP (PRP it)) (VP (BES 's) (ADVP (RB kind) (RB of)) (ADJP (JJ hard) (PP (IN for) (NP (PRP us)))) (S (VP (TO to) (VP (VB visit) (PP (IN with) (NP (PRP them))) (, ,) (ADVP (ADVP (RB as) (RB much)) (SBAR (IN as) (S (NP (PRP I)) (VP (MD 'd) (VP (VB like) (PP (TO to))))) (. .)))))) (SBAR (IN Because) (S (NP (PRP we)) (VP (VBP 've)))))) (, ,)) (NP (PRP we)) (, ,) (NP (NP (CD one) (NN thing)) (SBAR (S (NP (PRP we)) (VP (VBP do))))) (VP (VB have) (VP (ADVP (RB together)) (VBZ is) (NP (NP (PRP we)) (SBAR (S (VP (VBP 're) (NP (DT both) (NNS musicians)))))))) (. .)))"
