[1],"(ROOT (INTJ (UH No) (, ,)))"
[2],"(ROOT (INTJ (UH no) (, ,)))"
[0],"(ROOT (SINV (FRAG (VP (VBP Are))) (, ,) (VP (VBP are) (NP (PRP you))) (NP (DT a) (NNP T) (NNP I-er)) (. ?)))"
[3],(ROOT (S (NP (PRP I)) (VP (VBP work) (ADVP (RB there)) (PP (IN as) (NP (DT a) (NN temporary)))) (. .)))
[4],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH really) (. .))))"
[5],"(ROOT (S (ADVP (CC But)) (, ,) (VP (VBP are) (NP (PRP you)) (PP (IN at) (NP (NNP T) (NNP I)))) (. ?)))"
[6],(ROOT (S (INTJ (UH Oh)) (VP (UH yeah)) (. .)))
[8],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (, ,))))"
[9],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[10],(ROOT (INTJ (UH yeah) (. .)))
[11],"(ROOT (S (PP (IN In) (NP (NP (NN fact)) (PP (IN with) (NP (PRP me))))) (, ,) (NP (DT this)) (VP (VBZ is) (PRN (, ,) (S (NP (PRP it)) (VP (BES 's) (RB not) (ADJP (JJ much) (S (VP (TO to) (VP (VB talk) (PP (IN about)))))))) (, ,)))))"
[12],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADJP (RB so) (JJ much) (PP (IN for) (NP (PRP it))))) (. .)))
[13],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (ADVP (RB really)) (VP (VB have) (ADJP (JJ much) (S (VP (TO to) (VP (VB comment) (PP (IN about) (NP (PRP it))))))))) (. .)))
[14],(ROOT (S (NP (EX There)) (VP (VBP 've) (VP (VBN been) (NP (NP (DT some) (JJ interesting) (NN subject)) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBP 've) (VP (VBN called) (PP (IN about))))))))) (. .)))
[15],"(ROOT (SBAR (WHNP (WHADJP (WRB How) (JJ many)) (NNS times)) (S (VP (VBP have) (S (NP (PRP you)) (VP (VBN called)))) (, ,))))"
[7],(ROOT (S (RB So) (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB do) (NP (DT the) (JJ random) (NN drug) (NN testing)))))) (. .)))
[16],(ROOT (SBARQ (CC or) (SQ (VBP have) (NP (PRP you)) (VP (VBN been) (VP (VBG participating) (PP (IN in) (NP (DT this)))))) (. ?)))
[18],"(ROOT (S (INTJ (UH Oh)) (, ,) (ADVP (PRP you)) (VP (VBD got) (NP (CD ten))) (, ,)))"
[17],"(ROOT (FRAG (INTJ (UH Oh)) (, ,) (NP (NP (RB about) (CD ten)) (CC or) (NP (CD eleven) (NNS calls))) (. .)))"
"[19, 21]","(ROOT (S (PP (UH well) (NP (PRP you))) (, ,) (NP (PRP you)) (VP (VBP 've) (VP (VBN passed) (NP (PRP me)) (PRT (RP up)))) (. .)))"
[20],(ROOT (INTJ (UH Right) (. .)))
[23],(ROOT (INTJ (UH Oh) (. .)))
[22],(ROOT (S (NP (DT This)) (VP (VBZ is) (NP (QP (RB about) (CD six) (NNS times)))) (. .)))
[24],"(ROOT (S (PP (IN As) (NP (NN contract) (NN person))) (NP (PRP we)) (VP (VBP have) (S (VP (TO to) (VP (VB do) (NP (JJ random) (NN drug) (NN testing))))) (, ,) (ADVP (RB too))) (. .)))"
[26],(ROOT (S (NP (PRP It)) (VP (VBZ does) (RB n't) (VP (VB bother) (NP (PRP me)))) (. .)))
[25],(ROOT (INTJ (UH Yeah) (. .)))
[28],"(ROOT (INTJ (UH No) (, ,)))"
[29],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ good)))))) (. .)))
[30],"(ROOT (S (PP (IN In) (NP (NN fact))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHNP (WP what)) (S (NP (DT the) (NNS statistics)) (VP (VBD were)) (, ,)))))))"
[31],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (PRP they)) (VP (VBD were) (ADJP (JJ surprised) (S (VP (TO to) (VP (VB find) (S (NP (PRP it)) (ADJP (RB so) (JJ low))))))))))) (. .)))
[32],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBD were) (VP (VBG expecting) (S (VP (TO to) (VP (VB find) (, ,) (INTJ (UH uh)) (, ,) (NP (INTJ (UH like)) (NP (DT the) (JJ national) (NN average)))))) (PP (IN at) (NP (NNP T) (NNP I)))))))) (. .)))"
[27],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB feel) (SBAR (IN like) (S (NP (PRP it)) (VP (BES 's) (ADVP (RB really)) (NP (NP (DT a) (NN violation)) (PP (IN of) (NP (NN privacy) (CC or) (NN anything))))))))) (. .)))
[33],(ROOT (S (CC And) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBD was) (ADVP (RB tremendously)) (ADVP (JJ down)))))) (. .)))
