[0],(ROOT (INTJ (UH Okay)))
[2],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBP stand) (PP (IN on) (PRN (, ,) (INTJ (UH uh)) (, ,))) (PP (IN on)) (, ,) (ADVP (RB probably) (NP (CD ten)) (PP (IN for) (NP (ADJP (DT no) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NNS restrictions)))))))) (. .)))"
[3],"(ROOT (S (NP (PRP I)) (, ,) (INTJ (UH uh)) (, ,) (NP (RB recently)) (ADVP (RB just)) (VP (VBD moved) (PP (IN to) (NP (NNP Texas))) (PP (IN from) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (NNP South) (NNP Dakota)) (CC and) (NP (NNP Nebraska))))) (, ,)))"
[4],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (NP (NN gun) (NN control))))) (NP (PRP I)) (VP (VBP 've) (ADVP (ADVP (RB always)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (VP (VBN been) (VP (VBN raised) (PP (IN with) (NP (NP (ADJP (DT the) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN idea)) (PP (IN in) (NP (DT the) (NNP Constitution))))) (SBAR (WHNP (IN that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (NNS citizens)) (VP (VBD had) (NP (DT a) (NN right) (S (VP (TO to) (VP (VB bear) (NP (NNS arms))))))))))))))) (, ,))))"
[5],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP realize) (SBAR (IN that) (S (SBAR (ADVP (RB probably) (RB way) (RB back)) (WHADVP (WRB when) (WRB when)) (S (NP (DT the) (NNP Constitution)) (VP (VBD was) (VP (VBN written) (S (NP (PRP it)) (ADVP (RB probably))))))) (VP (VBD regarded) (, ,) (INTJ (UH uh)) (, ,) (ADJP (ADJP (ADJP (JJR more)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (PP (IN of) (NP (NP (DT a) (JJ national) (NN defense)) (PRN (, ,) (FRAG (INTJ (UH uh)) (, ,) (PP (IN than) (NP (NN anything) (RB else)))) (, ,))))))))))))"
[1],(ROOT (FRAG (PP (IN on) (NP (NP (DT a) (NN scale)) (PP (IN of) (NP (NP (CD one)) (VP (PP (IN to) (NP (CD ten))) (SBAR (SBAR (WHADVP (WRB where)) (S (VP (VBP do) (S (NP (PRP you)) (VP (VB stand)))))) (CC and) (SBAR (WHADVP (WRB why))))))))) (. ?)))
[7],"(ROOT (INTJ (UH Yes) (, ,)))"
[6],"(ROOT (S (CC but) (, ,) (INTJ (UH uh)) (, ,) (PP (IN on) (NP (NP (DT the) (JJ other)) (FRAG (SBAR (WHNP (NP (NN hand)) (PRN (, ,) (ADVP (RB too)) (, ,))) (FRAG (INTJ (UH uh))))))) (, ,) (NP (NNS people)) (VP (ADVP (ADVP (RB then)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (VBD needed) (S (VP (TO to) (VP (VB use) (NP (NNS firearms)) (PP (IN for) (PRN (, ,) (INTJ (UH um)) (, ,)) (NP (NP (NN survival)) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NN food)))))))))))))"
[9],"(ROOT (S (CC and) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP I)) (VP (VBD was) (VP (VBN raised) (, ,) (NP (UH uh)))))) (, ,) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (VP (VBG hunting) (NP (PDT all) (DT the) (NN time)))) (, ,)))))"
[10],"(ROOT (S (S (NP (PRP I)) (VP (VBD lived) (PP (IN on) (NP (DT the) (NN farm))))) (, ,) (CC and) (S (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP you)) (VP (VBP know)) (, ,))) (VP (VBP enjoy) (NP (NN hunting))))))"
[8],(ROOT (INTJ (UH true) (. .)))
[11],"(ROOT (S (S (CC and) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBP have) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (DT some) (NNS problems)) (PP (PP (IN with)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (VP (VBG being) (VP (VBN restricted) (PP (IN to) (PRN (, ,) (INTJ (UH um)) (, ,))) (S (VP (VBG owning) (NP (DT a) (NN gun)) (PP (IN for)))))))))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (NP (NN hunting) (NNS purposes)) (ADVP (RB mainly))) (. .)))"
[12],(ROOT (INTJ (UH Right) (. .)))
[14],"(ROOT (INTJ (UH Yeah) (, ,)))"
[15],"(ROOT (S (S (NP (PRP I)) (VP (MD can))) (, ,) (NP (PRP I)) (VP (MD can) (VP (VB understand) (NP (DT that)))) (. .)))"
[16],"(ROOT (S (NP (PRP I)) (VP (VBD was) (VP (VBN raised) (PP (IN in) (NP (NNP Oklahoma))))) (, ,)))"
[17],"(ROOT (FRAG (CC and) (PP (IN of) (NP (NP (NN course)) (, ,) (VP (VBG being) (ADJP (ADJP (JJ Oklahoman) (CC and) (JJ Texan)) (PRN (, ,) (INTJ (UH uh)) (, ,))))))))"
[18],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[19],"(ROOT (NP (NP (DT the) (NN hunting)) (PP (CC and) (NP (NP (NN everything)) (, ,)))))"
[20],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBD used) (S (VP (TO to) (VP (XX MUMBLEx) (NP (NP (NP (NNS things)) (PP (IN in) (NP (PRP$ my) (NN father)))) (CC and) (NP (NP (PRP$ my) (NN husband)) (VP (VBG having) (NP (NP (NNS guns)) (CC and) (NP (DT all)))))))))) (, ,))))"
[21],"(ROOT (PRN (CC and) (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VP (VBD did)) (, ,) (VP (VBD used) (S (VP (TO to) (VP (VB be) (NP (NP (DT all) (NN in) (NN favor)) (PP (IN of) (NP (PRP it))))))))) (, ,))))"
