[0],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (. .)))"
[1],"(ROOT (S (NP (NP (PRP$ My) (JJ personal) (NN perception)) (PP (IN of) (NP (NP (NN government)) (ADVP (CC and)))) (, ,) (SBAR (S (INTJ (UH uh)) (, ,) (NP (DT the) (NN way) (NNS things)) (VP (VBP are) (PP (IN at) (NP (DT this) (JJ current) (NN time)))))) (, ,)) (VP (VBZ is) (NP (NP (DT that) (NN nobody)) (SBAR (S (VP (MD can) (ADVP (RB really)) (VP (VB be) (VP (VBN trusted)))))))) (. .)))"
[2],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB feel) (SBAR (IN that) (S (NP (NP (RB too) (JJ many)) (PP (IN of) (NP (DT the) (NNS candidates)))) (VP (VBP are) (ADJP (ADVP (IN out) (RB there)) (PP (TO to))) (, ,) (S (INTJ (UH uh)) (, ,) (VP (VB be) (ADJP (JJ self-serving)) (PP (IN to) (NP (DT the) (NN community)))))))))) (. .)))"
[3],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP have) (NP (PRP$ their) (ADJP (ADJP (JJ own)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NNS wishes)) (PP (TO to))))) (, ,) (S (INTJ (UH uh)) (, ,) (VP (VB be) (S (UCP (PP (IN in) (NP (DT the) (NN limelight))) (CC and) (S (VP (TO to) (VP (ADVP (RB kind) (RB of)) (VB say) (S (SBAR (PRN (, ,) (INTJ (UH hey)) (, ,)) (S (NP (PRP you)) (VP (VBP know)))) (, ,) (NP (PRP I)) (VP (VBP 'm) (NP (DT a) (JJ public) (NN official)))))))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (S (VP (TO to) (VP (VB do) (, ,) (INTJ (UH uh)) (, ,) (NP (JJ certain) (NNS things)))))))))))))"
[4],(ROOT (S (CC and) (NP (PRP they)) (ADVP (RB just)) (VP (VBP stand) (PRT (RP out)) (S (NP (NP (RBR more)) (. .) (S (VP (VBG Involving) (NP (PRP themselves)) (ADVP (RBR more) (CC and) (RBR more)) (PP (IN with) (NP (NNS politics))))))))))
[5],"(ROOT (FRAG (PP (CC but) (NP (NP (PRP it)) (BES 's) (ADVP (RB really)))) (, ,)))"
[6],"(ROOT (PP (IN after) (NP (PDT all) (DT the) (NNS things) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBP 've) (VP (VBN seen) (PP (IN in) (NP (DT the) (JJ last) (CD ten) (NNS years))) (PP (IN about) (NP (NP (NP (NP (NP (NN government)) (CC and) (ADVP (RB now)) (NP (DT the) (NNS overdrafts))) (, ,) (INTJ (UH uh)) (, ,) (PP (IN of) (NP (NNS checks)))) (, ,) (INTJ (UH uh)) (, ,) (PP (IN before) (NP (DT that)))) (SBAR (S (NP (PRP it)) (VP (VBD was) (NP (NP (DT the) (ADJP (ADJP (JJ wonderful)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN escapade)) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBD had) (PP (IN with) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (DT the) (ADJP (ADJP (JJ new)) (PRN (, ,) (INTJ (INTJ (UH uh)) (, ,) (INTJ (UH oh) (UH God))) (, ,))) (NN chief)) (PP (PP (IN of)) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))))))))))))))))"
[7],"(ROOT (FRAG (PP (UH well) (NP (NNP Supreme) (NNP Court))) (, ,)))"
[8],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG trying) (S (VP (TO to) (VP (VP (VB think) (PP (PP (IN of) (NP (PRP$ his) (NX (NX (NN name)) (CC and)))) (PRN (, ,) (INTJ (UH uh)) (, ,))) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP put))))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (PRP him)))))) (PP (IN through) (IN in) (NP (NP (NNS regards)) (PP (IN to)))))) (, ,)))"
[10],"(ROOT (INTJ (UH Yeah) (, ,)))"
[9],(ROOT (FRAG (NP (NNP Thomas)) (. ?)))
[11],(ROOT (FRAG (NP (NNP Thomas)) (. .)))
[13],"(ROOT (NP (NP (NP (DT The) (NN sex)) (, ,) (NP (JJ sexual) (NN harassment)) (, ,) (NP (NP (DT that) (NN kind)) (PP (IN of) (NP (NP (NN thing)) (CC and) (S (ADVP (RB just)) (VP (TO to) (VP (VB see) (S (NP (PRP$ our) (NN government)) (VP (VB react) (PP (IN to) (NP (NP (DT that)) (CC and) (NP (RB then) (RB just))))))))))))) (NP (NP (JJ little) (NNS things)) (SBAR (WHNP (WDT that)) (S (VP (VBP have) (VP (VBN added) (PRT (RP up)) (SBAR (WHADVP (WRB where)) (S (NP (NNS people)) (VP (VBP have) (VP (VBN taken) (NP (NNS vacations)) (PP (IN on) (NP (NP (NP (NNS taxpayers) (POS ')) (NNS monies) (CC and) (NNS things)) (PP (IN like) (NP (DT that)))))))))))))) (. .)))"
[12],(ROOT (INTJ (UH Uh-huh) (. .)))
"[14, 16]","(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (ADVP (RB just)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VP (BES 's) (ADJP (RB very) (JJ corrupt))) (CC and) (VP (SBAR (IN whether) (CC or) (RB not) (S (NP (PRP they)) (VP (VBP need) (S (VP (TO to) (VP (VP (VB start) (PP (IN with) (NP (NP (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (ADJP (RB extremely) (JJ poor)))))))) (, ,) (CC and) (VP (VB send) (NP (PRP them)) (PP (IN into) (NP (NP (NN government)) (PP (IN versus) (NP (NP (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (ADJP (JJ rich))))))))))))))))))))) (. .)))"
