[0],(ROOT (S (NP (EX There)) (NP (PRP you)) (VP (VBP go)) (. .)))
[2],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (NNP Jean)) (, ,) (NP (DT the) (ADJP (NN subject))) (VP (VBZ is) (NP (NN jury) (NNS trials)))))"
[1],(ROOT (INTJ (UH Uh-huh) (. .)))
[3],"(ROOT (SINV (CC and) (MD should) (NP (DT the) (NN jury)) (VP (VB recommend) (, ,) (INTJ (UH uh)) (, ,) (NP (NN sentencing))) (. .)))"
[5],"(ROOT (FRAG (PP (UH Now) (NP (PRP$ my) (JJ personal) (NN opinion))) (, ,)))"
[6],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (. .)))
[7],"(ROOT (S (INTJ (UH Uh) (, ,) (UH uh)) (, ,) (NP (RB here)) (ADVP (RB lately)) (VP (ADVP (PRP it)) (VBZ seems)) (, ,)))"
[8],"(ROOT (S (PP (NP (UH well)) (IN up)) (PP (IN until) (ADVP (NP (DT a) (JJ few) (NNS years)) (RB ago))) (, ,) (NP (PRP I)) (VP (VBP guess) (, ,) (S (NP (EX there)) (NP (RB just) (RB too) (JJ many) (NNS liberals)) (S (UCP (ADVP (RB about)) (CC and) (VP (VBG permitting) (ADJP (ADJP (RB too) (JJ many)) (PRN (, ,) (INTJ (UH oh)) (, ,))))))))))"
[4],(ROOT (INTJ (UH Uh-huh) (. .)))
[9],"(ROOT (S (S (NP (PRP they)) (ADVP (RB just)) (VP (VBP broaden) (NP (DT the) (JJ human) (NNS rights)) (PP (TO to)) (, ,) (S (VP (TO to) (VP (VB cover) (NP (NP (RB just) (RB about) (NN ev-)) (, ,) (NP (NN everybody)))))))) (, ,) (CC and) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (S (NP (DT those)) (ADJP (JJ guilty) (PP (IN of) (S (VP (VBG committing) (SBAR (S (NP (NN capital) (NNS crimes)) (VP (MD should) (VP (VB be) (VP (VBN permitted) (S (VP (TO to) (VP (VB go) (VP (VP (VB spend) (NP (NP (DT a) (JJ few) (NNS years)) (PP (IN in) (NP (NN jail))))) (CC and) (VP (VB be) (VP (VBN turned) (ADJP (JJ lose)) (PP (IN on) (NP (NN parole)))))))))))))))))))))) (. .)))"
