[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[1],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't)) (, ,)))"
[3],"(ROOT (FRAG (INTJ (UH Well)) (, ,) (NP (DT the) (, ,))))"
[2],"(ROOT (SQ (VBP do) (NP (PRP you)) (VP (VB have) (NP (NP (DT an) (NN opinion)) (PP (IN on) (NP (NP (DT that)) (, ,) (PP (IN on) (NP (DT the) (NNP U) (NNP S) (NNP R))))))) (. ?)))"
[4],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (VP (VBP 'm)) (PRN (, ,) (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ skeptical)) (PP (PP (IN about) (FRAG (NP (DT the) (JJ whole) (NN thing)) (. .))) (NP (UH Uh))))) (, ,)) (CC and) (VP (NP (DT a) (PRN (, ,) (ADVP (RB still)) (NP (NP (NP (DT a) (JJ little) (NN bit)) (ADJP (JJ worried))) (PP (IN about) (NP (PRP them)))))) (PP (IN because) (IN of) (NP (NP (DT the) (NN his-)) (, ,) (NP (NP (DT the) (NN history)) (PP (IN of) (NP (NNP Russia))))))))))) (. .)))"
[5],(ROOT (INTJ (UH Uh-huh) (. .)))
[7],(ROOT (INTJ (UH Sure) (. .)))
[9],(ROOT (INTJ (UH Uh-huh) (. .)))
"[6, 8]","(ROOT (S (CC And) (NP (PRP they)) (VP (VBP 're) (PP (IN in) (NP (NP (DT a)) (, ,) (PP (IN in) (NP (NP (DT a) (NN state)) (PP (IN of) (NP (NP (NN flux)) (ADJP (ADVP (RB right) (RB now)) (VBG changing)))))))) (, ,) (INTJ (UH uh)) (, ,) (INTJ (XX e-) (, ,) (UH uh)) (, ,) (S (VP (VBG changing) (NP (DT a) (JJ great) (NN deal)) (PP (ADVP (RB primarily)) (IN because) (IN of) (NP (DT the) (JJ economic) (NN distress)))))) (. .)))"
[11],"(ROOT (S (CC And) (SBAR (RB even) (S (FRAG (X (IN in)) (NP (DT that) (NN situation))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (DT the))))) (, ,) (NP (PRP it)) (VP (VBZ seems) (S (S (PP (IN like) (PP (IN to) (NP (NP (PRP me)) (PP (IN from) (NP (WP what)))))) (NP (PRP I)) (VP (VBP 've) (VP (VBN read) (PP (IN in)) (, ,) (PP (IN in) (NP (NP (DT the) (NN history)) (PP (IN of) (NP (NNP Russia)))))))) (CC and) (, ,) (CC and) (S (NP (PRP you)) (VP (VBP know) (NP (JJ different) (NNS authors)))) (, ,) (INTJ (UH uh)) (, ,) (S (NP (EX there)) (VP (VBZ has) (ADVP (RB always)) (VP (VBN been) (NP (DT a) (NN paranoia))))))) (. .)))"
[12],(ROOT (S (NP (PRP They)) (VP (VBP 've) (ADVP (RB always)) (VP (VBN suspected) (NP (NN everybody))))))
[10],(ROOT (INTJ (UH Sure) (. .)))
"[13, 15]","(ROOT (PRN (CC and) (S (CC and) (NP (DT that)) (VP (BES 's) (SBAR (S (SBAR (WHADVP (WRB why)) (S (NP (PRP they)) (VP (VBD put)))) (, ,) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (DT that)) (VP (BES 's) (SBAR (WHADVP (WRB why)) (S (NP (PRP they)) (VP (VBD put) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS people)) (PP (IN in) (NP (NN prison)))))) (PP (IN for) (NP (NNS years) (CC and) (NNS years)))))))) (, ,)))))))))"
[14],(ROOT (INTJ (UH Sure) (. .)))
[17],"(ROOT (FRAG (PP (UH Sure)) (, ,)))"
[16],(ROOT (S (CC and) (NP (DT that)) (VP (BES 's) (SBAR (WHADVP (WRB why)) (S (NP (PRP they)) (VP (VBD put) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS people)))) (PP (IN to) (NP (NN death))))))) (. .)))
[19],"(ROOT (INTJ (UH Yes) (, ,)))"
[18],(ROOT (S (NP (DT that)) (VP (VBZ happens)) (. .)))
[21],(ROOT (INTJ (UH Uh-huh) (. .)))
[23],(ROOT (INTJ (UH Sure) (. .)))
[24],(ROOT (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (PP (IN in) (ADJP (JJ particular))) (NP (PRP$ my) (NN viewpoint)) (VP (VBZ is) (SBAR (IN that) (S (NP (PRP they)) (ADVP (RB financially)) (VP (MD can) (RB not) (VP (VB go) (PP (IN into) (NP (DT a) (NN war))))))))))) (. .)))
[25],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (PRP they)) (VP (VBP are) (ADJP (JJ desperate) (PP (IN at) (NP (NP (DT this) (NN point)) (PP (IN in) (NP (NN time))))) (S (VP (TO to) (VP (VB keep) (NP (PRP$ their) (NN country)) (ADVP (RB together))))))) (, ,)))"
[26],"(ROOT (S (CC but) (NP (PRP I)) (VP (MD could) (RB not) (VP (VB foresee) (S (NP (PRP them)) (VP (VBG severing) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP have) (VP (PP (IN with) (NP (DT the) (NNP U) (NNP S) (. .)) (NP (UH Um))))))))) (, ,) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP need) (NP (PRP us)) (PP (IN at) (NP (DT this) (JJ current) (NN time))) (PP (IN because) (PP (IN of) (NP (PRP$ their) (JJ financial) (NN situation))))))))) (. .)))"
