swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,turn_index,subutterance_index,text,pos,trees
K/KD/KDU.xml,KDURE00F,46416,0,,A,1,1,"No well that's alright, maybe if, er you are talking to him, I don't know whether you do talk to him","[No/RB, well/RB, that/DT, 's/VBZ, alright/JJ, ,/,, maybe/RB, if/IN, ,/,, er/NN, you/PRP, are/VBP, talking/VBG, to/TO, him/PRP, ,/,, I/PRP, don/VBP, 't/PRP, know/VB, whether/IN, you/PRP, do/VBP, talk/VB, to/TO, him/PRP]","(ROOT (FRAG (ADVP (RB No) (RB well)) (SBAR (WHNP (DT that)) (S (VP (VBZ 's) (ADJP (JJ alright)) (, ,) (ADVP (RB maybe)) (SBAR (IN if) (, ,) (S (NP (NP (NN er)) (SBAR (S (NP (PRP you)) (VP (VBP are) (VP (VBG talking) (PP (TO to) (NP (PRP him)))))))) (, ,) (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB know) (SBAR (IN whether) (S (NP (PRP you)) (VP (VBP do) (VP (VB talk) (PP (TO to) (NP (PRP him)))))))))))))))))"
K/KD/KDU.xml,KDURE00F,46416,1,,B,2,1,"Well I don't, Alec's probably er one person who I don't speak to a lot really ","[Well/RB, I/PRP, don/VBP, 't/PRP, ,/,, Alec/NNP, 's/POS, probably/RB, er/NN, one/CD, person/NN, who/WP, I/PRP, don/VBP, 't/PRP, speak/VB, to/TO, a/DT, lot/NN, really/RB]","(ROOT (FRAG (FRAG (ADVP (RB Well)) (NP (NP (PRP I)) (SBAR (S (VP (VBP don) (NP (PRP 't))))))) (, ,) (FRAG (NP (NP (NP (NNP Alec) (POS 's)) (RB probably) (NN er)) (NP (CD one) (NN person))) (SBAR (WHNP (WP who)) (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB speak) (PP (TO to) (NP (DT a) (NN lot))) (ADVP (RB really))))))))))"
K/KD/KDU.xml,KDURE00F,46416,2,,A,3,1,"Yeah, right ","[Yeah/UH, ,/,, right/RB]","(ROOT (FRAG (INTJ (UH Yeah)) (, ,) (ADVP (RB right))))"
K/KD/KDU.xml,KDURE00F,46416,3,,B,4,1,because er,"[because/IN, er/NN]",(ROOT (PP (IN because) (NP (NN er))))
K/KD/KDU.xml,KDURE00F,46416,4,,A,5,1,If you are,"[If/IN, you/PRP, are/VBP]",(ROOT (SBAR (IN If) (S (NP (PRP you)) (VP (VBP are)))))
K/KD/KDU.xml,KDURE00F,46416,5,,B,6,1,Yes,[Yes/UH],(ROOT (INTJ (UH Yes)))
K/KD/KDU.xml,KDURE00F,46416,6,,A,7,1,and you get talking about always see if I am ,"[and/CC, you/PRP, get/VBP, talking/VBG, about/IN, always/RB, see/VBP, if/IN, I/PRP, am/VBP]",(ROOT (PRN (CC and) (S (NP (PRP you)) (VP (VBP get) (SBAR (S (S (VP (VBG talking) (PP (IN about) (ADVP (RB always))))) (VP (VBP see) (SBAR (IN if) (S (NP (PRP I)) (VP (VBP am)))))))))))
K/KD/KDU.xml,KDURE00F,46416,7,,B,8,1,"Aye mention that, yes ","[Aye/NNP, mention/VB, that/IN, ,/,, yes/UH]","(ROOT (FRAG (NP (NNP Aye)) (S (VP (VB mention) (ADVP (IN that)) (, ,) (NP (UH yes))))))"
K/KD/KDU.xml,KDURE00F,46416,8,,A,9,1,"Aye, aye mention that and say that you ","[Aye/NNP, ,/,, aye/NNP, mention/VB, that/IN, and/CC, say/VB, that/IN, you/PRP]","(ROOT (NP (S (NP (NNP Aye) (, ,) (NNP aye)) (VP (VP (VB mention) (ADVP (IN that))) (CC and) (VP (VB say) (SBAR (IN that) (S (NP (PRP you)))))))))"
K/KD/KDU.xml,KDURE00F,46416,9,,B,10,1,Yeah ,[Yeah/UH],(ROOT (INTJ (UH Yeah)))
