swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,turn_index,subutterance_index,text,pos,trees
K/KD/KD5.xml,KD5RE012,34101,0,,A,1,1,Oh I don't need a great deal cos we've got plenty of potatoes.,"[Oh/UH, I/PRP, don/VBP, 't/PRP, need/VB, a/DT, great/JJ, deal/NN, cos/NN, we/PRP, 've/VBP, got/VBN, plenty/NN, of/IN, potatoes/NNS, ./.]",(ROOT (S (S (INTJ (UH Oh)) (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB need) (NP (DT a) (JJ great) (NN deal) (NN cos)))))) (NP (PRP we)) (VP (VBP 've) (VP (VBN got) (NP (NP (NN plenty)) (PP (IN of) (NP (NNS potatoes)))))) (. .)))
K/KD/KD5.xml,KD5RE012,34101,1,,A,1,2,And we've got orange juice.,"[And/CC, we/PRP, 've/VBP, got/VBN, orange/NNP, juice/NN, ./.]",(ROOT (S (CC And) (NP (PRP we)) (VP (VBP 've) (VP (VBN got) (S (VP (NNP orange) (VP (NN juice)))))) (. .)))
K/KD/KD5.xml,KD5RE012,34101,2,,A,1,3,I just need a bit of money to get a you know a bar of chocolate at work.,"[I/PRP, just/RB, need/VBP, a/DT, bit/NN, of/IN, money/NN, to/TO, get/VB, a/DT, you/PRP, know/VBP, a/DT, bar/NN, of/IN, chocolate/NN, at/IN, work/NN, ./.]",(ROOT (S (NP (PRP I)) (ADVP (RB just)) (VP (VBP need) (S (NP (NP (DT a) (NN bit)) (PP (IN of) (NP (NN money)))) (VP (TO to) (VP (VB get) (NP (DT a) (S (NP (PRP you)) (VP (VBP know) (NP (NP (DT a) (NN bar)) (PP (IN of) (NP (NN chocolate)))) (PP (IN at) (NP (NN work)))))))))) (. .)))
K/KD/KD5.xml,KD5RE012,34101,3,,B,2,1,Mm.,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
K/KD/KD5.xml,KD5RE012,34101,4,,A,3,1,Okay?,"[Okay/UH, ?/.]",(ROOT (INTJ (UH Okay) (. ?)))
K/KD/KD5.xml,KD5RE012,34101,5,,B,4,1,Mm.,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
K/KD/KD5.xml,KD5RE012,34101,6,,B,4,2,Yes but I I've got quite a lot  (()) ,"[Yes/UH, but/CC, I/PRP, I/PRP, 've/VBP, got/VBN, quite/RB, a/DT, lot/NN]",(ROOT (SINV (FRAG (INTJ (UH Yes))) (VP (ADVP (CC but)) (VP (ADVP (PRP I)) (VP (ADVP (PRP I)) (VBP 've) (VP (VBN got) (ADVP (RB quite)))))) (NP (DT a) (NN lot))))
K/KD/KD5.xml,KD5RE012,34101,7,,A,5,1,Oh there must be some surely.,"[Oh/UH, there/EX, must/MD, be/VB, some/DT, surely/RB, ./.]",(ROOT (S (S (INTJ (UH Oh)) (NP (EX there)) (VP (MD must) (VP (VB be) (NP (DT some)) (ADVP (RB surely))))) (. .)))
K/KD/KD5.xml,KD5RE012,34101,8,,B,6,1,Yeah   (()) --,[Yeah/UH],(ROOT (INTJ (UH Yeah)))
K/KD/KD5.xml,KD5RE012,34101,9,,B,6,2,--(()) ,[Yeah/UH],(ROOT (INTJ (UH Yeah)))
