27602,"(0,)",Doing a fine job !,"[Doing/VBG, a/DT, fine/JJ, job/NN, !/.]",(ROOT (S (VP (VBG Doing) (NP (DT a) (JJ fine) (NN job))) (. !)))
27602,"(1,)",Are you ?,"[Are/VBP, you/PRP, ?/.]",(ROOT (S (VP (VBP Are) (NP (PRP you))) (. ?)))
27602,"(2,)",What in ?,"[What/WDT, in/IN, ?/.]",(ROOT (FRAG (WHNP (WDT What)) (PP (IN in)) (. ?)))
27602,"(3,)",Polish !,"[Polish/JJ, !/.]",(ROOT (FRAG (ADJP (JJ Polish)) (. !)))
27602,"(4,)",Polish !,"[Polish/JJ, !/.]",(ROOT (FRAG (ADJP (JJ Polish)) (. !)))
27602,"(5,)",Polish !,"[Polish/JJ, !/.]",(ROOT (FRAG (ADJP (JJ Polish)) (. !)))
27602,"(6,)",Oh !,"[Oh/UH, !/.]",(ROOT (INTJ (UH Oh) (. !)))
27602,"(7,)","Must make a Friday , a Polish day .","[Must/MD, make/VB, a/DT, Friday/NNP, ,/,, a/DT, Polish/JJ, day/NN, ./.]","(ROOT (S (VP (MD Must) (VP (VB make) (NP (NP (DT a) (NNP Friday)) (, ,) (NP (DT a) (JJ Polish) (NN day))))) (. .)))"
27602,"(8,)",A what ?,"[A/DT, what/WP, ?/.]",(ROOT (S (VP (NP (DT A) (NP (WP what)))) (. ?)))
27602,"(9, 10)",A polish day .,"[A/DT, polish/JJ, day/NN, ./.]",(ROOT (NP (DT A) (JJ polish) (NN day) (. .)))
27602,"(11,)",Right .,"[Right/NN, ./.]",(ROOT (INTJ (NN Right) (. .)))
27602,"(12, 13)",Even just to  wipe the polish round,"[Even/RB, just/RB, to/TO, wipe/VB, the/DT, polish/JJ, round/NN]",(ROOT (ADJP (RB Even) (RB just) (S (VP (TO to) (VP (VB wipe) (NP (DT the) (JJ polish) (NN round)))))))
27602,"(14,)","No , it 's   , yes .","[No/DT, ,/,, it/PRP, 's/VBZ, ,/,, yes/UH, ./.]","(ROOT (S (NP (DT No)) (, ,) (NP (PRP it)) (VP (VBZ 's) (, ,) (NP (UH yes))) (. .)))"
27602,"(15,)","And then you , you","[And/CC, then/RB, you/PRP, ,/,, you/PRP]","(ROOT (FRAG (CC And) (S (VP (RB then) (NP (PRP you)) (, ,) (NP (PRP you))))))"
27602,"(16,)",You polish them .,"[You/PRP, polish/VBP, them/PRP, ./.]",(ROOT (S (NP (PRP You)) (VP (VBP polish) (NP (PRP them))) (. .)))
27602,"(17,)",Well you 're supposed,"[Well/RB, you/PRP, 're/VBP, supposed/VBN]",(ROOT (FRAG (ADVP (RB Well)) (NP (NP (PRP you)) (SBAR (S (VP (VBP 're) (VP (VBN supposed))))))))
27602,"(18,)",You went on Monday  ,"[You/PRP, went/VBD, on/IN, Monday/NNP]",(ROOT (S (NP (PRP You)) (VP (VBD went) (PP (IN on) (NP (NNP Monday))))))
27602,"(19,)",you 're supposed to give it a good bees waxing once a year !,"[you/PRP, 're/VBP, supposed/VBN, to/TO, give/VB, it/PRP, a/DT, good/JJ, bees/NNS, waxing/VBG, once/RB, a/DT, year/NN, !/.]",(ROOT (S (NP (PRP you)) (VP (VBP 're) (VP (VBN supposed) (S (VP (TO to) (VP (VB give) (NP (PRP it)) (NP (NP (DT a) (JJ good) (NNS bees)) (VP (VBG waxing) (ADVP (RB once)) (NP (DT a) (NN year))))))))) (. !)))
27602,"(20, 21)","The rest of the time you , you  you warm the polish rag and rub that over .","[The/DT, rest/NN, of/IN, the/DT, time/NN, you/PRP, ,/,, you/PRP, you/PRP, warm/VBP, the/DT, polish/JJ, rag/NN, and/CC, rub/VB, that/DT, over/IN, ./.]","(ROOT (S (NP (NP (DT The) (NN rest)) (PP (IN of) (NP (DT the) (NN time) (PRP you)))) (, ,) (S (NP (PRP you))) (NP (PRP you)) (VP (VP (VBP warm) (NP (DT the) (JJ polish) (NN rag))) (CC and) (VP (VB rub) (NP (DT that)) (PP (IN over)))) (. .)))"
27602,"(22,)","And then I , I ,","[And/CC, then/RB, I/PRP, ,/,, I/PRP, ,/,]","(ROOT (S (CC And) (ADVP (RB then)) (VP (PRP I) (, ,) (NP (PRP I))) (, ,)))"
27602,"(23,)",Have you done the radiator ?,"[Have/VB, you/PRP, done/VBN, the/DT, radiator/NN, ?/.]",(ROOT (SQ (VP (VB Have) (S (NP (PRP you)) (VP (VBN done) (NP (DT the) (NN radiator))))) (. ?)))
27602,"(24, 25, 26)",hard rubbing  is the  secret of it all .,"[hard/JJ, rubbing/NN, is/VBZ, the/DT, secret/NN, of/IN, it/PRP, all/DT, ./.]",(ROOT (S (NP (JJ hard) (NN rubbing)) (VP (VBZ is) (NP (NP (DT the) (NN secret)) (PP (IN of) (NP (PRP it) (DT all))))) (. .)))
