37702,"(0, 1, 2)","But I would of worked out to  I had four left , I had to increase in one  which would have left   .","[But/CC, I/PRP, would/MD, of/IN, worked/VBN, out/RP, to/TO, I/PRP, had/VBD, four/CD, left/VBD, ,/,, I/PRP, had/VBD, to/TO, increase/VB, in/IN, one/CD, which/WDT, would/MD, have/VB, left/VBN, ./.]","(ROOT (S (S (CC But) (NP (PRP I)) (VP (MD would) (PP (IN of)) (VP (VBN worked) (PRT (RP out)) (PP (TO to) (S (NP (PRP I)) (VP (VBD had) (NP (NP (CD four)) (SBAR (S (VP (VBD left))))))))))) (, ,) (NP (PRP I)) (VP (VBD had) (S (VP (TO to) (VP (VB increase) (PP (IN in) (NP (NP (CD one)) (SBAR (WHNP (WDT which)) (S (VP (MD would) (VP (VB have) (VP (VBN left)))))))))))) (. .)))"
37702,"(3, 4, 5, 6)","Yeah , and then you had three  and then you  made one and  to there , and that would have been right .","[Yeah/UH, ,/,, and/CC, then/RB, you/PRP, had/VBD, three/CD, and/CC, then/RB, you/PRP, made/VBD, one/CD, and/CC, to/TO, there/RB, ,/,, and/CC, that/DT, would/MD, have/VB, been/VBN, right/RB, ./.]","(ROOT (S (S (INTJ (UH Yeah)) (, ,) (S (CC and) (ADVP (RB then)) (NP (PRP you)) (VP (VBD had) (NP (CD three)))) (CC and) (S (ADVP (RB then)) (NP (PRP you)) (VP (VP (VBD made) (NP (CD one))) (CC and) (VP (PP (TO to) (NP (RB there))))))) (, ,) (CC and) (S (NP (DT that)) (VP (MD would) (VP (VB have) (VP (VBN been) (ADJP (RB right)))))) (. .)))"
37702,"(7,)",Wait a minute .,"[Wait/VB, a/DT, minute/NN, ./.]",(ROOT (S (VP (VB Wait) (NP (DT a) (NN minute))) (. .)))
37702,"(8, 9, 10)","Er     right , so what 's going up here ?","[Er/NN, right/NN, ,/,, so/RB, what/WP, 's/VBZ, going/VBG, up/RB, here/RB, ?/.]","(ROOT (FRAG (NP (NP (NN Er) (NN right)) (, ,) (SBAR (RB so) (WHNP (WP what)) (S (VP (VBZ 's) (VP (VBG going) (ADVP (RB up) (RB here))))))) (. ?)))"
37702,"(11, 12)","One , two , three , four  so that 's makes eighty five .","[One/CD, ,/,, two/CD, ,/,, three/CD, ,/,, four/CD, so/IN, that/DT, 's/VBZ, makes/VBZ, eighty/CD, five/CD, ./.]","(ROOT (NP (NP (CD One)) (, ,) (NP (CD two)) (, ,) (NP (CD three)) (, ,) (NP (NP (CD four)) (SBAR (IN so) (S (NP (DT that)) (VP (VBZ 's) (VP (VBZ makes) (NP (CD eighty) (CD five))))))) (. .)))"
37702,"(13,)","No , it 's not !","[No/DT, ,/,, it/PRP, 's/VBZ, not/RB, !/.]","(ROOT (S (NP (DT No)) (, ,) (NP (PRP it)) (VP (VBZ 's) (RB not)) (. !)))"
37702,"(14,)","One , two , three","[One/CD, ,/,, two/CD, ,/,, three/CD]","(ROOT (FRAG (NP (NP (CD One)) (, ,) (NP (CD two)) (, ,) (NP (CD three)))))"
37702,"(15,)", Oh well   !,"[Oh/UH, well/UH, !/.]",(ROOT (FRAG (UH Oh) (INTJ (UH well)) (. !)))
37702,"(16,)",Nine o 'clock .,"[Nine/CD, o/NN, 'clock/NN, ./.]",(ROOT (NP (NP (CD Nine) (NN o)) (NP (NN 'clock)) (. .)))
37702,"(17,)","What was on telly , something I wanted .","[What/WP, was/VBD, on/IN, telly/NNP, ,/,, something/NN, I/PRP, wanted/VBD, ./.]","(ROOT (S (SBAR (WHNP (WP What)) (S (VP (VBD was) (PP (IN on) (NP (NP (NNP telly)) (, ,) (NP (NN something))))))) (NP (PRP I)) (VP (VBD wanted)) (. .)))"
37702,"(18,)",That 's it .,"[That/DT, 's/VBZ, it/PRP, ./.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (PRP it))) (. .)))
37702,"(19, 20)", Eighty .,"[Eighty/CD, ./.]",(ROOT (FRAG (NP (CD Eighty)) (. .)))
37702,"(21,)",Well that 's eighty three now cos I 'm   .,"[Well/RB, that/DT, 's/VBZ, eighty/CD, three/CD, now/RB, cos/NN, I/PRP, 'm/VBP, ./.]",(ROOT (S (ADVP (RB Well)) (NP (DT that)) (VP (VBZ 's) (ADVP (NP (CD eighty) (CD three)) (RB now)) (NP (NP (NN cos)) (SBAR (S (NP (PRP I)) (VP (VBP 'm)))))) (. .)))
37702,"(22,)","So I 've , I 've gotta back to six haven 't I ?","[So/IN, I/PRP, 've/VBP, ,/,, I/PRP, 've/VBP, gotta/NNP, back/RB, to/TO, six/CD, haven/NN, 't/PRP, I/PRP, ?/.]","(ROOT (S (IN So) (NP (PRP I)) (VP (VBP 've) (PRN (, ,) (S (NP (PRP I)) (VP (VBP 've) (S (NP (NNP gotta)) (ADVP (RB back) (PP (TO to) (NP (CD six) (NN haven)))) (NP (PRP 't)))))) (NP (PRP I))) (. ?)))"
37702,"(23,)",Gotta make eighty six ain 't I ?,"[Gotta/NNP, make/NNP, eighty/CD, six/CD, ain/NNP, 't/PRP, I/PRP, ?/.]",(ROOT (NP (NP (NNP Gotta) (NNP make)) (NP (NP (QP (CD eighty) (CD six))) (NP (NNP ain))) (NP (NP (PRP 't)) (NP (PRP I))) (. ?)))
