70202,"(0,)",Was that Dorothy ?,"[Was/VBD, that/IN, Dorothy/NNP, ?/.]",(ROOT (S (VP (VBD Was) (PP (IN that) (NP (NNP Dorothy)))) (. ?)))
70202,"(1,)","That was Dorothy , yes","[That/DT, was/VBD, Dorothy/NNP, ,/,, yes/NNP]","(ROOT (S (NP (DT That)) (VP (VBD was) (NP (NP (NNP Dorothy)) (, ,) (NP (NNP yes))))))"
70202,"(2,)",so she 's got about twenty left,"[so/IN, she/PRP, 's/VBZ, got/VBN, about/IN, twenty/CD, left/VBD]",(ROOT (SBAR (IN so) (S (NP (PRP she)) (VP (VBZ 's) (VP (VBN got) (PP (IN about) (NP (NP (CD twenty)) (VP (VBD left)))))))))
70202,"(3,)","she 's got about twenty left , yes","[she/PRP, 's/VBZ, got/VBN, about/IN, twenty/CD, left/VBD, ,/,, yes/UH]","(ROOT (S (NP (PRP she)) (VP (VBZ 's) (VP (VBN got) (PP (IN about) (NP (NP (CD twenty)) (VP (VBD left) (, ,) (NP (UH yes)))))))))"
70202,"(4,)","oh , right , erm , look I 'll have to go and get changed , or I 'm gonna be late","[oh/UH, ,/,, right/RB, ,/,, erm/NN, ,/,, look/VBP, I/PRP, 'll/MD, have/VB, to/TO, go/VB, and/CC, get/VB, changed/VBN, ,/,, or/CC, I/PRP, 'm/VBP, gonna/NN, be/VB, late/RB]","(ROOT (S (S (INTJ (UH oh)) (, ,) (ADJP (ADJP (RB right)) (PRN (, ,) (NP (NN erm)) (, ,))) (VP (VBP look) (SBAR (S (NP (PRP I)) (VP (MD 'll) (VP (VB have) (S (VP (TO to) (VP (VP (VB go)) (CC and) (VP (VB get) (VP (VBN changed)))))))))))) (, ,) (CC or) (S (NP (PRP I)) (VP (VBP 'm) (S (NP (NN gonna)) (VP (VB be) (ADVP (RB late))))))))"
70202,"(5,)",I 've been to,"[I/PRP, 've/VBP, been/VBN, to/TO]",(ROOT (S (NP (PRP I)) (VP (VBP 've) (VP (VBN been) (PP (TO to))))))
70202,"(6,)",oh where 's that digestive biscuit I was gonna eat,"[oh/UH, where/WRB, 's/POS, that/WDT, digestive/JJ, biscuit/NN, I/PRP, was/VBD, gonna/NNP, eat/VB]",(ROOT (S (VP (UH oh) (SBAR (WHADVP (WRB where)) (S (S (S (NP (POS 's))) (NP (WDT that)) (ADVP (JJ digestive) (NN biscuit)) (VP (ADVP (PRP I)) (VP (VBD was)))) (S (NP (NNP gonna)) (S (VP (VB eat)))))))))
70202,"(7,)",I 've been to   house,"[I/PRP, 've/VBP, been/VBN, to/TO, house/VB]",(ROOT (S (NP (PRP I)) (VP (VBP 've) (VP (VBN been) (S (VP (TO to) (VP (VB house))))))))
70202,"(8,)",oh yeah,"[oh/UH, yeah/UH]",(ROOT (INTJ (UH oh) (UH yeah)))
70202,"(9,)",I 've been to take the registers there to   hill,"[I/PRP, 've/VBP, been/VBN, to/TO, take/VB, the/DT, registers/VBZ, there/EX, to/TO, hill/NNP]",(ROOT (S (NP (PRP I)) (VP (VBP 've) (VP (VBN been) (S (VP (TO to) (VP (VB take) (SBAR (S (NP (DT the)) (VP (VBZ registers) (NP (EX there)) (PP (TO to) (NP (NNP hill)))))))))))))
70202,"(10,)","mm , mm","[mm/NN, ,/,, mm/NN]","(ROOT (NP (NP (NN mm)) (, ,) (NP (NN mm))))"
