62315,"(0,)",What 's these R F S then ?,"[What/WP, 's/VBZ, these/DT, R/NN, F/NN, S/NNS, then/RB, ?/.]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VBZ 's) (NP (NP (DT these) (NN R) (NN F) (NNS S)) (ADVP (RB then)))) (. ?)))
62315,"(1,)",Oh !,"[Oh/UH, !/.]",(ROOT (INTJ (UH Oh) (. !)))
62315,"(2,)",It 's an engineering firm at Doncaster .,"[It/PRP, 's/VBZ, an/DT, engineering/NN, firm/NN, at/IN, Doncaster/NNP, ./.]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (NP (NP (DT an) (NN engineering) (NN firm)) (PP (IN at) (NP (NNP Doncaster))))) (. .)))
62315,"(3,)",Hello you !,"[Hello/UH, you/PRP, !/.]",(ROOT (S (VP (NP (INTJ (UH Hello)) (NP (PRP you)))) (. !)))
62315,"(4,)",Aye .,"[Aye/NNP, ./.]",(ROOT (FRAG (NP (NNP Aye)) (. .)))
62315,"(5,)",Eh eh eh eh !,"[Eh/UH, eh/UH, eh/UH, eh/UH, !/.]",(ROOT (INTJ (INTJ (UH Eh) (UH eh)) (UH eh) (INTJ (UH eh) (. !))))
62315,"(6,)",She got quite worried when you went out before .,"[She/PRP, got/VBD, quite/RB, worried/VBN, when/WRB, you/PRP, went/VBD, out/RP, before/IN, ./.]",(ROOT (S (NP (PRP She)) (VP (VBD got) (ADJP (RB quite) (VBN worried)) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBD went) (PRT (RP out)) (PP (IN before)))))) (. .)))
62315,"(7,)",Thought she were gonna cry .,"[Thought/VBN, she/PRP, were/VBD, gonna/JJ, cry/NN, ./.]",(ROOT (S (S (VP (VBN Thought))) (NP (PRP she)) (VP (VBD were) (NP (JJ gonna) (NN cry))) (. .)))
62315,"(8,)",,[],X
62315,"(9,)","So are you , happy really though that now you 've spoken to him maybe it 'll be better ?","[So/RB, are/VBP, you/PRP, ,/,, happy/JJ, really/RB, though/IN, that/DT, now/RB, you/PRP, 've/VBP, spoken/VBN, to/TO, him/PRP, maybe/RB, it/PRP, 'll/MD, be/VB, better/RBR, ?/.]","(ROOT (SINV (ADVP (RB So)) (VBP are) (NP (NP (PRP you)) (, ,) (ADJP (JJ happy) (RB really) (SBAR (IN though) (S (SBAR (WHNP (WHNP (DT that)) (ADVP (RB now))) (S (NP (PRP you)) (VP (VBP 've) (VP (VBN spoken) (PP (TO to) (NP (PRP him))))))) (ADVP (RB maybe)) (NP (PRP it)) (VP (MD 'll) (VP (VB be) (ADJP (RBR better)))))))) (. ?)))"
62315,"(10,)","Well I hope so , yeah .","[Well/RB, I/PRP, hope/VBP, so/RB, ,/,, yeah/UH, ./.]","(ROOT (S (S (INTJ (RB Well)) (NP (PRP I)) (VP (VBP hope) (ADVP (RB so)))) (, ,) (FRAG (INTJ (UH yeah))) (. .)))"
62315,"(11,)",Cos we can always drop them in the shit !,"[Cos/NN, we/PRP, can/MD, always/RB, drop/VB, them/PRP, in/IN, the/DT, shit/NN, !/.]",(ROOT (FRAG (ADJP (NN Cos)) (S (NP (PRP we)) (VP (MD can) (ADVP (RB always)) (VP (VB drop) (NP (PRP them)) (PP (IN in) (NP (DT the) (NN shit)))))) (. !)))
62315,"(12,)",No doubt about that .,"[No/DT, doubt/NN, about/IN, that/DT, ./.]",(ROOT (NP (NP (DT No) (NN doubt)) (PP (IN about) (NP (DT that))) (. .)))
62315,"(13,)",Only thing,"[Only/RB, thing/NN]",(ROOT (FRAG (ADVP (RB Only)) (NP (NN thing))))
62315,"(14,)",Yeah but,"[Yeah/UH, but/CC]",(ROOT (INTJ (UH Yeah) (CC but)))
62315,"(15, 16)",I need to do is when lifted the coaches and take the axles out is just er  pull my men out .,"[I/PRP, need/VBP, to/TO, do/VB, is/VBZ, when/WRB, lifted/VBN, the/DT, coaches/NNS, and/CC, take/VB, the/DT, axles/NNS, out/RP, is/VBZ, just/RB, er/NN, pull/VB, my/PRP$, men/NNS, out/RP, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP need) (SBAR (S (S (VP (TO to) (VP (VP (VB do) (SBAR (S (VP (VBZ is) (SBAR (WHADVP (WRB when)) (S (VP (VBN lifted) (NP (DT the) (NNS coaches))))))))) (CC and) (VP (VB take) (NP (DT the) (NNS axles)) (PRT (RP out)))))) (VP (VBZ is) (NP (RB just) (NN er) (S (VP (VB pull) (NP (PRP$ my) (NNS men)) (PRT (RP out))))))))) (. .)))
62315,"(17, 18)","Cos I 'm certainly not holding back on bloody er  jobs now , gotta get charged   .","[Cos/NNP, I/PRP, 'm/VBP, certainly/RB, not/RB, holding/VBG, back/RB, on/IN, bloody/JJ, er/NN, jobs/NNS, now/RB, ,/,, gotta/NNP, get/VB, charged/VBN, ./.]","(ROOT (S (NP (NNP Cos)) (PRN (S (NP (PRP I)) (VP (VBP 'm) (ADVP (RB certainly) (RB not)) (VP (VBG holding) (ADVP (RB back)) (PP (IN on) (NP (JJ bloody) (NN er) (NNS jobs))) (ADVP (RB now))))) (, ,)) (NP (NNP gotta)) (VP (VB get) (VP (VBN charged))) (. .)))"
62315,"(19, 20)",Have to send them an extra invoice for this extra  our time .,"[Have/VB, to/TO, send/VB, them/PRP, an/DT, extra/JJ, invoice/NN, for/IN, this/DT, extra/JJ, our/PRP$, time/NN, ./.]",(ROOT (S (VP (VB Have) (S (VP (TO to) (VP (VB send) (NP (PRP them)) (NP (NP (DT an) (JJ extra) (NN invoice)) (PP (IN for) (NP (NP (DT this) (JJ extra)) (NP (PRP$ our) (NN time))))))))) (. .)))
62315,"(21,)",  !,[!/.],(ROOT (NP (. !)))
62315,"(22,)",Oh yeah !,"[Oh/UH, yeah/UH, !/.]",(ROOT (S (INTJ (UH Oh)) (VP (UH yeah)) (. !)))
62315,"(23,)",Bingo !,"[Bingo/NNP, !/.]",(ROOT (FRAG (NP (NNP Bingo)) (. !)))
62315,"(24,)", Good afternoon !,"[Good/JJ, afternoon/NN, !/.]",(ROOT (INTJ (JJ Good) (NN afternoon) (. !)))
62315,"(25,)",It 's Neil at Lancaster and Carriage and Wagon .,"[It/PRP, 's/VBZ, Neil/NNP, at/IN, Lancaster/NNP, and/CC, Carriage/NN, and/CC, Wagon/NN, ./.]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (NP (NP (NNP Neil)) (PP (IN at) (NP (NNP Lancaster) (CC and) (NN Carriage) (CC and) (NN Wagon))))) (. .)))
