40805,"(0,)",isn 't it ?,"[isn/NNP, 't/PRP, it/PRP, ?/.]",(ROOT (NP (NP (NNP isn)) (NP (NP (PRP 't)) (NP (PRP it))) (. ?)))
40805,"(1, 2)",Unless that plate comes off mm  somebody 's hit that with a soldering iron at some stage .,"[Unless/IN, that/DT, plate/NN, comes/VBZ, off/RP, mm/NN, somebody/NN, 's/POS, hit/NN, that/WDT, with/IN, a/DT, soldering/JJ, iron/NN, at/IN, some/DT, stage/NN, ./.]",(ROOT (FRAG (SBAR (IN Unless) (S (NP (DT that) (NN plate)) (VP (VBZ comes) (PRT (RP off)) (NP (NP (NP (NN mm) (NN somebody) (POS 's)) (NN hit)) (SBAR (WHNP (WDT that)) (S (PP (IN with) (NP (NP (DT a) (JJ soldering) (NN iron)) (PP (IN at) (NP (DT some) (NN stage))))))))))) (. .)))
40805,"(3,)",Mm,[Mm/NN],(ROOT (NP (NN Mm)))
40805,"(4,)", I mean there 's no  ,"[I/PRP, mean/VBP, there/EX, 's/VBZ, no/DT]",(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (EX there)) (VP (VBZ 's) (NP (DT no))))))))
40805,"(5,)","Yeah , I know you can feel those there , they 're just more or less flush with the heads .","[Yeah/UH, ,/,, I/PRP, know/VBP, you/PRP, can/MD, feel/VB, those/DT, there/EX, ,/,, they/PRP, 're/VBP, just/RB, more/RBR, or/CC, less/RBR, flush/JJ, with/IN, the/DT, heads/NNS, ./.]","(ROOT (S (S (INTJ (UH Yeah)) (, ,) (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (PRP you)) (VP (MD can) (VP (VB feel) (S (NP (DT those)) (NP (EX there))))))))) (, ,) (NP (PRP they)) (VP (VBP 're) (ADVP (RB just)) (ADJP (ADVP (RBR more) (CC or) (RBR less)) (JJ flush) (PP (IN with) (NP (DT the) (NNS heads))))) (. .)))"
40805,"(6,)",Perhaps   we could try another one and see er,"[Perhaps/RB, we/PRP, could/MD, try/VB, another/DT, one/CD, and/CC, see/VB, er/NN]",(ROOT (ADJP (RB Perhaps) (SBAR (S (NP (PRP we)) (VP (MD could) (VP (VP (VB try) (NP (DT another) (CD one))) (CC and) (VP (VB see) (NP (NN er)))))))))
40805,"(7,)",Are all heads the same  ,"[Are/VBP, all/DT, heads/NNS, the/DT, same/JJ]",(ROOT (SINV (VP (VBP Are) (NP (DT all) (NNS heads))) (NP (DT the) (JJ same))))
40805,"(8,)",,[],X
40805,"(9,)",,[],X
40805,"(10,)","Well it 's the later type innit , that one ?","[Well/RB, it/PRP, 's/VBZ, the/DT, later/JJ, type/NN, innit/NN, ,/,, that/IN, one/CD, ?/.]","(ROOT (S (ADVP (RB Well)) (NP (PRP it)) (VP (VBZ 's) (NP (DT the) (JJ later) (NN type) (NN innit)) (, ,) (ADVP (IN that) (NP (CD one)))) (. ?)))"
