3504,"(0,)","Hello tape ,","[Hello/UH, tape/NN, ,/,]","(ROOT (FRAG (PP (UH Hello) (NP (NN tape))) (, ,)))"
3504,"(1,)",,[],X
3504,"(2,)",What ?,"[What/WDT, ?/.]",(ROOT (FRAG (WHNP (WDT What)) (. ?)))
3504,"(3,)",One does forget it .,"[One/CD, does/VBZ, forget/VB, it/PRP, ./.]",(ROOT (S (NP (CD One)) (VP (VBZ does) (VP (VB forget) (NP (PRP it)))) (. .)))
3504,"(4,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
3504,"(5,)",No .,"[No/DT, ./.]",(ROOT (FRAG (NP (DT No)) (. .)))
3504,"(6,)","Yes , try to .","[Yes/UH, ,/,, try/VB, to/TO, ./.]","(ROOT (S (INTJ (UH Yes)) (, ,) (VP (VB try) (PP (TO to))) (. .)))"
3504,"(7, 8)","It very funny   cos I want to , yeah , because I  I had such a study on , on   United States many rating systems or   , it 'll   into those houses like   .","[It/PRP, very/RB, funny/JJ, cos/NN, I/PRP, want/VBP, to/TO, ,/,, yeah/UH, ,/,, because/IN, I/PRP, I/PRP, had/VBD, such/JJ, a/DT, study/NN, on/IN, ,/,, on/IN, United/NNP, States/NNPS, many/JJ, rating/NN, systems/NNS, or/CC, ,/,, it/PRP, 'll/MD, into/IN, those/DT, houses/NNS, like/IN, ./.]","(ROOT (S (S (NP (PRP It)) (ADJP (RB very) (JJ funny) (SBAR (S (NP (NP (NN cos)) (SBAR (S (NP (PRP I)) (VP (VBP want) (PP (TO to)))))) (VP (PRN (, ,) (INTJ (UH yeah)) (, ,)) (PP (IN because) (NP (PRP I)))))))) (NP (PRP I)) (VP (VBD had) (NP (JJ such) (DT a) (NN study)) (PP (IN on)) (, ,) (PP (IN on) (NP (NP (NNP United) (NNPS States)) (UCP (NP (JJ many) (NN rating) (NNS systems)) (CC or) (PRN (, ,) (S (NP (PRP it)) (VP (MD 'll) (PP (IN into) (NP (DT those) (NNS houses)))))) (PP (IN like)))))) (. .)))"
3504,"(9,)","Yes , I know him .","[Yes/UH, ,/,, I/PRP, know/VBP, him/PRP, ./.]","(ROOT (S (INTJ (UH Yes)) (, ,) (NP (PRP I)) (VP (VBP know) (NP (PRP him))) (. .)))"
3504,"(10,)","And so I , you know some people would have , why I don 't know whether they   on they 're television so you can   and check out what , what they want , whatever .","[And/CC, so/IN, I/PRP, ,/,, you/PRP, know/VBP, some/DT, people/NNS, would/MD, have/VB, ,/,, why/WRB, I/PRP, don/VBP, 't/PRP, know/VB, whether/IN, they/PRP, on/IN, they/PRP, 're/VBP, television/NN, so/RB, you/PRP, can/MD, and/CC, check/VB, out/RP, what/WP, ,/,, what/WP, they/PRP, want/VBP, ,/,, whatever/WDT, ./.]","(ROOT (S (S (CC And) (SBAR (SBAR (IN so) (S (S (NP (PRP I))) (, ,) (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (DT some) (NNS people)) (VP (MD would) (VP (VB have)))))))) (, ,) (SBAR (WHADVP (WRB why)) (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VP (VB know) (SBAR (IN whether) (S (NP (NP (PRP they)) (PP (IN on) (NP (PRP they)))) (VP (VBP 're) (NP (NN television)) (SBAR (RB so) (S (NP (PRP you)) (VP (MD can)))))))) (CC and) (VP (VB check) (PRT (RP out)) (NP (WP what))))))))) (, ,) (X (WP what)) (NP (PRP they)) (VP (VBP want))) (, ,) (FRAG (WHNP (WDT whatever))) (. .)))"
