swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw07utt/sw_0761_3340.utt,3/sw3340,3340,0,qo,A,1,1,"{D So, } Beverly, what do you think about drug testing? /","So/RB ,/, Beverly/NNP ,/, what/WP do/VBP you/PRP think/VB about/IN drug/NN testing/NN ?/.","(ROOT (SBARQ (FRAG (INTJ (RB So)) (, ,) (NP (NNP Beverly))) (, ,) (SBARQ (WHNP (WP what)) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (PP (IN about) (NP (NN drug) (NN testing)))))) (. ?)))",
sw07utt/sw_0761_3340.utt,3/sw3340,3340,1,sv,B,2,1,"I think in some professions it's, {F uh, } essential.   Things like pilots and things that involve the safety of other people particularly. /","I/PRP think/VBP in/IN some/DT professions/NNS it/PRP 's/BES ,/, uh/UH ,/, essential/JJ ./. Things/NNS like/IN pilots/NNS and/CC things/NNS that/WDT involve/VBP the/DT safety/NN of/IN other/JJ people/NNS particularly/RB ./.","(ROOT (S (NP (PRP I)) (VP (VBP think) (PP (IN in) (NP (NP (NP (NP (DT some) (NNS professions)) (SBAR (S (NP (PRP it)) (VP (BES 's) (, ,) (INTJ (UH uh)) (, ,) (ADJP (JJ essential)))))) (. .) (NP (NP (NNS Things)) (PP (IN like) (NP (NNS pilots))))) (CC and) (NP (NP (NNS things)) (SBAR (WHNP (WDT that)) (S (VP (VBP involve) (NP (NP (DT the) (NN safety)) (PP (IN of) (NP (JJ other) (NNS people)))))))))) (ADVP (RB particularly))) (. .)))",
sw07utt/sw_0761_3340.utt,3/sw3340,3340,2,aa,A,3,1,Yeah.  /,Yeah/UH ./.,(ROOT (INTJ (UH Yeah) (. .))),
sw07utt/sw_0761_3340.utt,3/sw3340,3340,3,sd,A,3,2,"[ We've, + we ] got a lot of mistakes  here, {F uh, } in the Maryland, Baltimore area because of, {F uh, } train conductors --","We/PRP 've/VBP ,/, we/PRP got/VBD a/DT lot/NN of/IN mistakes/NNS here/RB ,/, uh/UH ,/, in/IN the/DT Maryland/NNP ,/, Baltimore/NNP area/NN because/IN of/IN ,/, uh/UH ,/, train/NN conductors/NNS --/:","(ROOT (S (NP (PRP We)) (VP (VBP 've) (PRN (, ,) (S (NP (PRP we)) (VP (VBD got) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS mistakes)))) (ADVP (RB here)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (PP (IN in) (NP (NP (DT the) (NNP Maryland) (, ,) (NNP Baltimore) (NN area)) (PP (IN because)) (PP (IN of) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NN train) (NNS conductors)))))))) (NP (UH uh)) (, ,) (PP (IN on) (NP (NNS drugs)))) (. .)))",
sw07utt/sw_0761_3340.utt,3/sw3340,3340,4,b,B,4,1,Uh-huh. /,Uh-huh/UH ./.,(ROOT (INTJ (UH Uh-huh) (. .))),
sw07utt/sw_0761_3340.utt,3/sw3340,3340,5,+,A,5,1,"-- {F uh, } on drugs.  /","--/: uh/UH ,/, on/IN drugs/NNS ./.","(ROOT (S (NP (PRP We)) (VP (VBP 've) (PRN (, ,) (S (NP (PRP we)) (VP (VBD got) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS mistakes)))) (ADVP (RB here)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (PP (IN in) (NP (NP (DT the) (NNP Maryland) (, ,) (NNP Baltimore) (NN area)) (PP (IN because)) (PP (IN of) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NN train) (NNS conductors)))))))) (NP (UH uh)) (, ,) (PP (IN on) (NP (NNS drugs)))) (. .)))",
sw07utt/sw_0761_3340.utt,3/sw3340,3340,6,sd,A,5,2,"I think we've had two  terrible accidents here recently,  /","I/PRP think/VBP we/PRP 've/VBP had/VBN two/CD terrible/JJ accidents/NNS here/RB recently/RB ,/,","(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP we)) (VP (VBP 've) (VP (VBN had) (NP (CD two) (JJ terrible) (NNS accidents)) (ADVP (RB here) (RB recently))))))) (, ,)))",
sw07utt/sw_0761_3340.utt,3/sw3340,3340,7,sd,A,5,3,"{C and } also on, {F um, } just like, I bet you  within five days [ a truck where the, + {F uh, }   a dump truck, where ] the driver was, {F uh, } high on marijuana, - /","and/CC also/RB on/IN ,/, um/UH ,/, just/RB like/IN ,/, I/PRP bet/VBP you/PRP within/IN five/CD days/NNS a/DT truck/NN where/WRB the/DT ,/, uh/UH ,/, a/DT dump/NN truck/NN ,/, where/WRB the/DT driver/NN was/VBD ,/, uh/UH ,/, high/JJ on/IN marijuana/NN ,/,","(ROOT (FRAG (CC and) (ADVP (ADVP (RB also)) (SBAR (IN on) (, ,) (S (FRAG (INTJ (UH um)) (, ,) (PP (ADVP (RB just)) (IN like))) (, ,) (NP (PRP I)) (VP (VBP bet) (NP (PRP you)) (PP (IN within) (NP (NP (CD five) (NNS days)) (PP (NP (NP (DT a) (NN truck)) (FRAG (WHADVP (WRB where)))) (NP (NP (ADJP (DT the) (PRN (, ,) (INTJ (UH uh)) (, ,))) (DT a) (NN dump) (NN truck)) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (DT the) (NN driver)) (VP (VBD was) (, ,) (INTJ (UH uh)) (, ,) (ADJP (JJ high) (PP (IN on) (NP (NN marijuana))))))))) (, ,)))))))))",
sw07utt/sw_0761_3340.utt,3/sw3340,3340,8,sd,A,5,4,"I guess he smoked marijuana for lunch   and, {F uh, } drove his truck up the back of two small cars in a tunnel that goes underneath [ the, + ] {F uh, }  a river that leads into the Chesapeake Bay -- /","I/PRP guess/VBP he/PRP smoked/VBD marijuana/NN for/IN lunch/NN and/CC ,/, uh/UH ,/, drove/VBD his/PRP$ truck/NN up/IN the/DT back/RB of/IN two/CD small/JJ cars/NNS in/IN a/DT tunnel/NN that/WDT goes/VBZ underneath/IN the/DT ,/, uh/UH ,/, a/DT river/NN that/WDT leads/VBZ into/IN the/DT Chesapeake/NNP Bay/NNP --/:","(ROOT (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP he)) (VP (VP (VBD smoked) (NP (NN marijuana)) (PP (IN for) (NP (NN lunch)))) (CC and) (PRN (, ,) (INTJ (UH uh)) (, ,)) (VP (VBD drove) (NP (PRP$ his) (NN truck)) (ADVP (IN up) (DT the)) (PP (ADVP (RB back)) (IN of) (NP (NP (CD two) (JJ small) (NNS cars)) (PP (IN in) (NP (NP (DT a) (NN tunnel)) (SBAR (WHNP (WDT that)) (S (VP (VBZ goes) (PP (IN underneath) (NP (NP (ADJP (DT the) (PRN (, ,) (INTJ (UH uh)) (, ,))) (DT a) (NN river)) (SBAR (WHNP (WDT that)) (S (VP (VBZ leads) (PP (IN into) (NP (DT the) (NNP Chesapeake) (NNP Bay))))))))))))))))))))))",
sw07utt/sw_0761_3340.utt,3/sw3340,3340,9,ba,B,6,1,"{F Oh, } my goodness, /","Oh/UH ,/, my/PRP$ goodness/UH ,/,","(ROOT (FRAG (PP (NP (UH Oh)) (PP (, ,) (NP (NP (PRP$ my)) (FRAG (INTJ (UH goodness)))))) (, ,)))",
