swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw10utt/sw_1004_2562.utt,2/sw2562,2562,0,o,A,1,1,"All right,  /","All/RB right/JJ ,/,","(ROOT (FRAG (S (ADJP (ADJP (RB All)) (PRN (PP (JJ right)) (, ,))))))",
sw10utt/sw_1004_2562.utt,2/sw2562,2562,1,qy,A,1,2,do you do garden work? /,do/VBP you/PRP do/VB garden/NN work/NN ?/.,(ROOT (SQ (VBP do) (NP (PRP you)) (VP (VB do) (NP (NN garden) (NN work))) (. ?))),
sw10utt/sw_1004_2562.utt,2/sw2562,2562,2,na,B,2,1,<Laughter>  As little as possible.  /,As/RB little/JJ as/IN possible/JJ ./.,(ROOT (NP (NP (QP (RB As) (JJ little))) (PP (IN as) (ADJP (JJ possible))) (. .))),
sw10utt/sw_1004_2562.utt,2/sw2562,2562,3,x,A,3,1,<Laughter>.,,X,
sw10utt/sw_1004_2562.utt,2/sw2562,2562,4,sd,B,4,1,I'm a college student -- /,I/PRP 'm/VBP a/DT college/NN student/NN --/:,(ROOT (S (NP (PRP I)) (VP (VBP 'm) (NP (DT a) (NN college) (NN student))))),
sw10utt/sw_1004_2562.utt,2/sw2562,2562,5,b,A,5,1,Uh-huh. /,Uh-huh/UH ./.,(ROOT (INTJ (UH Uh-huh) (. .))),
sw10utt/sw_1004_2562.utt,2/sw2562,2562,6,sd,B,6,1,"-- {C so } if I do any garden work, it's only when I go home in the Summer. /","--/: so/RB if/IN I/PRP do/VBP any/DT garden/NN work/NN ,/, it/PRP 's/BES only/RB when/WRB I/PRP go/VBP home/RB in/IN the/DT Summer/NN ./.","(ROOT (S (SBAR (RB so) (IN if) (S (NP (PRP I)) (VP (VBP do) (NP (DT any) (NN garden) (NN work))))) (, ,) (NP (PRP it)) (VP (BES 's) (ADVP (RB only)) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBP go) (ADVP (RB home)) (PP (IN in) (NP (DT the) (NN Summer))))))) (. .)))",
sw10utt/sw_1004_2562.utt,2/sw2562,2562,7,qw,A,7,1,"{F Oh, } where do you go to college? /","Oh/UH ,/, where/WRB do/VBP you/PRP go/VB to/IN college/NN ?/.","(ROOT (SBARQ (WHADVP (UH Oh)) (, ,) (WHADVP (WRB where)) (SQ (VBP do) (NP (PRP you)) (VP (VB go) (PP (IN to) (NP (NN college))))) (. ?)))",
sw10utt/sw_1004_2562.utt,2/sw2562,2562,8,o@,B,8,1,((   )) .,MUMBLEx/XX ./.,,
sw10utt/sw_1004_2562.utt,2/sw2562,2562,9,qw,A,9,1,Where's that? /,Where/WRB 's/BES that/DT ?/.,(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (BES 's) (NP (DT that))) (. ?))),
