swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw08utt/sw_0826_2981.utt,2/sw2981,2981,0,o,A,1,1,"Okay,  /","Okay/UH ,/,","(ROOT (FRAG (PP (UH Okay)) (, ,)))",
sw08utt/sw_0826_2981.utt,2/sw2981,2981,1,qw,A,1,2,"{D well, } what's your opinion about capital punishment? /","well/UH ,/, what/WP 's/BES your/PRP$ opinion/NN about/IN capital/NN punishment/NN ?/.","(ROOT (S (INTJ (UH well)) (, ,) (NP (WP what)) (VP (BES 's) (NP (PRP$ your) (NN opinion)) (PP (IN about) (NP (NN capital) (NN punishment)))) (. ?)))",
sw08utt/sw_0826_2981.utt,2/sw2981,2981,2,sv,B,2,1,"{D Well, } Cathy, I think that, {F uh, } capital punishment certainly has a place in our society, {F um, } maybe from the sense that there are some things that we just can't afford to have repeated, even in the remote chance of repetition. /","Well/UH ,/, Cathy/NNP ,/, I/PRP think/VBP that/IN ,/, uh/UH ,/, capital/NN punishment/NN certainly/RB has/VBZ a/DT place/NN in/IN our/PRP$ society/NN ,/, um/UH ,/, maybe/RB from/IN the/DT sense/NN that/IN there/EX are/VBP some/DT things/NNS that/WDT we/PRP just/RB ca/MD n't/RB afford/VB to/TO have/VB repeated/VBN ,/, even/RB in/IN the/DT remote/JJ chance/NN of/IN repetition/NN ./.","(ROOT (S (FRAG (INTJ (UH Well)) (, ,) (NP (NNP Cathy))) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (WHNP (IN that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (NN capital) (NN punishment)) (ADVP (RB certainly)) (VP (VBZ has) (NP (NP (DT a) (NN place)) (PP (PP (IN in) (NP (PRP$ our) (NN society))) (PRN (, ,) (INTJ (UH um)) (, ,)))) (ADVP (RB maybe)) (PP (IN from) (NP (DT the) (NN sense))) (SBAR (IN that) (S (NP (EX there)) (VP (VBP are) (NP (NP (DT some) (NNS things)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (ADVP (RB just)) (VP (MD ca) (RB n't) (VP (VB afford) (S (VP (TO to) (VP (VB have) (VP (VBN repeated) (, ,) (ADVP (RB even)))))) (PP (IN in) (NP (NP (DT the) (JJ remote) (NN chance)) (PP (IN of) (NP (NN repetition))))))))))))))))) (. .)))",
sw08utt/sw_0826_2981.utt,2/sw2981,2981,3,aa,A,3,1,"Right,  /","Right/UH ,/,","(ROOT (FRAG (PP (UH Right)) (, ,)))",
sw08utt/sw_0826_2981.utt,2/sw2981,2981,4,sv,A,3,2,"I think I would agree with you on that, too.  /","I/PRP think/VBP I/PRP would/MD agree/VB with/IN you/PRP on/IN that/DT ,/, too/RB ./.","(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (MD would) (VP (VB agree) (PP (IN with) (NP (PRP you))) (PP (IN on) (NP (DT that))) (, ,) (ADVP (RB too))))))) (. .)))",
sw08utt/sw_0826_2981.utt,2/sw2981,2981,5,sv,A,3,3,"[  I, + I ] can't see any point in keeping someone who's obviously beyond any kind of rehabilitation, {F uh, } [ keeping them, + ] {D you know, } paying for them to live in prison for years and  years and years when you could probably just eliminate the problem.  /","I/PRP ,/, I/PRP ca/MD n't/RB see/VB any/DT point/NN in/IN keeping/VBG someone/NN who/WP 's/BES obviously/RB beyond/IN any/DT kind/NN of/IN rehabilitation/NN ,/, uh/UH ,/, keeping/VBG them/PRP ,/, you/PRP know/VBP ,/, paying/VBG for/IN them/PRP to/TO live/VB in/IN prison/NN for/IN years/NNS and/CC years/NNS and/CC years/NNS when/WRB you/PRP could/MD probably/RB just/RB eliminate/VB the/DT problem/NN ./.","(ROOT (S (NP (PRP I)) (, ,) (PRN (S (NP (PRP I)) (VP (MD ca) (RB n't) (VP (VB see) (NP (DT any) (NN point)) (PP (IN in) (S (VP (VBG keeping) (NP (NP (NN someone)) (SBAR (WHNP (WP who)) (S (VP (BES 's) (PP (ADVP (RB obviously)) (IN beyond) (NP (NP (DT any) (NN kind)) (PP (IN of) (NP (NN rehabilitation))))) (, ,) (INTJ (UH uh)) (, ,) (S (VP (VBG keeping) (NP (PRP them))))))))))))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (S (VP (VBG paying) (SBAR (IN for) (S (NP (PRP them)) (VP (TO to) (VP (VB live) (PP (IN in) (NP (NP (NN prison)) (PP (IN for) (NP (NP (NNS years)) (CC and) (NP (NNS years) (CC and) (NNS years)))))) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (MD could) (ADVP (RB probably)) (VP (ADVP (RB just)) (VB eliminate) (NP (DT the) (NN problem))))))))))))) (. .)))",
sw08utt/sw_0826_2981.utt,2/sw2981,2981,6,sv,A,3,4,Maybe spend the money on someone who could possibly be helped. /,Maybe/RB spend/VB the/DT money/NN on/IN someone/NN who/WP could/MD possibly/RB be/VB helped/VBN ./.,(ROOT (S (ADVP (RB Maybe)) (VP (VB spend) (NP (NP (DT the) (NN money)) (PP (IN on) (NP (NN someone))) (SBAR (WHNP (WP who)) (S (VP (MD could) (ADVP (RB possibly)) (VP (VB be) (VP (VBN helped)))))))) (. .))),
sw08utt/sw_0826_2981.utt,2/sw2981,2981,7,aap,B,4,1,"That might be true,  /","That/DT might/MD be/VB true/JJ ,/,","(ROOT (S (NP (DT That)) (VP (MD might) (VP (VB be) (ADJP (JJ true)))) (, ,)))",
sw08utt/sw_0826_2981.utt,2/sw2981,2981,8,%,B,4,2,"{F um, } I'm, - /","um/UH ,/, I/PRP 'm/VBP ,/,","(ROOT (S (INTJ (UH um)) (, ,) (ADVP (PRP I)) (VP (VBP 'm)) (, ,)))",
sw08utt/sw_0826_2981.utt,2/sw2981,2981,9,qh,B,4,3,"what I don't know, is where do we draw the line. /","what/WP I/PRP do/VBP n't/RB know/VB ,/, is/VBZ where/WRB do/VBP we/PRP draw/VB the/DT line/NN ./.","(ROOT (S (NP (WP what)) (PRN (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know)))) (, ,)) (VP (VBZ is) (SBARQ (WHADVP (WRB where)) (SQ (VBP do) (NP (PRP we)) (VP (VB draw) (NP (DT the) (NN line)))))) (. .)))",
